Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
query_differences_insert,0,118010,804974,922984,184,922984,254,0,33.3551s,184,1398.69,1450.15,1544.96,0.00,266828.06
query_differences_select_column_prefix,57994,0,0,57994,57994,57994,0,0,32.0054s,57994,2.44,4.41,45.81,0.00,255962.56
query_differences_select_combined_match_with_range,1254489,0,0,1254489,1254489,1254489,0,0,32.0020s,1254489,0.09,0.20,40.73,0.00,255502.42
query_differences_select_exact_with_prefix,431260,0,0,431260,431260,431260,0,0,32.0019s,431260,0.22,0.59,40.53,0.00,255823.12
query_differences_select_full_match,1756175,0,0,1756175,1756175,1756175,0,0,32.0018s,1756175,0.07,0.15,36.46,0.00,255332.73
query_differences_select_leftmost_prefix,110923,0,0,110923,110923,110923,0,0,32.0027s,110923,1.14,2.31,43.33,0.00,255915.97
query_differences_select_not_leftmost,52461,0,0,52461,52461,52461,0,0,32.0061s,52461,3.24,4.88,112.82,0.00,255996.85
query_differences_select_range_values,61315,0,0,61315,61315,61315,0,0,32.0042s,61315,2.96,4.17,47.09,0.00,255982.20
query_differences_select_range_with_like,675497,0,0,675497,675497,675497,0,0,32.0019s,675497,0.17,0.38,39.29,0.00,255720.26
query_differences_select_skip_columns,170993,0,0,170993,170993,170993,0,0,32.0024s,170993,0.76,1.50,38.82,0.00,255930.93
