Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
select_column_prefix,4,8,1798.63,28125.29,1794.63,3406.77,22923.89,0.00,7.50,0.00,26330.66
select_column_prefix,8,8,1820.75,28744.30,1814.75,3543.74,23385.81,0.00,10.50,0.00,26929.55
select_column_prefix,12,8,1820.18,29634.40,1814.18,3523.47,24296.75,0.00,8.75,0.00,27820.22
select_column_prefix,16,8,1821.24,30671.97,1817.24,3605.81,25248.92,0.00,0.00,0.00,28854.73
select_column_prefix,20,8,1819.73,29740.94,1813.74,3574.99,24352.22,0.00,9.99,0.00,27927.20
select_column_prefix,24,8,1820.67,29292.35,1814.66,3474.20,24003.50,0.00,4.76,0.00,27477.69
select_column_prefix,28,8,1817.78,29703.92,1812.03,3615.94,24275.94,0.00,11.75,0.00,27891.89
select_column_prefix,32,8,1821.13,29602.50,1814.88,3541.90,24245.72,0.00,10.25,0.00,27787.62
select_combined_match_with_range,4,8,38838.89,65165.55,38834.89,3406.77,22923.89,0.00,7.50,0.00,26330.66
select_combined_match_with_range,8,8,39259.25,66182.80,39253.25,3543.74,23385.81,0.00,10.50,0.00,26929.55
select_combined_match_with_range,12,8,39272.15,67086.37,39266.15,3523.47,24296.75,0.00,8.75,0.00,27820.22
select_combined_match_with_range,16,8,39301.38,68152.11,39297.38,3605.81,25248.92,0.00,0.00,0.00,28854.73
select_combined_match_with_range,20,8,39316.84,67238.05,39310.85,3574.99,24352.22,0.00,9.99,0.00,27927.20
select_combined_match_with_range,24,8,39187.47,66659.15,39181.46,3474.20,24003.50,0.00,4.76,0.00,27477.69
select_combined_match_with_range,28,8,39268.17,67154.06,39262.17,3615.94,24275.94,0.00,11.75,0.00,27891.89
select_exact_with_prefix,4,8,13429.03,39755.69,13425.03,3406.77,22923.89,0.00,7.50,0.00,26330.66
select_exact_with_prefix,8,8,13569.93,40493.48,13563.93,3543.74,23385.81,0.00,10.50,0.00,26929.55
select_exact_with_prefix,12,8,13571.21,41385.43,13565.21,3523.47,24296.75,0.00,8.75,0.00,27820.22
select_exact_with_prefix,16,8,13559.43,42410.16,13555.43,3605.81,25248.92,0.00,0.00,0.00,28854.73
select_exact_with_prefix,20,8,13526.43,41447.64,13520.44,3574.99,24352.22,0.00,9.99,0.00,27927.20
select_exact_with_prefix,24,8,13102.45,40574.13,13096.44,3474.20,24003.50,0.00,4.76,0.00,27477.69
select_exact_with_prefix,28,8,13517.36,41403.25,13511.36,3615.94,24275.94,0.00,11.75,0.00,27891.89
select_full_match,4,8,54397.33,80723.99,54393.33,3406.77,22923.89,0.00,7.50,0.00,26330.66
select_full_match,8,8,54909.60,81833.15,54903.60,3543.74,23385.81,0.00,10.50,0.00,26929.55
select_full_match,12,8,54892.12,82706.34,54886.12,3523.47,24296.75,0.00,8.75,0.00,27820.22
select_full_match,16,8,55097.55,83948.28,55093.55,3605.81,25248.92,0.00,0.00,0.00,28854.73
select_full_match,20,8,54914.06,82835.52,54908.32,3574.99,24352.22,0.00,9.99,0.00,27927.20
select_full_match,24,8,54985.29,82456.72,54979.03,3474.20,24003.50,0.00,4.76,0.00,27477.69
select_full_match,28,8,54912.73,82798.62,54906.73,3615.94,24275.94,0.00,11.75,0.00,27891.89
select_leftmost_prefix,4,8,3440.04,29766.70,3436.04,3406.77,22923.89,0.00,7.50,0.00,26330.66
select_leftmost_prefix,8,8,3482.92,30406.47,3476.92,3543.74,23385.81,0.00,10.50,0.00,26929.55
select_leftmost_prefix,12,8,3482.58,31296.80,3476.58,3523.47,24296.75,0.00,8.75,0.00,27820.22
select_leftmost_prefix,16,8,3471.45,32322.18,3467.45,3605.81,25248.92,0.00,0.00,0.00,28854.73
select_leftmost_prefix,20,8,3457.69,31378.90,3451.70,3574.99,24352.22,0.00,9.99,0.00,27927.20
select_leftmost_prefix,24,8,3480.02,30951.70,3474.01,3474.20,24003.50,0.00,4.76,0.00,27477.69
select_leftmost_prefix,28,8,3478.12,31364.01,3472.12,3615.94,24275.94,0.00,11.75,0.00,27891.89
select_leftmost_prefix,32,8,3479.61,31261.23,3473.61,3541.90,24245.72,0.00,10.25,0.00,27787.62
select_not_leftmost,4,8,1651.67,27978.33,1647.67,3406.77,22923.89,0.00,7.50,0.00,26330.66
select_not_leftmost,8,8,1666.46,28590.01,1660.46,3543.74,23385.81,0.00,10.50,0.00,26929.55
select_not_leftmost,12,8,1666.63,29480.85,1660.63,3523.47,24296.75,0.00,8.75,0.00,27820.22
select_not_leftmost,16,8,1655.42,30506.15,1651.42,3605.81,25248.92,0.00,0.00,0.00,28854.73
select_not_leftmost,20,8,1653.90,29575.11,1647.91,3574.99,24352.22,0.00,9.99,0.00,27927.20
select_not_leftmost,24,8,1647.93,29119.86,1642.17,3474.20,24003.50,0.00,4.76,0.00,27477.69
select_not_leftmost,28,8,1595.83,29481.72,1589.83,3615.94,24275.94,0.00,11.75,0.00,27891.89
select_not_leftmost,32,8,1619.05,29400.42,1612.80,3541.90,24245.72,0.00,10.25,0.00,27787.62
select_range_values,4,8,1932.67,28259.33,1928.67,3406.77,22923.89,0.00,7.50,0.00,26330.66
select_range_values,8,8,1956.41,28879.96,1950.41,3543.74,23385.81,0.00,10.50,0.00,26929.55
select_range_values,12,8,1953.84,29768.06,1947.84,3523.47,24296.75,0.00,8.75,0.00,27820.22
select_range_values,16,8,1949.59,30800.32,1945.59,3605.81,25248.92,0.00,0.00,0.00,28854.73
select_range_values,20,8,1911.10,29832.31,1905.11,3574.99,24352.22,0.00,9.99,0.00,27927.20
select_range_values,24,8,1889.12,29360.80,1883.11,3474.20,24003.50,0.00,4.76,0.00,27477.69
select_range_values,28,8,1889.24,29775.13,1883.24,3615.94,24275.94,0.00,11.75,0.00,27891.89
select_range_with_like,4,8,21071.94,47398.60,21067.94,3406.77,22923.89,0.00,7.50,0.00,26330.66
select_range_with_like,8,8,21127.56,48051.11,21121.56,3543.74,23385.81,0.00,10.50,0.00,26929.55
select_range_with_like,12,8,21116.75,48930.97,21110.75,3523.47,24296.75,0.00,8.75,0.00,27820.22
select_range_with_like,16,8,21121.72,49972.45,21117.72,3605.81,25248.92,0.00,0.00,0.00,28854.73
select_range_with_like,20,8,21112.95,49034.16,21106.96,3574.99,24352.22,0.00,9.99,0.00,27927.20
select_range_with_like,24,8,21129.27,48600.95,21123.26,3474.20,24003.50,0.00,4.76,0.00,27477.69
select_range_with_like,28,8,21122.65,49008.54,21116.65,3615.94,24275.94,0.00,11.75,0.00,27891.89
select_skip_columns,4,8,5310.64,31637.30,5306.64,3406.77,22923.89,0.00,7.50,0.00,26330.66
select_skip_columns,8,8,5354.05,32277.60,5348.05,3543.74,23385.81,0.00,10.50,0.00,26929.55
select_skip_columns,12,8,5360.61,33174.83,5354.61,3523.47,24296.75,0.00,8.75,0.00,27820.22
