Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,4,8,4.00,26330.66,0.00,3406.77,22923.89,0.00,7.50,0.00
query_differences_insert,8,8,6.00,26929.55,0.00,3543.74,23385.81,0.00,10.50,0.00
query_differences_insert,12,8,6.00,27820.22,0.00,3523.47,24296.75,0.00,8.75,0.00
query_differences_insert,16,8,4.00,28854.73,0.00,3605.81,25248.92,0.00,0.00,0.00
query_differences_insert,20,8,5.99,27927.20,0.00,3574.99,24352.22,0.00,9.99,0.00
query_differences_insert,24,8,6.01,27477.69,0.00,3474.20,24003.50,0.00,4.76,0.00
query_differences_insert,28,8,6.00,27891.89,0.00,3615.94,24275.94,0.00,11.75,0.00
query_differences_insert,32,8,6.00,27787.62,0.00,3541.90,24245.72,0.00,10.25,0.00
query_differences_select_column_prefix,4,8,1794.63,1794.63,1794.63,0.00,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,8,8,1814.75,1814.75,1814.75,0.00,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,12,8,1814.18,1814.18,1814.18,0.00,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,16,8,1817.24,1817.24,1817.24,0.00,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,20,8,1813.74,1813.74,1813.74,0.00,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,24,8,1814.66,1814.66,1814.66,0.00,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,28,8,1811.78,1812.03,1812.03,0.00,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,32,8,1815.13,1814.88,1814.88,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,4,8,38834.89,38834.89,38834.89,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,8,8,39253.25,39253.25,39253.25,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,12,8,39266.15,39266.15,39266.15,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,16,8,39297.38,39297.38,39297.38,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,20,8,39310.85,39310.85,39310.85,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,24,8,39181.46,39181.46,39181.46,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,28,8,39262.17,39262.17,39262.17,0.00,0.00,0.00,0.00,0.00
query_differences_select_exact_with_prefix,4,8,13425.03,13425.03,13425.03,0.00,0.00,0.00,0.00,0.00
query_differences_select_exact_with_prefix,8,8,13563.93,13563.93,13563.93,0.00,0.00,0.00,0.00,0.00
query_differences_select_exact_with_prefix,12,8,13565.21,13565.21,13565.21,0.00,0.00,0.00,0.00,0.00
query_differences_select_exact_with_prefix,16,8,13555.43,13555.43,13555.43,0.00,0.00,0.00,0.00,0.00
query_differences_select_exact_with_prefix,20,8,13520.44,13520.44,13520.44,0.00,0.00,0.00,0.00,0.00
query_differences_select_exact_with_prefix,24,8,13096.44,13096.44,13096.44,0.00,0.00,0.00,0.00,0.00
query_differences_select_exact_with_prefix,28,8,13511.36,13511.36,13511.36,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,4,8,54393.33,54393.33,54393.33,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,8,8,54903.60,54903.60,54903.60,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,12,8,54886.12,54886.12,54886.12,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,16,8,55093.55,55093.55,55093.55,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,20,8,54908.07,54908.32,54908.32,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,24,8,54979.28,54979.03,54979.03,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,28,8,54906.73,54906.73,54906.73,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,4,8,3436.04,3436.04,3436.04,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,8,8,3476.92,3476.92,3476.92,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,12,8,3476.58,3476.58,3476.58,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,16,8,3467.45,3467.45,3467.45,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,20,8,3451.70,3451.70,3451.70,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,24,8,3474.01,3474.01,3474.01,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,28,8,3472.12,3472.12,3472.12,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,32,8,3473.61,3473.61,3473.61,0.00,0.00,0.00,0.00,0.00
query_differences_select_not_leftmost,4,8,1647.67,1647.67,1647.67,0.00,0.00,0.00,0.00,0.00
query_differences_select_not_leftmost,8,8,1660.46,1660.46,1660.46,0.00,0.00,0.00,0.00,0.00
query_differences_select_not_leftmost,12,8,1660.63,1660.63,1660.63,0.00,0.00,0.00,0.00,0.00
query_differences_select_not_leftmost,16,8,1651.42,1651.42,1651.42,0.00,0.00,0.00,0.00,0.00
query_differences_select_not_leftmost,20,8,1647.91,1647.91,1647.91,0.00,0.00,0.00,0.00,0.00
query_differences_select_not_leftmost,24,8,1641.92,1642.17,1642.17,0.00,0.00,0.00,0.00,0.00
query_differences_select_not_leftmost,28,8,1589.83,1589.83,1589.83,0.00,0.00,0.00,0.00,0.00
query_differences_select_not_leftmost,32,8,1613.05,1612.80,1612.80,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_values,4,8,1928.67,1928.67,1928.67,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_values,8,8,1950.41,1950.41,1950.41,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_values,12,8,1947.84,1947.84,1947.84,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_values,16,8,1945.59,1945.59,1945.59,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_values,20,8,1905.11,1905.11,1905.11,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_values,24,8,1883.11,1883.11,1883.11,0.00,0.00,0.00,0.00,0.00
