Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
select_combined_match_with_range,4,8,9616.71,49544.41,9604.73,4994.96,34944.73,0.00,0.00,0.00,39939.68
select_combined_match_with_range,8,8,9735.62,52119.81,9721.62,5296.40,37101.79,0.00,0.00,0.00,42398.19
select_combined_match_with_range,12,8,9712.89,52115.33,9698.88,5299.46,37116.99,0.00,0.00,0.00,42416.45
select_combined_match_with_range,16,8,9731.20,53004.92,9717.21,5407.50,37880.21,0.00,0.00,0.00,43287.71
select_combined_match_with_range,20,8,9725.80,52311.80,9709.79,5321.31,37280.70,0.00,0.00,0.00,42602.01
select_combined_match_with_range,24,8,9730.09,52975.59,9716.10,5403.81,37855.68,0.00,0.00,0.00,43259.49
select_combined_match_with_range,28,8,9732.92,53291.64,9718.91,5443.09,38129.64,0.00,0.00,0.00,43572.73
select_full_match,4,8,58878.07,98805.77,58866.09,4994.96,34944.73,0.00,0.00,0.00,39939.68
select_full_match,8,8,59440.08,101824.27,59426.08,5296.40,37101.79,0.00,0.00,0.00,42398.19
select_full_match,12,8,59450.20,101852.64,59436.19,5299.46,37116.99,0.00,0.00,0.00,42416.45
select_full_match,16,8,59526.93,102800.65,59512.94,5407.50,37880.21,0.00,0.00,0.00,43287.71
select_full_match,20,8,59561.13,102147.38,59545.37,5321.31,37280.70,0.00,0.00,0.00,42602.01
select_full_match,24,8,59521.61,102766.86,59507.37,5403.81,37855.68,0.00,0.00,0.00,43259.49
select_full_match,28,8,59435.63,102994.35,59421.62,5443.09,38129.64,0.00,0.00,0.00,43572.73
select_leftmost_prefix,4,8,7602.20,47529.90,7590.22,4994.96,34944.73,0.00,0.00,0.00,39939.68
select_leftmost_prefix,8,8,8329.30,50713.49,8315.30,5296.40,37101.79,0.00,0.00,0.00,42398.19
select_leftmost_prefix,12,8,8614.54,51016.98,8600.53,5299.46,37116.99,0.00,0.00,0.00,42416.45
select_leftmost_prefix,16,8,8611.50,51885.22,8597.51,5407.50,37880.21,0.00,0.00,0.00,43287.71
select_leftmost_prefix,20,8,8615.48,51201.48,8599.47,5321.31,37280.70,0.00,0.00,0.00,42602.01
select_leftmost_prefix,24,8,8606.97,51852.47,8592.98,5403.81,37855.68,0.00,0.00,0.00,43259.49
select_leftmost_prefix,28,8,8608.83,52167.55,8594.82,5443.09,38129.64,0.00,0.00,0.00,43572.73
select_partial_match_range_query,4,8,9216.82,49144.52,9204.84,4994.96,34944.73,0.00,0.00,0.00,39939.68
select_partial_match_range_query,8,8,9342.18,51726.37,9328.18,5296.40,37101.79,0.00,0.00,0.00,42398.19
select_partial_match_range_query,12,8,9341.88,51744.32,9327.87,5299.46,37116.99,0.00,0.00,0.00,42416.45
select_partial_match_range_query,16,8,9346.56,52620.28,9332.57,5407.50,37880.21,0.00,0.00,0.00,43287.71
select_partial_match_range_query,20,8,9351.05,51937.05,9335.04,5321.31,37280.70,0.00,0.00,0.00,42602.01
select_partial_match_range_query,24,8,9269.75,52515.25,9255.76,5403.81,37855.68,0.00,0.00,0.00,43259.49
select_partial_match_range_query,28,8,9286.35,52845.07,9272.34,5443.09,38129.64,0.00,0.00,0.00,43572.73
