Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,4,8,11.98,39939.68,0.00,4994.96,34944.73,0.00,0.00,0.00
query_differences_insert,8,8,14.00,42398.19,0.00,5296.40,37101.79,0.00,0.00,0.00
query_differences_insert,12,8,14.01,42416.45,0.00,5299.46,37116.99,0.00,0.00,0.00
query_differences_insert,16,8,13.99,43287.71,0.00,5407.50,37880.21,0.00,0.00,0.00
query_differences_insert,20,8,16.01,42602.01,0.00,5321.31,37280.70,0.00,0.00,0.00
query_differences_insert,24,8,13.99,43259.49,0.00,5403.81,37855.68,0.00,0.00,0.00
query_differences_insert,28,8,14.01,43572.73,0.00,5443.09,38129.64,0.00,0.00,0.00
query_differences_insert,32,8,13.99,43431.89,0.00,5426.49,38005.41,0.00,0.00,0.00
query_differences_select_combined_match_with_range,4,8,9604.73,9604.73,9604.73,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,8,8,9721.62,9721.62,9721.62,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,12,8,9698.88,9698.88,9698.88,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,16,8,9717.21,9717.21,9717.21,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,20,8,9709.79,9709.79,9709.79,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,24,8,9716.10,9716.10,9716.10,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,28,8,9718.91,9718.91,9718.91,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,4,8,58866.09,58866.09,58866.09,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,8,8,59426.08,59426.08,59426.08,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,12,8,59436.19,59436.19,59436.19,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,16,8,59512.94,59512.94,59512.94,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,20,8,59545.12,59545.37,59545.37,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,24,8,59507.62,59507.37,59507.37,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,28,8,59421.62,59421.62,59421.62,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,4,8,7590.22,7590.22,7590.22,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,8,8,8315.30,8315.30,8315.30,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,12,8,8600.53,8600.53,8600.53,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,16,8,8597.51,8597.51,8597.51,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,20,8,8599.47,8599.47,8599.47,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,24,8,8592.98,8592.98,8592.98,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,28,8,8594.82,8594.82,8594.82,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,4,8,9204.84,9204.84,9204.84,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,8,8,9328.18,9328.18,9328.18,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,12,8,9327.87,9327.87,9327.87,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,16,8,9332.57,9332.57,9332.57,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,20,8,9335.04,9335.04,9335.04,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,24,8,9255.76,9255.76,9255.76,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,28,8,9272.34,9272.34,9272.34,0.00,0.00,0.00,0.00,0.00
