Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,4,8,35490.58,75571.57,35450.63,5010.62,35110.32,0.00,0.00,0.00,40120.94
selectivity_changes_10,8,8,35252.30,77524.55,35210.29,5278.91,37035.35,0.00,0.00,0.00,42314.26
selectivity_changes_10,12,8,32366.49,74637.60,32324.49,5282.55,37030.57,0.00,0.00,0.00,42313.11
selectivity_changes_10,16,8,32639.31,74314.68,32599.29,5206.64,36508.75,0.00,0.00,0.00,41715.39
selectivity_changes_10,20,8,32536.43,74764.11,32492.45,5274.06,36997.61,0.00,0.00,0.00,42271.66
selectivity_changes_10,24,8,31820.62,74079.52,31778.62,5281.55,37019.35,0.00,0.00,0.00,42300.90
selectivity_changes_10,28,8,32633.29,74882.45,32591.29,5278.02,37013.14,0.00,0.00,0.00,42291.16
selectivity_changes_100,4,8,58421.66,100052.86,58381.71,5199.00,36472.15,0.00,0.00,0.00,41671.15
selectivity_changes_100,8,8,59048.29,101221.12,59006.30,5267.35,36947.46,0.00,0.00,0.00,42214.82
selectivity_changes_100,12,8,58992.65,101021.13,58950.65,5248.22,36822.26,0.00,0.00,0.00,42070.48
selectivity_changes_100,16,8,59002.46,101105.36,58960.43,5258.61,36886.32,0.00,0.00,0.00,42144.93
selectivity_changes_100,20,8,59088.62,100976.30,59046.65,5233.71,36695.93,0.00,0.00,0.00,41929.65
selectivity_changes_100,24,8,59070.65,101118.29,59028.65,5252.71,36836.94,0.00,0.00,0.00,42089.64
selectivity_changes_100,28,8,58957.71,100255.71,58915.71,5160.03,36179.97,0.00,0.00,0.00,41340.00
selectivity_changes_500,4,8,60746.80,103783.29,60704.86,5378.91,37699.52,0.00,0.00,0.00,43078.43
selectivity_changes_500,8,8,61371.91,104610.45,61328.16,5402.22,37880.06,0.00,0.00,0.00,43282.29
selectivity_changes_500,12,8,61430.52,104844.23,61388.23,5424.56,38031.45,0.00,0.00,0.00,43456.00
selectivity_changes_500,16,8,61432.11,104846.41,61388.14,5424.23,38034.05,0.00,0.00,0.00,43458.27
selectivity_changes_500,20,8,61439.11,104812.35,61395.07,5418.15,37999.13,0.00,0.00,0.00,43417.28
selectivity_changes_500,24,8,61453.58,104842.15,61411.63,5419.33,38011.20,0.00,0.00,0.00,43430.52
selectivity_changes_500,28,8,61380.15,104774.01,61336.12,5421.20,38016.69,0.00,0.00,0.00,43437.89
selectivity_changes_500,32,8,61378.18,104067.75,61336.21,5333.04,37398.50,0.00,0.00,0.00,42731.54
