Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,1,1,752.32,1560.50,752.32,805.18,3.00,1.64,0.00,0.00,808.18
column_prefix,2,1,734.28,1586.76,734.28,852.48,0.00,1.64,0.00,0.00,852.48
column_prefix,3,1,834.03,1684.01,834.03,849.98,0.00,1.25,0.00,0.00,849.98
column_prefix,4,1,826.93,1739.92,826.93,912.99,0.00,1.27,0.00,0.00,912.99
column_prefix,5,1,834.09,1713.12,833.09,878.03,2.00,4601.24,0.00,0.00,880.03
column_prefix,6,1,833.00,1770.94,833.00,937.94,0.00,1.25,0.00,0.00,937.94
column_prefix,7,1,828.90,1823.97,828.90,995.07,0.00,1.27,0.00,0.00,995.07
column_prefix,8,1,834.99,1783.97,834.99,948.98,0.00,1.25,0.00,0.00,948.98
combined_match_with_range,1,1,3499.49,4307.67,3499.49,805.18,3.00,0.31,0.00,0.00,808.18
combined_match_with_range,2,1,3556.54,4409.02,3556.54,852.48,0.00,0.31,0.00,0.00,852.48
combined_match_with_range,3,1,3547.40,4397.38,3547.40,849.98,0.00,0.31,0.00,0.00,849.98
combined_match_with_range,4,1,3530.76,4443.75,3530.76,912.99,0.00,0.31,0.00,0.00,912.99
combined_match_with_range,5,1,3521.89,4400.92,3520.89,878.03,2.00,4600.30,0.00,0.00,880.03
combined_match_with_range,6,1,3580.34,4518.28,3580.34,937.94,0.00,0.31,0.00,0.00,937.94
combined_match_with_range,7,1,3564.03,4559.10,3564.03,995.07,0.00,0.31,0.00,0.00,995.07
combined_match_with_range,8,1,3484.81,4433.79,3484.81,948.98,0.00,0.31,0.00,0.00,948.98
exact_with_prefix,1,1,2667.13,3475.31,2667.13,805.18,3.00,0.41,0.00,0.00,808.18
exact_with_prefix,2,1,2701.61,3554.09,2701.61,852.48,0.00,0.39,0.00,0.00,852.48
exact_with_prefix,3,1,2723.74,3573.72,2723.74,849.98,0.00,0.39,0.00,0.00,849.98
exact_with_prefix,4,1,2732.28,3645.27,2732.28,912.99,0.00,0.39,0.00,0.00,912.99
exact_with_prefix,5,1,2689.83,3568.86,2688.83,878.03,2.00,4600.39,0.00,0.00,880.03
exact_with_prefix,6,1,2741.22,3679.16,2741.22,937.94,0.00,0.39,0.00,0.00,937.94
exact_with_prefix,7,1,2703.98,3699.05,2703.98,995.07,0.00,0.40,0.00,0.00,995.07
exact_with_prefix,8,1,2700.92,3649.90,2700.92,948.98,0.00,0.40,0.00,0.00,948.98
full_match,1,1,4157.65,4965.83,4157.65,805.18,3.00,0.26,0.00,0.00,808.18
full_match,2,1,4197.38,5049.86,4197.38,852.48,0.00,0.26,0.00,0.00,852.48
full_match,3,1,4127.06,4978.04,4128.06,849.98,0.00,0.27,0.00,0.00,849.98
full_match,4,1,4142.97,5054.96,4141.97,912.99,0.00,0.27,0.00,0.00,912.99
full_match,5,1,4117.75,4996.78,4116.75,878.03,2.00,4600.26,0.00,0.00,880.03
full_match,6,1,4174.93,5112.87,4174.93,937.94,0.00,0.26,0.00,0.00,937.94
full_match,7,1,4226.42,5221.49,4226.42,995.07,0.00,0.26,0.00,0.00,995.07
leftmost_prefix,1,1,1582.65,2390.83,1582.65,805.18,3.00,0.65,0.00,0.00,808.18
leftmost_prefix,2,1,1569.65,2422.13,1569.65,852.48,0.00,0.69,0.00,0.00,852.48
leftmost_prefix,3,1,1577.01,2426.99,1577.01,849.98,0.00,0.68,0.00,0.00,849.98
leftmost_prefix,4,1,1591.01,2504.00,1591.01,912.99,0.00,0.67,0.00,0.00,912.99
leftmost_prefix,5,1,1576.99,2456.02,1575.99,878.03,2.00,4600.66,0.00,0.00,880.03
leftmost_prefix,6,1,1585.98,2523.92,1585.98,937.94,0.00,0.67,0.00,0.00,937.94
leftmost_prefix,7,1,1589.97,2585.04,1589.97,995.07,0.00,0.65,0.00,0.00,995.07
leftmost_prefix,8,1,1578.91,2527.89,1578.91,948.98,0.00,0.67,0.00,0.00,948.98
not_leftmost,1,1,321.75,1129.93,321.75,805.18,3.00,3.30,0.00,0.00,808.18
not_leftmost,2,1,332.09,1184.57,332.09,852.48,0.00,3.19,0.00,0.00,852.48
not_leftmost,3,1,318.01,1167.99,318.01,849.98,0.00,3.36,0.00,0.00,849.98
not_leftmost,4,1,324.02,1237.01,324.02,912.99,0.00,3.30,0.00,0.00,912.99
not_leftmost,5,1,326.97,1206.00,325.97,878.03,2.00,4603.29,0.00,0.00,880.03
not_leftmost,6,1,322.01,1259.95,322.01,937.94,0.00,3.30,0.00,0.00,937.94
not_leftmost,7,1,324.99,1320.06,324.99,995.07,0.00,3.30,0.00,0.00,995.07
range_values,1,1,375.73,1183.91,375.73,805.18,3.00,2.76,0.00,0.00,808.18
range_values,2,1,379.10,1231.58,379.10,852.48,0.00,2.76,0.00,0.00,852.48
range_values,3,1,378.99,1228.97,378.99,849.98,0.00,2.91,0.00,0.00,849.98
range_values,4,1,373.01,1286.00,373.01,912.99,0.00,2.91,0.00,0.00,912.99
range_values,5,1,377.99,1257.02,376.99,878.03,2.00,4602.80,0.00,0.00,880.03
range_values,6,1,385.98,1323.92,385.98,937.94,0.00,2.76,0.00,0.00,937.94
range_values,7,1,375.01,1370.08,375.01,995.07,0.00,2.81,0.00,0.00,995.07
range_values,8,1,378.00,1326.98,378.00,948.98,0.00,2.91,0.00,0.00,948.98
range_with_like,1,1,2937.55,3745.73,2937.55,805.18,3.00,0.37,0.00,0.00,808.18
range_with_like,2,1,2989.17,3841.65,2989.17,852.48,0.00,0.37,0.00,0.00,852.48
range_with_like,3,1,2987.97,3837.95,2987.97,849.98,0.00,0.36,0.00,0.00,849.98
range_with_like,4,1,3032.05,3945.04,3032.05,912.99,0.00,0.35,0.00,0.00,912.99
range_with_like,5,1,2998.97,3878.00,2997.97,878.03,2.00,4600.35,0.00,0.00,880.03
range_with_like,6,1,2980.81,3918.75,2980.81,937.94,0.00,0.36,0.00,0.00,937.94
range_with_like,7,1,3027.22,4022.29,3027.22,995.07,0.00,0.35,0.00,0.00,995.07
range_with_like,8,1,3018.88,3967.86,3018.88,948.98,0.00,0.36,0.00,0.00,948.98
skip_columns,1,1,1914.63,2722.81,1914.63,805.18,3.00,0.55,0.00,0.00,808.18
skip_columns,2,1,1910.46,2762.94,1910.46,852.48,0.00,0.56,0.00,0.00,852.48
skip_columns,3,1,1927.83,2777.81,1927.83,849.98,0.00,0.55,0.00,0.00,849.98
skip_columns,4,1,1938.02,2851.01,1938.02,912.99,0.00,0.55,0.00,0.00,912.99
skip_columns,5,1,1922.21,2801.24,1921.21,878.03,2.00,4600.54,0.00,0.00,880.03
skip_columns,6,1,1921.76,2859.70,1921.76,937.94,0.00,0.56,0.00,0.00,937.94
skip_columns,7,1,1924.19,2919.26,1924.19,995.07,0.00,0.56,0.00,0.00,995.07
skip_columns,8,1,1936.03,2885.01,1936.03,948.98,0.00,0.55,0.00,0.00,948.98
