Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,808.18,0.00,805.18,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,852.48,0.00,852.48,0.00,0.00,0.00,0.00
query_differences_insert,3,1,0.00,849.98,0.00,849.98,0.00,0.00,0.00,0.00
query_differences_insert,4,1,0.00,912.99,0.00,912.99,0.00,0.00,0.00,0.00
query_differences_insert,5,1,1.00,880.03,0.00,878.03,2.00,4599.99,0.00,0.00
query_differences_insert,6,1,0.00,937.94,0.00,937.94,0.00,0.00,0.00,0.00
query_differences_insert,7,1,0.00,995.07,0.00,995.07,0.00,0.00,0.00,0.00
query_differences_insert,8,1,0.00,948.98,0.00,948.98,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,1,1,752.32,752.32,752.32,0.00,0.00,1.64,0.00,0.00
query_differences_select_column_prefix,2,1,734.28,734.28,734.28,0.00,0.00,1.64,0.00,0.00
query_differences_select_column_prefix,3,1,834.03,834.03,834.03,0.00,0.00,1.25,0.00,0.00
query_differences_select_column_prefix,4,1,826.93,826.93,826.93,0.00,0.00,1.27,0.00,0.00
query_differences_select_column_prefix,5,1,833.09,833.09,833.09,0.00,0.00,1.25,0.00,0.00
query_differences_select_column_prefix,6,1,833.00,833.00,833.00,0.00,0.00,1.25,0.00,0.00
query_differences_select_column_prefix,7,1,828.90,828.90,828.90,0.00,0.00,1.27,0.00,0.00
query_differences_select_column_prefix,8,1,834.99,834.99,834.99,0.00,0.00,1.25,0.00,0.00
query_differences_select_combined_match_with_range,1,1,3499.49,3499.49,3499.49,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,2,1,3556.54,3556.54,3556.54,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,3,1,3547.40,3547.40,3547.40,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,4,1,3530.76,3530.76,3530.76,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,5,1,3520.89,3520.89,3520.89,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,6,1,3580.34,3580.34,3580.34,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,7,1,3564.03,3564.03,3564.03,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,8,1,3484.81,3484.81,3484.81,0.00,0.00,0.31,0.00,0.00
query_differences_select_exact_with_prefix,1,1,2667.13,2667.13,2667.13,0.00,0.00,0.41,0.00,0.00
query_differences_select_exact_with_prefix,2,1,2701.61,2701.61,2701.61,0.00,0.00,0.39,0.00,0.00
query_differences_select_exact_with_prefix,3,1,2723.74,2723.74,2723.74,0.00,0.00,0.39,0.00,0.00
query_differences_select_exact_with_prefix,4,1,2732.28,2732.28,2732.28,0.00,0.00,0.39,0.00,0.00
query_differences_select_exact_with_prefix,5,1,2688.83,2688.83,2688.83,0.00,0.00,0.40,0.00,0.00
query_differences_select_exact_with_prefix,6,1,2741.22,2741.22,2741.22,0.00,0.00,0.39,0.00,0.00
query_differences_select_exact_with_prefix,7,1,2703.98,2703.98,2703.98,0.00,0.00,0.40,0.00,0.00
query_differences_select_exact_with_prefix,8,1,2700.92,2700.92,2700.92,0.00,0.00,0.40,0.00,0.00
query_differences_select_full_match,1,1,4157.65,4157.65,4157.65,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,2,1,4197.38,4197.38,4197.38,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,3,1,4127.06,4128.06,4128.06,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,4,1,4142.97,4141.97,4141.97,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,5,1,4116.75,4116.75,4116.75,0.00,0.00,0.27,0.00,0.00
