Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,844.21,0.00,841.21,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,718.36,0.00,718.36,0.00,0.00,0.00,0.00
query_differences_insert,3,1,0.00,747.00,0.00,747.00,0.00,0.00,0.00,0.00
query_differences_insert,4,1,0.00,849.97,0.00,849.97,0.00,0.00,0.00,0.00
query_differences_insert,5,1,0.00,716.03,0.00,716.03,0.00,0.00,0.00,0.00
query_differences_insert,6,1,1.00,766.00,0.00,764.00,2.00,5124.81,0.00,0.00
query_differences_insert,7,1,0.00,820.99,0.00,820.99,0.00,0.00,0.00,0.00
query_differences_insert,8,1,0.00,658.02,0.00,658.02,0.00,0.00,0.00,0.00
query_differences_insert,9,1,0.00,705.95,0.00,705.95,0.00,0.00,0.00,0.00
query_differences_insert,10,1,0.00,653.96,0.00,653.96,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,1,1,832.24,832.24,832.24,0.00,0.00,1.23,0.00,0.00
query_differences_select_column_prefix,2,1,844.36,844.36,844.36,0.00,0.00,1.23,0.00,0.00
query_differences_select_column_prefix,3,1,832.99,832.99,832.99,0.00,0.00,1.25,0.00,0.00
query_differences_select_column_prefix,4,1,858.02,858.02,858.02,0.00,0.00,1.23,0.00,0.00
query_differences_select_column_prefix,5,1,839.01,839.01,839.01,0.00,0.00,1.23,0.00,0.00
query_differences_select_column_prefix,6,1,851.98,851.98,851.98,0.00,0.00,1.23,0.00,0.00
query_differences_select_column_prefix,7,1,842.00,842.00,842.00,0.00,0.00,1.23,0.00,0.00
query_differences_select_combined_match_with_range,1,1,3586.49,3586.49,3586.49,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,2,1,3597.75,3597.75,3597.75,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,3,1,3416.74,3416.74,3416.74,0.00,0.00,0.34,0.00,0.00
query_differences_select_combined_match_with_range,4,1,3362.36,3362.36,3362.36,0.00,0.00,0.34,0.00,0.00
query_differences_select_combined_match_with_range,5,1,3586.00,3586.00,3586.00,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,6,1,3549.96,3549.96,3549.96,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,7,1,3583.01,3583.01,3583.01,0.00,0.00,0.31,0.00,0.00
query_differences_select_exact_with_prefix,1,1,2714.09,2714.09,2714.09,0.00,0.00,0.39,0.00,0.00
query_differences_select_exact_with_prefix,2,1,2791.36,2791.36,2791.36,0.00,0.00,0.38,0.00,0.00
query_differences_select_exact_with_prefix,3,1,2762.20,2762.20,2762.20,0.00,0.00,0.39,0.00,0.00
query_differences_select_exact_with_prefix,4,1,2781.08,2781.08,2781.08,0.00,0.00,0.39,0.00,0.00
query_differences_select_exact_with_prefix,5,1,2771.01,2771.01,2771.01,0.00,0.00,0.39,0.00,0.00
query_differences_select_exact_with_prefix,6,1,2712.79,2712.79,2712.79,0.00,0.00,0.39,0.00,0.00
query_differences_select_exact_with_prefix,7,1,2769.95,2769.95,2769.95,0.00,0.00,0.39,0.00,0.00
query_differences_select_full_match,1,1,4211.28,4212.28,4212.28,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,2,1,4138.74,4137.74,4137.74,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,3,1,4207.00,4207.00,4207.00,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,4,1,4176.97,4176.97,4176.97,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,5,1,4165.80,4165.80,4165.80,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,6,1,4155.26,4155.26,4155.26,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,7,1,4113.60,4113.60,4113.60,0.00,0.00,0.27,0.00,0.00
query_differences_select_leftmost_prefix,1,1,1579.85,1579.85,1579.85,0.00,0.00,0.65,0.00,0.00
query_differences_select_leftmost_prefix,2,1,1604.42,1604.42,1604.42,0.00,0.00,0.65,0.00,0.00
query_differences_select_leftmost_prefix,3,1,1610.96,1610.96,1610.96,0.00,0.00,0.64,0.00,0.00
query_differences_select_leftmost_prefix,4,1,1619.00,1619.00,1619.00,0.00,0.00,0.64,0.00,0.00
query_differences_select_leftmost_prefix,5,1,1608.00,1608.00,1608.00,0.00,0.00,0.65,0.00,0.00
query_differences_select_leftmost_prefix,6,1,1603.00,1603.00,1603.00,0.00,0.00,0.65,0.00,0.00
query_differences_select_leftmost_prefix,7,1,1612.98,1612.98,1612.98,0.00,0.00,0.64,0.00,0.00
query_differences_select_not_leftmost,1,1,325.76,325.76,325.76,0.00,0.00,3.25,0.00,0.00
query_differences_select_not_leftmost,2,1,331.09,331.09,331.09,0.00,0.00,3.25,0.00,0.00
query_differences_select_not_leftmost,3,1,327.00,327.00,327.00,0.00,0.00,3.30,0.00,0.00
query_differences_select_not_leftmost,4,1,330.99,330.99,330.99,0.00,0.00,3.25,0.00,0.00
query_differences_select_not_leftmost,5,1,324.02,324.02,324.02,0.00,0.00,3.30,0.00,0.00
query_differences_select_not_leftmost,6,1,328.99,328.99,328.99,0.00,0.00,3.25,0.00,0.00
query_differences_select_not_leftmost,7,1,328.00,328.00,328.00,0.00,0.00,3.30,0.00,0.00
query_differences_select_not_leftmost,8,1,331.01,331.01,331.01,0.00,0.00,3.25,0.00,0.00
query_differences_select_range_values,1,1,379.72,379.72,379.72,0.00,0.00,2.76,0.00,0.00
query_differences_select_range_values,2,1,379.08,379.08,379.08,0.00,0.00,2.76,0.00,0.00
query_differences_select_range_values,3,1,377.03,377.03,377.03,0.00,0.00,2.86,0.00,0.00
query_differences_select_range_values,4,1,376.00,376.00,376.00,0.00,0.00,2.76,0.00,0.00
query_differences_select_range_values,5,1,383.99,383.99,383.99,0.00,0.00,2.76,0.00,0.00
query_differences_select_range_values,6,1,380.99,380.99,380.99,0.00,0.00,2.76,0.00,0.00
query_differences_select_range_values,7,1,385.98,386.98,386.98,0.00,0.00,2.71,0.00,0.00
query_differences_select_range_values,8,1,377.02,376.02,376.02,0.00,0.00,2.76,0.00,0.00
query_differences_select_range_with_like,1,1,2919.79,2919.79,2919.79,0.00,0.00,0.39,0.00,0.00
