Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
query_differences_insert,0,8001,5,8006,2,8006,0,0,8.7932s,2,4379.20,4396.33,4413.45,4437.27,8792.65
query_differences_select_column_prefix,6677,0,0,6677,6677,6677,0,0,8.0009s,6677,1.04,1.20,9.67,1.25,7994.08
query_differences_select_combined_match_with_range,28607,0,0,28607,28607,28607,0,0,8.0007s,28607,0.25,0.28,7.90,0.31,7975.94
query_differences_select_exact_with_prefix,21846,0,0,21846,21846,21846,0,0,8.0008s,21846,0.34,0.37,7.76,0.39,7980.71
query_differences_select_full_match,33654,0,0,33654,33654,33654,0,0,8.0007s,33654,0.21,0.24,7.62,0.27,7970.82
query_differences_select_leftmost_prefix,12685,0,0,12685,12685,12685,0,0,8.0008s,12685,0.56,0.63,8.24,0.67,7989.45
query_differences_select_not_leftmost,2610,0,0,2610,2610,2610,0,0,8.0008s,2610,2.51,3.06,10.88,3.30,7997.29
query_differences_select_range_values,3021,0,0,3021,3021,3021,0,0,8.0033s,3021,2.33,2.65,10.71,2.76,7999.27
query_differences_select_range_with_like,23976,0,0,23976,23976,23976,0,0,8.0007s,23976,0.30,0.33,8.13,0.36,7977.06
query_differences_select_skip_columns,15627,0,0,15627,15627,15627,0,0,8.0011s,15627,0.48,0.51,8.50,0.55,7986.10
