Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,1061.96,0.00,1058.96,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,1037.54,0.00,1037.54,0.00,0.00,0.00,0.00
query_differences_insert,3,1,0.00,1061.01,0.00,1061.01,0.00,0.00,0.00,0.00
query_differences_insert,4,1,1.00,898.94,0.00,896.94,2.00,3911.79,0.00,0.00
query_differences_insert,5,1,0.00,1090.01,0.00,1090.01,0.00,0.00,0.00,0.00
query_differences_insert,6,1,0.00,1053.04,0.00,1053.04,0.00,0.00,0.00,0.00
query_differences_insert,7,1,0.00,1015.01,0.00,1015.01,0.00,0.00,0.00,0.00
query_differences_insert,8,1,1.00,992.94,0.00,990.94,2.00,3841.98,0.00,0.00
query_differences_insert,9,1,0.00,1076.02,0.00,1076.02,0.00,0.00,0.00,0.00
query_differences_insert,10,1,0.00,1074.06,0.00,1074.06,0.00,0.00,0.00,0.00
query_differences_insert,11,1,0.00,1029.98,0.00,1029.98,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,1,1,709.34,709.34,709.34,0.00,0.00,1.61,0.00,0.00
query_differences_select_column_prefix,2,1,805.35,805.35,805.35,0.00,0.00,1.61,0.00,0.00
query_differences_select_column_prefix,3,1,860.02,860.02,860.02,0.00,0.00,1.21,0.00,0.00
query_differences_select_column_prefix,4,1,863.98,863.98,863.98,0.00,0.00,1.23,0.00,0.00
query_differences_select_column_prefix,5,1,862.89,862.89,862.89,0.00,0.00,1.21,0.00,0.00
query_differences_select_column_prefix,6,1,870.08,870.08,870.08,0.00,0.00,1.21,0.00,0.00
query_differences_select_column_prefix,7,1,875.00,875.00,875.00,0.00,0.00,1.18,0.00,0.00
query_differences_select_combined_match_with_range,1,1,3695.98,3695.98,3695.98,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,2,1,3725.56,3725.56,3725.56,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,3,1,3656.88,3656.88,3656.88,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,4,1,3665.98,3665.98,3665.98,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,5,1,3689.94,3689.94,3689.94,0.00,0.00,0.30,0.00,0.00
