Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,1,1,801.44,1600.66,801.44,796.22,3.00,1.64,0.00,0.00,799.22
column_prefix,2,1,750.09,1477.45,750.09,727.36,0.00,1.64,0.00,0.00,727.36
column_prefix,3,1,788.06,1523.11,788.06,735.05,0.00,1.64,0.00,0.00,735.05
column_prefix,4,1,842.02,1524.01,842.02,681.99,0.00,1.25,0.00,0.00,681.99
column_prefix,5,1,830.01,1552.03,830.01,722.02,0.00,1.25,0.00,0.00,722.02
column_prefix,6,1,842.91,1496.87,841.91,652.96,2.00,5508.79,0.00,0.00,654.96
column_prefix,7,1,834.10,1742.11,834.10,908.01,0.00,1.25,0.00,0.00,908.01
column_prefix,8,1,843.90,1926.88,843.90,1082.98,0.00,1.25,0.00,0.00,1082.98
combined_match_with_range,1,1,3498.07,4297.29,3498.07,796.22,3.00,0.32,0.00,0.00,799.22
combined_match_with_range,2,1,3548.14,4275.50,3548.14,727.36,0.00,0.31,0.00,0.00,727.36
combined_match_with_range,3,1,3514.84,4249.89,3514.84,735.05,0.00,0.31,0.00,0.00,735.05
combined_match_with_range,4,1,3569.11,4251.10,3569.11,681.99,0.00,0.31,0.00,0.00,681.99
combined_match_with_range,5,1,3542.26,4264.28,3542.26,722.02,0.00,0.31,0.00,0.00,722.02
combined_match_with_range,6,1,3612.99,4266.95,3611.99,652.96,2.00,5507.84,0.00,0.00,654.96
combined_match_with_range,7,1,3545.97,4453.98,3545.97,908.01,0.00,0.31,0.00,0.00,908.01
exact_with_prefix,1,1,2705.08,3504.30,2705.08,796.22,3.00,0.39,0.00,0.00,799.22
exact_with_prefix,2,1,2677.69,3405.05,2677.69,727.36,0.00,0.41,0.00,0.00,727.36
exact_with_prefix,3,1,2733.00,3468.05,2733.00,735.05,0.00,0.39,0.00,0.00,735.05
exact_with_prefix,4,1,2718.98,3400.97,2718.98,681.99,0.00,0.40,0.00,0.00,681.99
exact_with_prefix,5,1,2687.76,3409.78,2687.76,722.02,0.00,0.40,0.00,0.00,722.02
exact_with_prefix,6,1,2691.26,3345.22,2690.26,652.96,2.00,5507.95,0.00,0.00,654.96
exact_with_prefix,7,1,2738.97,3646.98,2738.97,908.01,0.00,0.39,0.00,0.00,908.01
exact_with_prefix,8,1,2682.97,3765.95,2682.97,1082.98,0.00,0.40,0.00,0.00,1082.98
full_match,1,1,4116.57,4915.79,4116.57,796.22,3.00,0.26,0.00,0.00,799.22
full_match,2,1,4134.58,4861.94,4134.58,727.36,0.00,0.27,0.00,0.00,727.36
full_match,3,1,4124.91,4859.96,4124.91,735.05,0.00,0.27,0.00,0.00,735.05
full_match,4,1,4105.81,4787.80,4105.81,681.99,0.00,0.27,0.00,0.00,681.99
full_match,5,1,4185.99,4908.01,4185.99,722.02,0.00,0.26,0.00,0.00,722.02
full_match,6,1,4094.91,4748.87,4093.91,652.96,2.00,5507.81,0.00,0.00,654.96
full_match,7,1,4167.12,5075.13,4167.12,908.01,0.00,0.26,0.00,0.00,908.01
leftmost_prefix,1,1,1547.91,2347.13,1547.91,796.22,3.00,0.68,0.00,0.00,799.22
leftmost_prefix,2,1,1573.41,2300.77,1573.41,727.36,0.00,0.67,0.00,0.00,727.36
leftmost_prefix,3,1,1582.99,2318.04,1582.99,735.05,0.00,0.67,0.00,0.00,735.05
leftmost_prefix,4,1,1581.86,2263.85,1581.86,681.99,0.00,0.67,0.00,0.00,681.99
leftmost_prefix,5,1,1588.20,2310.22,1588.20,722.02,0.00,0.65,0.00,0.00,722.02
leftmost_prefix,6,1,1587.94,2241.90,1586.94,652.96,2.00,5508.21,0.00,0.00,654.96
leftmost_prefix,7,1,1578.99,2487.00,1578.99,908.01,0.00,0.67,0.00,0.00,908.01
leftmost_prefix,8,1,1590.87,2673.85,1590.87,1082.98,0.00,0.65,0.00,0.00,1082.98
not_leftmost,1,1,320.74,1119.96,320.74,796.22,3.00,3.30,0.00,0.00,799.22
not_leftmost,2,1,320.09,1047.45,320.09,727.36,0.00,3.36,0.00,0.00,727.36
not_leftmost,3,1,324.01,1059.06,324.01,735.05,0.00,3.30,0.00,0.00,735.05
not_leftmost,4,1,326.02,1008.01,326.02,681.99,0.00,3.30,0.00,0.00,681.99
not_leftmost,5,1,324.99,1047.01,324.99,722.02,0.00,3.30,0.00,0.00,722.02
not_leftmost,6,1,326.00,979.96,325.00,652.96,2.00,5510.84,0.00,0.00,654.96
not_leftmost,7,1,326.99,1235.00,326.99,908.01,0.00,3.30,0.00,0.00,908.01
not_leftmost,8,1,326.01,1408.99,326.01,1082.98,0.00,3.30,0.00,0.00,1082.98
range_values,1,1,374.68,1173.90,374.68,796.22,3.00,2.76,0.00,0.00,799.22
range_values,2,1,375.13,1102.49,375.13,727.36,0.00,2.81,0.00,0.00,727.36
range_values,3,1,374.97,1110.02,374.97,735.05,0.00,2.91,0.00,0.00,735.05
range_values,4,1,381.03,1063.02,381.03,681.99,0.00,2.81,0.00,0.00,681.99
range_values,5,1,379.99,1102.01,379.99,722.02,0.00,2.76,0.00,0.00,722.02
range_values,6,1,379.00,1032.96,378.00,652.96,2.00,5510.67,0.00,0.00,654.96
