Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,799.22,0.00,796.22,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,727.36,0.00,727.36,0.00,0.00,0.00,0.00
query_differences_insert,3,1,0.00,735.05,0.00,735.05,0.00,0.00,0.00,0.00
query_differences_insert,4,1,0.00,681.99,0.00,681.99,0.00,0.00,0.00,0.00
query_differences_insert,5,1,0.00,722.02,0.00,722.02,0.00,0.00,0.00,0.00
query_differences_insert,6,1,1.00,654.96,0.00,652.96,2.00,5507.54,0.00,0.00
query_differences_insert,7,1,0.00,908.01,0.00,908.01,0.00,0.00,0.00,0.00
query_differences_insert,8,1,0.00,1082.98,0.00,1082.98,0.00,0.00,0.00,0.00
query_differences_insert,9,1,0.00,996.00,0.00,996.00,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,1,1,801.44,801.44,801.44,0.00,0.00,1.64,0.00,0.00
query_differences_select_column_prefix,2,1,750.09,750.09,750.09,0.00,0.00,1.64,0.00,0.00
query_differences_select_column_prefix,3,1,788.06,788.06,788.06,0.00,0.00,1.64,0.00,0.00
query_differences_select_column_prefix,4,1,842.02,842.02,842.02,0.00,0.00,1.25,0.00,0.00
query_differences_select_column_prefix,5,1,830.01,830.01,830.01,0.00,0.00,1.25,0.00,0.00
query_differences_select_column_prefix,6,1,841.91,841.91,841.91,0.00,0.00,1.25,0.00,0.00
query_differences_select_column_prefix,7,1,834.10,834.10,834.10,0.00,0.00,1.25,0.00,0.00
query_differences_select_column_prefix,8,1,843.90,843.90,843.90,0.00,0.00,1.25,0.00,0.00
query_differences_select_combined_match_with_range,1,1,3498.07,3498.07,3498.07,0.00,0.00,0.32,0.00,0.00
query_differences_select_combined_match_with_range,2,1,3548.14,3548.14,3548.14,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,3,1,3514.84,3514.84,3514.84,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,4,1,3569.11,3569.11,3569.11,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,5,1,3542.26,3542.26,3542.26,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,6,1,3611.99,3611.99,3611.99,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,7,1,3545.97,3545.97,3545.97,0.00,0.00,0.31,0.00,0.00
query_differences_select_exact_with_prefix,1,1,2705.08,2705.08,2705.08,0.00,0.00,0.39,0.00,0.00
query_differences_select_exact_with_prefix,2,1,2677.69,2677.69,2677.69,0.00,0.00,0.41,0.00,0.00
query_differences_select_exact_with_prefix,3,1,2733.00,2733.00,2733.00,0.00,0.00,0.39,0.00,0.00
query_differences_select_exact_with_prefix,4,1,2718.98,2718.98,2718.98,0.00,0.00,0.40,0.00,0.00
query_differences_select_exact_with_prefix,5,1,2687.76,2687.76,2687.76,0.00,0.00,0.40,0.00,0.00
query_differences_select_exact_with_prefix,6,1,2690.26,2690.26,2690.26,0.00,0.00,0.41,0.00,0.00
query_differences_select_exact_with_prefix,7,1,2738.97,2738.97,2738.97,0.00,0.00,0.39,0.00,0.00
query_differences_select_exact_with_prefix,8,1,2682.97,2682.97,2682.97,0.00,0.00,0.40,0.00,0.00
query_differences_select_full_match,1,1,4116.57,4116.57,4116.57,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,2,1,4134.58,4134.58,4134.58,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,3,1,4124.91,4124.91,4124.91,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,4,1,4105.81,4105.81,4105.81,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,5,1,4185.99,4185.99,4185.99,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,6,1,4093.91,4093.91,4093.91,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,7,1,4167.12,4167.12,4167.12,0.00,0.00,0.26,0.00,0.00
query_differences_select_leftmost_prefix,1,1,1547.91,1547.91,1547.91,0.00,0.00,0.68,0.00,0.00
query_differences_select_leftmost_prefix,2,1,1573.41,1573.41,1573.41,0.00,0.00,0.67,0.00,0.00
query_differences_select_leftmost_prefix,3,1,1582.99,1582.99,1582.99,0.00,0.00,0.67,0.00,0.00
query_differences_select_leftmost_prefix,4,1,1581.86,1581.86,1581.86,0.00,0.00,0.67,0.00,0.00
query_differences_select_leftmost_prefix,5,1,1588.20,1588.20,1588.20,0.00,0.00,0.65,0.00,0.00
query_differences_select_leftmost_prefix,6,1,1586.94,1586.94,1586.94,0.00,0.00,0.67,0.00,0.00
query_differences_select_leftmost_prefix,7,1,1578.99,1578.99,1578.99,0.00,0.00,0.67,0.00,0.00
query_differences_select_leftmost_prefix,8,1,1590.87,1590.87,1590.87,0.00,0.00,0.65,0.00,0.00
query_differences_select_not_leftmost,1,1,320.74,320.74,320.74,0.00,0.00,3.30,0.00,0.00
query_differences_select_not_leftmost,2,1,320.09,320.09,320.09,0.00,0.00,3.36,0.00,0.00
query_differences_select_not_leftmost,3,1,324.01,324.01,324.01,0.00,0.00,3.30,0.00,0.00
