Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,1,1,820.38,1742.44,820.38,919.07,3.00,1.27,0.00,0.00,922.06
column_prefix,2,1,836.19,1870.68,836.19,1034.49,0.00,1.25,0.00,0.00,1034.49
column_prefix,3,1,831.04,1803.12,831.04,972.08,0.00,1.25,0.00,0.00,972.08
column_prefix,4,1,828.01,1721.00,828.01,892.99,0.00,1.25,0.00,0.00,892.99
column_prefix,5,1,831.97,1686.91,830.97,853.94,2.00,4205.18,0.00,0.00,855.94
column_prefix,6,1,831.00,1463.02,831.00,632.02,0.00,1.25,0.00,0.00,632.02
column_prefix,7,1,831.98,1647.01,831.98,815.03,0.00,1.25,0.00,0.00,815.03
column_prefix,8,1,831.02,1732.04,831.02,901.02,0.00,1.27,0.00,0.00,901.02
combined_match_with_range,1,1,3467.56,4389.62,3467.56,919.07,3.00,0.32,0.00,0.00,922.06
combined_match_with_range,2,1,3441.67,4476.16,3441.67,1034.49,0.00,0.32,0.00,0.00,1034.49
combined_match_with_range,3,1,3513.04,4485.12,3513.04,972.08,0.00,0.32,0.00,0.00,972.08
combined_match_with_range,4,1,3520.79,4413.78,3520.79,892.99,0.00,0.32,0.00,0.00,892.99
combined_match_with_range,5,1,3515.04,4369.98,3514.04,853.94,2.00,4204.24,0.00,0.00,855.94
combined_match_with_range,6,1,3570.25,4202.27,3570.25,632.02,0.00,0.31,0.00,0.00,632.02
combined_match_with_range,7,1,3552.61,4367.64,3552.61,815.03,0.00,0.31,0.00,0.00,815.03
exact_with_prefix,1,1,2728.83,3650.89,2728.83,919.07,3.00,0.39,0.00,0.00,922.06
exact_with_prefix,2,1,2664.92,3699.41,2664.92,1034.49,0.00,0.41,0.00,0.00,1034.49
exact_with_prefix,3,1,2700.00,3672.08,2700.00,972.08,0.00,0.40,0.00,0.00,972.08
exact_with_prefix,4,1,2734.99,3627.98,2734.99,892.99,0.00,0.39,0.00,0.00,892.99
exact_with_prefix,5,1,2735.76,3590.70,2734.76,853.94,2.00,4204.32,0.00,0.00,855.94
