Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,626.47,0.00,623.47,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,653.25,0.00,653.25,0.00,0.00,0.00,0.00
query_differences_insert,3,1,0.00,644.00,0.00,644.00,0.00,0.00,0.00,0.00
query_differences_insert,4,1,0.00,590.98,0.00,590.98,0.00,0.00,0.00,0.00
query_differences_insert,5,1,0.00,656.02,0.00,656.02,0.00,0.00,0.00,0.00
query_differences_insert,6,1,0.00,662.01,0.00,662.01,0.00,0.00,0.00,0.00
query_differences_insert,7,1,1.00,766.99,0.00,764.99,2.00,6247.39,0.00,0.00
query_differences_insert,8,1,0.00,696.00,0.00,696.00,0.00,0.00,0.00,0.00
query_differences_insert,9,1,0.00,838.99,0.00,838.99,0.00,0.00,0.00,0.00
query_differences_insert,10,1,0.00,682.02,0.00,682.02,0.00,0.00,0.00,0.00
query_differences_insert,11,1,0.00,632.97,0.00,632.97,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,1,1,829.29,829.29,829.29,0.00,0.00,1.25,0.00,0.00
query_differences_select_column_prefix,2,1,847.25,847.25,847.25,0.00,0.00,1.23,0.00,0.00
query_differences_select_column_prefix,3,1,836.10,836.10,836.10,0.00,0.00,1.27,0.00,0.00
query_differences_select_column_prefix,4,1,839.91,839.91,839.91,0.00,0.00,1.25,0.00,0.00
query_differences_select_column_prefix,5,1,836.07,836.07,836.07,0.00,0.00,1.25,0.00,0.00
query_differences_select_column_prefix,6,1,841.01,841.01,841.01,0.00,0.00,1.23,0.00,0.00
query_differences_select_column_prefix,7,1,808.92,808.92,808.92,0.00,0.00,1.32,0.00,0.00
query_differences_select_column_prefix,8,1,714.07,714.07,714.07,0.00,0.00,1.64,0.00,0.00
query_differences_select_combined_match_with_range,1,1,3461.55,3461.55,3461.55,0.00,0.00,0.32,0.00,0.00
query_differences_select_combined_match_with_range,2,1,3529.83,3529.83,3529.83,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,3,1,3500.02,3500.02,3500.02,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,4,1,3536.85,3536.85,3536.85,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,5,1,3648.77,3648.77,3648.77,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,6,1,3562.34,3562.34,3562.34,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,7,1,3647.91,3647.91,3647.91,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,8,1,3514.96,3514.96,3514.96,0.00,0.00,0.31,0.00,0.00
query_differences_select_exact_with_prefix,1,1,2704.20,2704.20,2704.20,0.00,0.00,0.39,0.00,0.00
