Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
column_prefix,1.00,1.00,674.43,1410.66,674.43,733.23,3.00,1.52,0.00,0.00
column_prefix,2.00,1.00,666.17,1343.53,666.17,677.36,0.00,1.64,0.00,0.00
column_prefix,3.00,1.00,670.03,1337.09,670.03,667.06,0.00,1.58,0.00,0.00
column_prefix,4.00,1.00,668.97,1314.90,668.97,645.93,0.00,1.55,0.00,0.00
column_prefix,5.00,1.00,674.01,1358.03,674.01,684.02,0.00,1.52,0.00,0.00
column_prefix,6.00,1.00,675.03,1307.06,674.03,631.03,2.00,5920.39,0.00,0.00
column_prefix,7.00,1.00,673.97,1360.91,673.97,686.94,0.00,1.52,0.00,0.00
column_prefix,8.00,1.00,532.05,1397.12,532.05,865.07,0.00,2.22,0.00,0.00
combined_match_with_range,1.00,1.00,2819.59,3555.82,2819.59,733.23,3.00,0.39,0.00,0.00
combined_match_with_range,2.00,1.00,2980.91,3658.27,2980.91,677.36,0.00,0.36,0.00,0.00
combined_match_with_range,3.00,1.00,3121.23,3788.29,3121.23,667.06,0.00,0.35,0.00,0.00
combined_match_with_range,4.00,1.00,3116.98,3762.91,3116.98,645.93,0.00,0.35,0.00,0.00
combined_match_with_range,5.00,1.00,3115.91,3799.93,3115.91,684.02,0.00,0.35,0.00,0.00
combined_match_with_range,6.00,1.00,3114.13,3746.16,3113.13,631.03,2.00,5919.22,0.00,0.00
combined_match_with_range,7.00,1.00,3089.78,3776.72,3089.78,686.94,0.00,0.35,0.00,0.00
exact_with_prefix,1.00,1.00,2424.72,3160.95,2424.72,733.23,3.00,0.44,0.00,0.00
exact_with_prefix,2.00,1.00,2464.20,3141.56,2464.20,677.36,0.00,0.44,0.00,0.00
exact_with_prefix,3.00,1.00,2469.68,3136.74,2469.68,667.06,0.00,0.43,0.00,0.00
exact_with_prefix,4.00,1.00,2401.13,3047.06,2401.13,645.93,0.00,0.55,0.00,0.00
exact_with_prefix,5.00,1.00,2457.13,3141.15,2457.13,684.02,0.00,0.44,0.00,0.00
exact_with_prefix,6.00,1.00,2426.72,3058.75,2425.72,631.03,2.00,5919.33,0.00,0.00
exact_with_prefix,7.00,1.00,2463.04,3149.98,2463.04,686.94,0.00,0.43,0.00,0.00
exact_with_prefix,8.00,1.00,2463.22,3328.29,2463.22,865.07,0.00,0.43,0.00,0.00
full_match,1.00,1.00,3588.74,4324.97,3588.74,733.23,3.00,0.30,0.00,0.00
full_match,2.00,1.00,3590.63,4267.99,3590.63,677.36,0.00,0.30,0.00,0.00
full_match,3.00,1.00,3617.72,4284.78,3617.72,667.06,0.00,0.30,0.00,0.00
full_match,4.00,1.00,3592.91,4238.84,3592.91,645.93,0.00,0.30,0.00,0.00
full_match,5.00,1.00,3601.97,4285.99,3601.97,684.02,0.00,0.30,0.00,0.00
full_match,6.00,1.00,3552.21,4184.24,3551.21,631.03,2.00,5919.19,0.00,0.00
full_match,7.00,1.00,3639.72,4326.66,3639.72,686.94,0.00,0.30,0.00,0.00
leftmost_prefix,1.00,1.00,1314.82,2051.05,1314.82,733.23,3.00,0.78,0.00,0.00
leftmost_prefix,2.00,1.00,1326.48,2003.84,1326.48,677.36,0.00,0.78,0.00,0.00
leftmost_prefix,3.00,1.00,1321.96,1989.02,1321.96,667.06,0.00,0.80,0.00,0.00
leftmost_prefix,4.00,1.00,1327.09,1973.02,1327.09,645.93,0.00,0.78,0.00,0.00
leftmost_prefix,5.00,1.00,1318.96,2002.98,1318.96,684.02,0.00,0.80,0.00,0.00
leftmost_prefix,6.00,1.00,1316.99,1949.02,1315.99,631.03,2.00,5919.67,0.00,0.00
leftmost_prefix,7.00,1.00,1268.86,1955.80,1268.86,686.94,0.00,1.08,0.00,0.00
leftmost_prefix,8.00,1.00,1294.16,2159.23,1294.16,865.07,0.00,0.87,0.00,0.00
not_leftmost,1.00,1.00,242.79,979.02,242.79,733.23,3.00,4.10,0.00,0.00
not_leftmost,2.00,1.00,245.08,922.44,245.08,677.36,0.00,4.18,0.00,0.00
not_leftmost,3.00,1.00,239.00,906.06,239.00,667.06,0.00,4.65,0.00,0.00
not_leftmost,4.00,1.00,244.01,889.94,244.01,645.93,0.00,4.25,0.00,0.00
not_leftmost,5.00,1.00,243.00,927.02,243.00,684.02,0.00,4.18,0.00,0.00
not_leftmost,6.00,1.00,241.97,874.00,240.97,631.03,2.00,5923.44,0.00,0.00
not_leftmost,7.00,1.00,239.03,925.97,239.03,686.94,0.00,5.18,0.00,0.00
not_leftmost,8.00,1.00,246.00,1111.07,246.00,865.07,0.00,4.10,0.00,0.00
range_values,1.00,1.00,306.73,1042.96,306.73,733.23,3.00,3.30,0.00,0.00
range_values,2.00,1.00,304.09,981.45,304.09,677.36,0.00,3.36,0.00,0.00
range_values,3.00,1.00,303.99,971.05,303.99,667.06,0.00,3.49,0.00,0.00
range_values,4.00,1.00,308.02,953.95,308.02,645.93,0.00,3.36,0.00,0.00
range_values,5.00,1.00,305.99,990.01,305.99,684.02,0.00,3.36,0.00,0.00
range_values,6.00,1.00,304.99,937.02,303.99,631.03,2.00,5922.23,0.00,0.00
range_values,7.00,1.00,302.99,989.93,302.99,686.94,0.00,3.36,0.00,0.00
range_values,8.00,1.00,309.01,1174.08,309.01,865.07,0.00,3.30,0.00,0.00
range_with_like,1.00,1.00,2648.52,3384.75,2648.52,733.23,3.00,0.41,0.00,0.00
range_with_like,2.00,1.00,2674.93,3352.29,2674.93,677.36,0.00,0.40,0.00,0.00
range_with_like,3.00,1.00,2677.97,3345.03,2677.97,667.06,0.00,0.40,0.00,0.00
range_with_like,4.00,1.00,2684.00,3329.93,2684.00,645.93,0.00,0.40,0.00,0.00
range_with_like,5.00,1.00,2667.98,3352.00,2667.98,684.02,0.00,0.41,0.00,0.00
range_with_like,6.00,1.00,2673.02,3305.05,2672.02,631.03,2.00,5919.27,0.00,0.00
range_with_like,7.00,1.00,2681.02,3367.96,2681.02,686.94,0.00,0.40,0.00,0.00
skip_columns,1.00,1.00,1780.39,2516.62,1780.39,733.23,3.00,0.59,0.00,0.00
skip_columns,2.00,1.00,1799.60,2476.96,1799.60,677.36,0.00,0.59,0.00,0.00
skip_columns,3.00,1.00,1781.99,2449.05,1781.99,667.06,0.00,0.59,0.00,0.00
skip_columns,4.00,1.00,1782.00,2427.93,1782.00,645.93,0.00,0.59,0.00,0.00
skip_columns,5.00,1.00,1798.02,2482.04,1798.02,684.02,0.00,0.59,0.00,0.00
skip_columns,6.00,1.00,1751.11,2383.14,1750.11,631.03,2.00,5919.52,0.00,0.00
skip_columns,7.00,1.00,1758.06,2445.00,1758.06,686.94,0.00,0.74,0.00,0.00
skip_columns,8.00,1.00,1803.87,2668.94,1803.87,865.07,0.00,0.59,0.00,0.00
