Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,2,4,1301.42,4032.07,1301.42,693.66,2037.00,3.89,1.50,0.00,2730.65
column_prefix,4,4,1299.47,4000.02,1299.47,675.14,2025.41,3.96,0.00,0.00,2700.55
column_prefix,6,4,1289.24,3921.38,1289.24,658.03,1974.10,4.25,0.00,0.00,2632.14
column_prefix,8,4,1281.93,3856.34,1279.93,670.98,1905.43,7484.23,4.50,0.00,2576.41
column_prefix,10,4,1318.56,4032.66,1318.56,678.52,2035.57,3.96,0.00,0.00,2714.10
column_prefix,12,4,1323.50,4039.35,1323.50,678.96,2036.89,3.89,0.00,0.00,2715.85
column_prefix,14,4,1305.02,3825.13,1305.02,630.03,1890.08,4.03,0.00,0.00,2520.11
column_prefix,16,4,1323.41,4360.87,1321.41,769.49,2269.97,7619.78,3.00,0.00,3039.46
column_prefix,18,4,1320.59,4222.67,1320.59,725.52,2176.56,3.96,0.00,0.00,2902.08
combined_match_with_range,2,4,8784.04,11514.69,8784.04,693.66,2037.00,0.63,1.50,0.00,2730.65
combined_match_with_range,4,4,8870.97,11571.52,8870.97,675.14,2025.41,0.62,0.00,0.00,2700.55
combined_match_with_range,6,4,8898.52,11530.66,8898.52,658.03,1974.10,0.62,0.00,0.00,2632.14
combined_match_with_range,8,4,8902.48,11476.89,8900.48,670.98,1905.43,7480.60,4.50,0.00,2576.41
combined_match_with_range,10,4,8933.53,11647.63,8933.53,678.52,2035.57,0.62,0.00,0.00,2714.10
combined_match_with_range,12,4,8895.02,11610.87,8895.02,678.96,2036.89,0.62,0.00,0.00,2715.85
combined_match_with_range,14,4,8909.00,11429.11,8909.00,630.03,1890.08,0.61,0.00,0.00,2520.11
combined_match_with_range,16,4,8862.48,11899.94,8860.48,769.49,2269.97,7616.51,3.00,0.00,3039.46
combined_match_with_range,18,4,8978.65,11880.73,8978.65,725.52,2176.56,0.61,0.00,0.00,2902.08
exact_with_prefix,2,4,5931.33,8661.98,5931.33,693.66,2037.00,0.90,1.50,0.00,2730.65
exact_with_prefix,4,4,5956.03,8656.58,5956.03,675.14,2025.41,0.90,0.00,0.00,2700.55
exact_with_prefix,6,4,5988.49,8620.63,5988.49,658.03,1974.10,0.92,0.00,0.00,2632.14
exact_with_prefix,8,4,5955.47,8529.88,5953.47,670.98,1905.43,7480.90,4.50,0.00,2576.41
exact_with_prefix,10,4,5959.51,8674.11,5960.01,678.52,2035.57,0.92,0.00,0.00,2714.10
exact_with_prefix,12,4,5993.06,8708.41,5992.56,678.96,2036.89,0.90,0.00,0.00,2715.85
exact_with_prefix,14,4,5975.40,8495.51,5975.40,630.03,1890.08,0.90,0.00,0.00,2520.11
exact_with_prefix,16,4,5966.57,9004.03,5964.57,769.49,2269.97,7616.81,3.00,0.00,3039.46
exact_with_prefix,18,4,5985.47,8888.05,5985.97,725.52,2176.56,0.92,0.00,0.00,2902.08
full_match,2,4,10201.39,12932.04,10201.39,693.66,2037.00,0.55,1.50,0.00,2730.65
full_match,4,4,10315.13,13015.68,10315.13,675.14,2025.41,0.55,0.00,0.00,2700.55
full_match,6,4,10401.47,13033.61,10401.47,658.03,1974.10,0.54,0.00,0.00,2632.14
full_match,8,4,10433.01,13007.42,10431.01,670.98,1905.43,7480.52,4.50,0.00,2576.41
full_match,10,4,10382.03,13096.13,10382.03,678.52,2035.57,0.54,0.00,0.00,2714.10
full_match,12,4,10349.99,13065.84,10349.99,678.96,2036.89,0.55,0.00,0.00,2715.85
full_match,14,4,10467.98,12988.09,10467.98,630.03,1890.08,0.54,0.00,0.00,2520.11
full_match,16,4,10386.83,13424.29,10384.83,769.49,2269.97,7616.43,3.00,0.00,3039.46
full_match,18,4,10352.26,13254.34,10352.26,725.52,2176.56,0.54,0.00,0.00,2902.08
leftmost_prefix,2,4,2789.27,5519.92,2789.27,693.66,2037.00,1.89,1.50,0.00,2730.65
leftmost_prefix,4,4,2815.94,5516.49,2815.94,675.14,2025.41,1.86,0.00,0.00,2700.55
leftmost_prefix,6,4,2803.01,5435.15,2803.01,658.03,1974.10,1.89,0.00,0.00,2632.14
leftmost_prefix,8,4,2803.98,5378.39,2801.98,670.98,1905.43,7481.87,4.50,0.00,2576.41
leftmost_prefix,10,4,2812.02,5526.12,2812.02,678.52,2035.57,1.86,0.00,0.00,2714.10
leftmost_prefix,12,4,2786.00,5501.85,2786.00,678.96,2036.89,1.89,0.00,0.00,2715.85
leftmost_prefix,14,4,2809.24,5329.35,2809.24,630.03,1890.08,1.86,0.00,0.00,2520.11
leftmost_prefix,16,4,2801.75,5839.21,2799.75,769.49,2269.97,7617.82,3.00,0.00,3039.46
leftmost_prefix,18,4,2795.51,5697.59,2795.51,725.52,2176.56,1.86,0.00,0.00,2902.08
not_leftmost,2,4,467.35,3198.00,467.35,693.66,2037.00,11.65,1.50,0.00,2730.65
not_leftmost,4,4,469.52,3170.07,469.52,675.14,2025.41,11.45,0.00,0.00,2700.55
not_leftmost,6,4,470.50,3102.64,470.50,658.03,1974.10,11.24,0.00,0.00,2632.14
not_leftmost,8,4,474.50,3049.41,473.00,670.98,1905.43,7491.43,4.50,0.00,2576.41
not_leftmost,10,4,470.50,3184.10,470.00,678.52,2035.57,11.87,0.00,0.00,2714.10
not_leftmost,12,4,470.50,3186.35,470.50,678.96,2036.89,11.87,0.00,0.00,2715.85
not_leftmost,14,4,472.00,2992.11,472.00,630.03,1890.08,11.24,0.00,0.00,2520.11
not_leftmost,16,4,472.50,3509.96,470.50,769.49,2269.97,7627.34,3.00,0.00,3039.46
not_leftmost,18,4,471.50,3373.58,471.50,725.52,2176.56,11.87,0.00,0.00,2902.08
range_values,2,4,582.76,3313.41,582.76,693.66,2037.00,8.74,1.50,0.00,2730.65
range_values,4,4,579.09,3279.64,579.09,675.14,2025.41,8.90,0.00,0.00,2700.55
range_values,6,4,574.00,3206.14,574.00,658.03,1974.10,9.39,0.00,0.00,2632.14
range_values,8,4,585.50,3159.91,583.50,670.98,1905.43,7488.88,4.50,0.00,2576.41
range_values,10,4,581.49,3295.59,581.49,678.52,2035.57,9.22,0.00,0.00,2714.10
range_values,12,4,585.00,3300.85,585.00,678.96,2036.89,8.90,0.00,0.00,2715.85
range_values,14,4,585.51,3105.62,585.51,630.03,1890.08,8.90,0.00,0.00,2520.11
range_values,16,4,580.00,3617.46,578.00,769.49,2269.97,7624.79,3.00,0.00,3039.46
range_values,18,4,585.99,3488.07,585.99,725.52,2176.56,8.74,0.00,0.00,2902.08
range_with_like,2,4,6700.39,9431.04,6700.39,693.66,2037.00,0.80,1.50,0.00,2730.65
range_with_like,4,4,6798.14,9498.69,6798.14,675.14,2025.41,0.80,0.00,0.00,2700.55
range_with_like,6,4,6741.50,9373.64,6741.50,658.03,1974.10,0.81,0.00,0.00,2632.14
range_with_like,8,4,6755.54,9329.95,6753.54,670.98,1905.43,7480.78,4.50,0.00,2576.41
range_with_like,10,4,6783.92,9498.02,6783.92,678.52,2035.57,0.81,0.00,0.00,2714.10
range_with_like,12,4,6796.54,9512.39,6796.54,678.96,2036.89,0.80,0.00,0.00,2715.85
range_with_like,14,4,6771.50,9291.61,6771.50,630.03,1890.08,0.81,0.00,0.00,2520.11
range_with_like,16,4,6787.02,9824.48,6785.02,769.49,2269.97,7616.69,3.00,0.00,3039.46
range_with_like,18,4,6760.05,9662.13,6760.05,725.52,2176.56,0.80,0.00,0.00,2902.08
skip_columns,2,4,3299.52,6030.17,3299.52,693.66,2037.00,1.58,1.50,0.00,2730.65
skip_columns,4,4,3346.03,6046.58,3346.03,675.14,2025.41,1.58,0.00,0.00,2700.55
skip_columns,6,4,3354.54,5986.68,3354.54,658.03,1974.10,1.61,0.00,0.00,2632.14
skip_columns,8,4,3348.97,5923.38,3346.97,670.98,1905.43,7481.56,4.50,0.00,2576.41
skip_columns,10,4,3340.50,6054.60,3340.50,678.52,2035.57,1.58,0.00,0.00,2714.10
skip_columns,12,4,3331.05,6046.90,3331.05,678.96,2036.89,1.64,0.00,0.00,2715.85
skip_columns,14,4,3334.45,5854.56,3334.45,630.03,1890.08,1.61,0.00,0.00,2520.11
skip_columns,16,4,3340.50,6377.96,3338.50,769.49,2269.97,7617.47,3.00,0.00,3039.46
skip_columns,18,4,3335.78,6237.86,3335.78,725.52,2176.56,1.61,0.00,0.00,2902.08
