Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,2730.65,0.00,693.66,2037.00,0.00,1.50,0.00
query_differences_insert,4,4,0.00,2700.55,0.00,675.14,2025.41,0.00,0.00,0.00
query_differences_insert,6,4,0.00,2632.14,0.00,658.03,1974.10,0.00,0.00,0.00
query_differences_insert,8,4,2.00,2576.41,0.00,670.98,1905.43,7479.98,4.50,0.00
query_differences_insert,10,4,0.00,2714.10,0.00,678.52,2035.57,0.00,0.00,0.00
query_differences_insert,12,4,0.00,2715.85,0.00,678.96,2036.89,0.00,0.00,0.00
query_differences_insert,14,4,0.00,2520.11,0.00,630.03,1890.08,0.00,0.00,0.00
query_differences_insert,16,4,2.00,3039.46,0.00,769.49,2269.97,7615.89,3.00,0.00
query_differences_insert,18,4,0.00,2902.08,0.00,725.52,2176.56,0.00,0.00,0.00
query_differences_insert,20,4,0.00,2649.90,0.00,662.48,1987.43,0.00,0.00,0.00
query_differences_select_column_prefix,2,4,1301.42,1301.42,1301.42,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,4,4,1299.47,1299.47,1299.47,0.00,0.00,3.96,0.00,0.00
query_differences_select_column_prefix,6,4,1289.24,1289.24,1289.24,0.00,0.00,4.25,0.00,0.00
query_differences_select_column_prefix,8,4,1279.93,1279.93,1279.93,0.00,0.00,4.25,0.00,0.00
query_differences_select_column_prefix,10,4,1318.56,1318.56,1318.56,0.00,0.00,3.96,0.00,0.00
query_differences_select_column_prefix,12,4,1323.50,1323.50,1323.50,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,14,4,1305.02,1305.02,1305.02,0.00,0.00,4.03,0.00,0.00
query_differences_select_column_prefix,16,4,1321.41,1321.41,1321.41,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,18,4,1320.59,1320.59,1320.59,0.00,0.00,3.96,0.00,0.00
query_differences_select_combined_match_with_range,2,4,8784.04,8784.04,8784.04,0.00,0.00,0.63,0.00,0.00
query_differences_select_combined_match_with_range,4,4,8870.97,8870.97,8870.97,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,6,4,8898.52,8898.52,8898.52,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,8,4,8900.48,8900.48,8900.48,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,10,4,8933.53,8933.53,8933.53,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,12,4,8895.02,8895.02,8895.02,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,14,4,8909.00,8909.00,8909.00,0.00,0.00,0.61,0.00,0.00
query_differences_select_combined_match_with_range,16,4,8860.48,8860.48,8860.48,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,18,4,8978.65,8978.65,8978.65,0.00,0.00,0.61,0.00,0.00
query_differences_select_exact_with_prefix,2,4,5931.33,5931.33,5931.33,0.00,0.00,0.90,0.00,0.00
query_differences_select_exact_with_prefix,4,4,5956.03,5956.03,5956.03,0.00,0.00,0.90,0.00,0.00
query_differences_select_exact_with_prefix,6,4,5988.49,5988.49,5988.49,0.00,0.00,0.92,0.00,0.00
query_differences_select_exact_with_prefix,8,4,5953.47,5953.47,5953.47,0.00,0.00,0.92,0.00,0.00
query_differences_select_exact_with_prefix,10,4,5959.51,5960.01,5960.01,0.00,0.00,0.92,0.00,0.00
query_differences_select_exact_with_prefix,12,4,5993.06,5992.56,5992.56,0.00,0.00,0.90,0.00,0.00
query_differences_select_exact_with_prefix,14,4,5975.40,5975.40,5975.40,0.00,0.00,0.90,0.00,0.00
query_differences_select_exact_with_prefix,16,4,5964.57,5964.57,5964.57,0.00,0.00,0.92,0.00,0.00
query_differences_select_exact_with_prefix,18,4,5985.47,5985.97,5985.97,0.00,0.00,0.92,0.00,0.00
query_differences_select_full_match,2,4,10201.39,10201.39,10201.39,0.00,0.00,0.55,0.00,0.00
query_differences_select_full_match,4,4,10315.13,10315.13,10315.13,0.00,0.00,0.55,0.00,0.00
query_differences_select_full_match,6,4,10401.47,10401.47,10401.47,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,8,4,10431.01,10431.01,10431.01,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,10,4,10382.03,10382.03,10382.03,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,12,4,10349.99,10349.99,10349.99,0.00,0.00,0.55,0.00,0.00
query_differences_select_full_match,14,4,10467.98,10467.98,10467.98,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,16,4,10384.83,10384.83,10384.83,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,18,4,10352.26,10352.26,10352.26,0.00,0.00,0.54,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2789.27,2789.27,2789.27,0.00,0.00,1.89,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2815.94,2815.94,2815.94,0.00,0.00,1.86,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2803.01,2803.01,2803.01,0.00,0.00,1.89,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2801.98,2801.98,2801.98,0.00,0.00,1.89,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2812.02,2812.02,2812.02,0.00,0.00,1.86,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2786.00,2786.00,2786.00,0.00,0.00,1.89,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2809.24,2809.24,2809.24,0.00,0.00,1.86,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2799.75,2799.75,2799.75,0.00,0.00,1.93,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2795.51,2795.51,2795.51,0.00,0.00,1.86,0.00,0.00
query_differences_select_not_leftmost,2,4,467.35,467.35,467.35,0.00,0.00,11.65,0.00,0.00
query_differences_select_not_leftmost,4,4,469.52,469.52,469.52,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,6,4,470.50,470.50,470.50,0.00,0.00,11.24,0.00,0.00
query_differences_select_not_leftmost,8,4,472.50,473.00,473.00,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,10,4,470.50,470.00,470.00,0.00,0.00,11.87,0.00,0.00
query_differences_select_not_leftmost,12,4,470.50,470.50,470.50,0.00,0.00,11.87,0.00,0.00
query_differences_select_not_leftmost,14,4,472.00,472.00,472.00,0.00,0.00,11.24,0.00,0.00
query_differences_select_not_leftmost,16,4,470.50,470.50,470.50,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,18,4,471.50,471.50,471.50,0.00,0.00,11.87,0.00,0.00
query_differences_select_range_values,2,4,582.76,582.76,582.76,0.00,0.00,8.74,0.00,0.00
query_differences_select_range_values,4,4,579.09,579.09,579.09,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,6,4,574.00,574.00,574.00,0.00,0.00,9.39,0.00,0.00
query_differences_select_range_values,8,4,583.50,583.50,583.50,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,10,4,581.49,581.49,581.49,0.00,0.00,9.22,0.00,0.00
query_differences_select_range_values,12,4,585.00,585.00,585.00,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,14,4,585.51,585.51,585.51,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,16,4,578.00,578.00,578.00,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,18,4,585.99,585.99,585.99,0.00,0.00,8.74,0.00,0.00
query_differences_select_range_with_like,2,4,6700.39,6700.39,6700.39,0.00,0.00,0.80,0.00,0.00
query_differences_select_range_with_like,4,4,6798.14,6798.14,6798.14,0.00,0.00,0.80,0.00,0.00
query_differences_select_range_with_like,6,4,6741.50,6741.50,6741.50,0.00,0.00,0.81,0.00,0.00
query_differences_select_range_with_like,8,4,6753.54,6753.54,6753.54,0.00,0.00,0.80,0.00,0.00
query_differences_select_range_with_like,10,4,6783.92,6783.92,6783.92,0.00,0.00,0.81,0.00,0.00
query_differences_select_range_with_like,12,4,6796.54,6796.54,6796.54,0.00,0.00,0.80,0.00,0.00
query_differences_select_range_with_like,14,4,6771.50,6771.50,6771.50,0.00,0.00,0.81,0.00,0.00
query_differences_select_range_with_like,16,4,6785.02,6785.02,6785.02,0.00,0.00,0.80,0.00,0.00
