Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,2,4,1314.39,4215.00,1314.39,727.15,2173.46,3.82,0.00,0.00,2900.61
column_prefix,4,4,1323.20,4253.88,1323.20,732.67,2198.01,3.96,0.00,0.00,2930.68
column_prefix,6,4,1331.57,4261.48,1331.57,732.48,2197.43,3.89,0.00,0.00,2929.91
column_prefix,8,4,1333.43,4464.57,1331.43,784.04,2349.11,6717.86,1.50,0.00,3133.14
column_prefix,10,4,1326.99,4400.80,1326.99,768.45,2305.35,3.89,0.00,0.00,3073.81
column_prefix,12,4,1305.51,4321.67,1305.51,754.04,2262.12,4.03,0.00,0.00,3016.16
column_prefix,14,4,1331.50,4385.87,1329.50,808.97,2247.41,6598.05,7.50,0.00,3056.37
column_prefix,16,4,1328.00,4480.17,1328.00,788.04,2364.13,3.96,0.00,0.00,3152.17
column_prefix,18,4,1330.99,4388.99,1330.99,764.50,2293.50,3.89,0.00,0.00,3058.00
combined_match_with_range,2,4,8283.80,11184.41,8283.80,727.15,2173.46,0.68,0.00,0.00,2900.61
combined_match_with_range,4,4,8423.87,11354.55,8423.87,732.67,2198.01,0.65,0.00,0.00,2930.68
combined_match_with_range,6,4,8391.55,11321.46,8391.55,732.48,2197.43,0.67,0.00,0.00,2929.91
combined_match_with_range,8,4,8429.03,11560.17,8427.03,784.04,2349.11,6714.62,1.50,0.00,3133.14
combined_match_with_range,10,4,8396.07,11469.88,8396.07,768.45,2305.35,0.65,0.00,0.00,3073.81
combined_match_with_range,12,4,8435.34,11451.50,8435.34,754.04,2262.12,0.65,0.00,0.00,3016.16
combined_match_with_range,14,4,8411.02,11465.39,8409.02,808.97,2247.41,6594.83,7.50,0.00,3056.37
combined_match_with_range,16,4,8376.44,11528.61,8376.44,788.04,2364.13,0.67,0.00,0.00,3152.17
combined_match_with_range,18,4,8463.71,11521.71,8463.71,764.50,2293.50,0.64,0.00,0.00,3058.00
exact_with_prefix,2,4,5575.00,8475.61,5575.00,727.15,2173.46,0.97,0.00,0.00,2900.61
exact_with_prefix,4,4,5665.48,8596.16,5665.48,732.67,2198.01,0.94,0.00,0.00,2930.68
exact_with_prefix,6,4,5639.46,8569.37,5639.46,732.48,2197.43,0.95,0.00,0.00,2929.91
exact_with_prefix,8,4,5623.91,8755.05,5621.91,784.04,2349.11,6714.94,1.50,0.00,3133.14
exact_with_prefix,10,4,5603.52,8677.33,5603.52,768.45,2305.35,0.97,0.00,0.00,3073.81
exact_with_prefix,12,4,5602.98,8619.14,5602.98,754.04,2262.12,0.97,0.00,0.00,3016.16
exact_with_prefix,14,4,5644.00,8698.37,5642.00,808.97,2247.41,6595.11,7.50,0.00,3056.37
exact_with_prefix,16,4,5581.52,8733.69,5581.52,788.04,2364.13,0.97,0.00,0.00,3152.17
exact_with_prefix,18,4,5578.46,8636.46,5578.46,764.50,2293.50,0.97,0.00,0.00,3058.00
full_match,2,4,10398.11,13298.72,10398.11,727.15,2173.46,0.54,0.00,0.00,2900.61
full_match,4,4,10603.55,13534.23,10603.55,732.67,2198.01,0.52,0.00,0.00,2930.68
full_match,6,4,10596.55,13526.46,10596.55,732.48,2197.43,0.53,0.00,0.00,2929.91
full_match,8,4,10590.50,13721.64,10588.50,784.04,2349.11,6714.50,1.50,0.00,3133.14
full_match,10,4,10712.70,13786.51,10712.70,768.45,2305.35,0.52,0.00,0.00,3073.81
full_match,12,4,10536.30,13552.46,10536.30,754.04,2262.12,0.53,0.00,0.00,3016.16
full_match,14,4,10553.98,13608.35,10551.98,808.97,2247.41,6594.70,7.50,0.00,3056.37
full_match,16,4,10570.51,13722.68,10570.51,788.04,2364.13,0.53,0.00,0.00,3152.17
full_match,18,4,10536.55,13594.55,10536.55,764.50,2293.50,0.54,0.00,0.00,3058.00
leftmost_prefix,2,4,2590.79,5491.40,2590.79,727.15,2173.46,2.07,0.00,0.00,2900.61
leftmost_prefix,4,4,2561.46,5492.14,2561.46,732.67,2198.01,2.11,0.00,0.00,2930.68
leftmost_prefix,6,4,2522.90,5452.81,2522.90,732.48,2197.43,2.26,0.00,0.00,2929.91
leftmost_prefix,8,4,2591.59,5722.73,2589.59,784.04,2349.11,6716.04,1.50,0.00,3133.14
leftmost_prefix,10,4,2589.52,5663.33,2589.52,768.45,2305.35,2.07,0.00,0.00,3073.81
leftmost_prefix,12,4,2601.52,5617.68,2601.52,754.04,2262.12,2.07,0.00,0.00,3016.16
leftmost_prefix,14,4,2589.49,5643.86,2587.49,808.97,2247.41,6596.27,7.50,0.00,3056.37
leftmost_prefix,16,4,2600.00,5752.17,2600.00,788.04,2364.13,2.07,0.00,0.00,3152.17
leftmost_prefix,18,4,2591.97,5649.97,2591.97,764.50,2293.50,2.07,0.00,0.00,3058.00
not_leftmost,2,4,467.85,3368.96,468.35,727.15,2173.46,11.65,0.00,0.00,2900.61
not_leftmost,4,4,470.46,3400.64,469.96,732.67,2198.01,11.45,0.00,0.00,2930.68
not_leftmost,6,4,468.56,3398.47,468.56,732.48,2197.43,12.08,0.00,0.00,2929.91
not_leftmost,8,4,471.00,3602.14,469.00,784.04,2349.11,6726.05,1.50,0.00,3133.14
not_leftmost,10,4,468.50,3542.31,468.50,768.45,2305.35,11.87,0.00,0.00,3073.81
