Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,2,4,1463.36,4957.01,1463.36,877.04,2616.62,3.49,1.00,0.00,3493.65
column_prefix,4,4,1463.22,5080.34,1463.22,904.28,2712.84,3.55,0.00,0.00,3617.12
column_prefix,6,4,1481.45,4979.24,1479.45,939.94,2559.85,5611.04,8.50,0.00,3499.79
column_prefix,8,4,1466.56,5106.05,1466.56,910.00,2729.49,3.49,0.00,0.00,3639.49
column_prefix,10,4,1477.50,5249.58,1477.50,943.02,2829.06,3.49,0.00,0.00,3772.08
column_prefix,12,4,1440.51,4780.06,1438.51,841.51,2500.04,5511.43,2.00,0.00,3341.55
column_prefix,14,4,1437.48,4788.36,1437.48,837.97,2512.91,3.82,0.00,0.00,3350.88
column_prefix,16,4,1471.45,5004.61,1471.45,883.04,2650.12,3.55,0.00,0.00,3533.16
column_prefix,18,4,1478.06,5287.81,1476.06,957.44,2854.32,5712.99,2.00,0.00,3811.75
combined_match_with_range,2,4,8540.18,12033.83,8540.18,877.04,2616.62,0.64,1.00,0.00,3493.65
combined_match_with_range,4,4,8621.45,12238.57,8621.45,904.28,2712.84,0.63,0.00,0.00,3617.12
combined_match_with_range,6,4,8669.98,12168.27,8668.48,939.94,2559.85,5608.24,8.50,0.00,3499.79
combined_match_with_range,8,4,8673.98,12312.97,8673.48,910.00,2729.49,0.63,0.00,0.00,3639.49
combined_match_with_range,10,4,8672.02,12444.10,8672.02,943.02,2829.06,0.63,0.00,0.00,3772.08
combined_match_with_range,12,4,8649.49,11989.04,8647.49,841.51,2500.04,5508.18,2.00,0.00,3341.55
combined_match_with_range,14,4,8555.55,11906.43,8555.55,837.97,2512.91,0.65,0.00,0.00,3350.88
combined_match_with_range,16,4,8657.95,12191.11,8657.95,883.04,2650.12,0.63,0.00,0.00,3533.16
combined_match_with_range,18,4,8606.91,12416.66,8604.91,957.44,2854.32,5710.14,2.00,0.00,3811.75
exact_with_prefix,2,4,5738.86,9232.51,5738.86,877.04,2616.62,0.94,1.00,0.00,3493.65
exact_with_prefix,4,4,5815.96,9433.58,5816.46,904.28,2712.84,0.94,0.00,0.00,3617.12
exact_with_prefix,6,4,5810.51,9307.80,5808.01,939.94,2559.85,5608.55,8.50,0.00,3499.79
exact_with_prefix,8,4,5816.01,9455.50,5816.01,910.00,2729.49,0.94,0.00,0.00,3639.49
exact_with_prefix,10,4,5814.97,9587.05,5814.97,943.02,2829.06,0.95,0.00,0.00,3772.08
exact_with_prefix,12,4,5799.02,9138.57,5797.02,841.51,2500.04,5508.48,2.00,0.00,3341.55
exact_with_prefix,14,4,5743.52,9094.40,5743.52,837.97,2512.91,0.95,0.00,0.00,3350.88
exact_with_prefix,16,4,5740.48,9273.64,5740.48,883.04,2650.12,0.94,0.00,0.00,3533.16
exact_with_prefix,18,4,5724.03,9533.78,5722.03,957.44,2854.32,5710.47,2.00,0.00,3811.75
full_match,2,4,10364.69,13858.34,10364.69,877.04,2616.62,0.54,1.00,0.00,3493.65
full_match,4,4,10503.23,14120.35,10503.23,904.28,2712.84,0.54,0.00,0.00,3617.12
full_match,6,4,10507.50,14005.29,10505.50,939.94,2559.85,5608.15,8.50,0.00,3499.79
full_match,8,4,10575.48,14214.97,10575.48,910.00,2729.49,0.53,0.00,0.00,3639.49
full_match,10,4,10541.03,14313.11,10541.03,943.02,2829.06,0.54,0.00,0.00,3772.08
full_match,12,4,10547.94,13887.49,10545.94,841.51,2500.04,5508.07,2.00,0.00,3341.55
full_match,14,4,10409.52,13760.40,10409.52,837.97,2512.91,0.55,0.00,0.00,3350.88
full_match,16,4,10511.01,14044.17,10511.01,883.04,2650.12,0.53,0.00,0.00,3533.16
full_match,18,4,10492.39,14302.14,10490.39,957.44,2854.32,5710.04,2.00,0.00,3811.75
leftmost_prefix,2,4,2595.83,6089.48,2595.83,877.04,2616.62,2.03,1.00,0.00,3493.65
leftmost_prefix,4,4,2613.40,6230.52,2613.40,904.28,2712.84,2.07,0.00,0.00,3617.12
leftmost_prefix,6,4,2622.00,6119.79,2620.00,939.94,2559.85,5609.68,8.50,0.00,3499.79
leftmost_prefix,8,4,2603.99,6243.48,2603.99,910.00,2729.49,2.07,0.00,0.00,3639.49
leftmost_prefix,10,4,2594.50,6366.58,2594.50,943.02,2829.06,2.11,0.00,0.00,3772.08
leftmost_prefix,12,4,2610.02,5949.57,2608.02,841.51,2500.04,5509.61,2.00,0.00,3341.55
leftmost_prefix,14,4,2612.99,5963.87,2612.99,837.97,2512.91,2.07,0.00,0.00,3350.88
leftmost_prefix,16,4,2614.00,6147.16,2614.00,883.04,2650.12,2.07,0.00,0.00,3533.16
leftmost_prefix,18,4,2612.51,6422.26,2610.51,957.44,2854.32,5711.57,2.00,0.00,3811.75
not_leftmost,2,4,466.35,3960.00,466.35,877.04,2616.62,11.65,1.00,0.00,3493.65
not_leftmost,4,4,469.52,4086.64,469.52,904.28,2712.84,11.65,0.00,0.00,3617.12
not_leftmost,6,4,472.45,3970.24,470.45,939.94,2559.85,5619.26,8.50,0.00,3499.79
not_leftmost,8,4,469.52,4109.01,469.52,910.00,2729.49,11.45,0.00,0.00,3639.49
not_leftmost,10,4,470.02,4242.10,470.02,943.02,2829.06,11.87,0.00,0.00,3772.08
not_leftmost,12,4,470.50,3810.05,468.50,841.51,2500.04,5518.99,2.00,0.00,3341.55
not_leftmost,14,4,468.00,3818.88,468.00,837.97,2512.91,11.24,0.00,0.00,3350.88
not_leftmost,16,4,468.50,4001.66,468.50,883.04,2650.12,11.24,0.00,0.00,3533.16
not_leftmost,18,4,468.00,4277.75,466.00,957.44,2854.32,5721.15,2.00,0.00,3811.75
range_values,2,4,558.29,4051.94,558.29,877.04,2616.62,9.22,1.00,0.00,3493.65
range_values,4,4,561.59,4178.71,561.59,904.28,2712.84,9.22,0.00,0.00,3617.12
range_values,6,4,572.47,4070.26,570.47,939.94,2559.85,5616.35,8.50,0.00,3499.79
range_values,8,4,571.49,4210.98,571.49,910.00,2729.49,8.90,0.00,0.00,3639.49
range_values,10,4,567.01,4339.09,567.01,943.02,2829.06,9.22,0.00,0.00,3772.08
range_values,12,4,573.02,3912.57,571.02,841.51,2500.04,5516.28,2.00,0.00,3341.55
range_values,14,4,575.48,3926.36,575.48,837.97,2512.91,8.58,0.00,0.00,3350.88
range_values,16,4,575.46,4108.62,575.46,883.04,2650.12,8.74,0.00,0.00,3533.16
range_values,18,4,569.05,4378.80,567.05,957.44,2854.32,5718.40,2.00,0.00,3811.75
range_with_like,2,4,6838.77,10332.42,6838.77,877.04,2616.62,0.80,1.00,0.00,3493.65
range_with_like,4,4,6901.66,10518.78,6901.66,904.28,2712.84,0.80,0.00,0.00,3617.12
range_with_like,6,4,6910.02,10407.81,6908.02,939.94,2559.85,5608.41,8.50,0.00,3499.79
range_with_like,8,4,7000.99,10640.48,7000.99,910.00,2729.49,0.77,0.00,0.00,3639.49
range_with_like,10,4,6927.17,10699.25,6927.17,943.02,2829.06,0.78,0.00,0.00,3772.08
range_with_like,12,4,6985.85,10325.40,6983.85,841.51,2500.04,5508.32,2.00,0.00,3341.55
range_with_like,14,4,6934.50,10285.38,6934.50,837.97,2512.91,0.78,0.00,0.00,3350.88
range_with_like,16,4,6994.94,10528.10,6994.94,883.04,2650.12,0.77,0.00,0.00,3533.16
range_with_like,18,4,6965.13,10774.88,6963.13,957.44,2854.32,5710.28,2.00,0.00,3811.75
skip_columns,2,4,3174.98,6668.63,3174.98,877.04,2616.62,1.67,1.00,0.00,3493.65
skip_columns,4,4,3208.09,6825.21,3208.09,904.28,2712.84,1.67,0.00,0.00,3617.12
skip_columns,6,4,3205.94,6703.73,3203.94,939.94,2559.85,5609.28,8.50,0.00,3499.79
skip_columns,8,4,3206.95,6846.44,3206.95,910.00,2729.49,1.70,0.00,0.00,3639.49
skip_columns,10,4,3205.62,6977.70,3205.62,943.02,2829.06,1.70,0.00,0.00,3772.08
skip_columns,12,4,3213.98,6553.53,3211.98,841.51,2500.04,5509.15,2.00,0.00,3341.55
skip_columns,14,4,3197.47,6548.35,3197.47,837.97,2512.91,1.67,0.00,0.00,3350.88
skip_columns,16,4,3215.04,6748.20,3215.04,883.04,2650.12,1.64,0.00,0.00,3533.16
skip_columns,18,4,3222.99,7032.74,3220.99,957.44,2854.32,5711.14,2.00,0.00,3811.75
