Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,2824.20,0.00,707.68,2116.53,0.00,0.50,0.00
query_differences_insert,4,4,0.00,2902.65,0.00,725.66,2176.98,0.00,0.00,0.00
query_differences_insert,6,4,0.00,2987.85,0.00,746.96,2240.88,0.00,0.00,0.00
query_differences_insert,8,4,2.00,2857.65,0.00,730.04,2127.61,6835.96,3.50,0.00
query_differences_insert,10,4,0.00,2830.01,0.00,707.50,2122.51,0.00,0.00,0.00
query_differences_insert,12,4,0.00,2639.87,0.00,659.97,1979.90,0.00,0.00,0.00
query_differences_insert,14,4,0.00,2742.01,0.00,685.50,2056.51,0.00,0.00,0.00
query_differences_insert,16,4,2.00,2789.10,0.00,701.02,2088.07,7346.49,2.00,0.00
query_differences_insert,18,4,0.00,3040.00,0.00,760.00,2280.00,0.00,0.00,0.00
query_differences_insert,20,4,0.00,2899.92,0.00,724.98,2174.94,0.00,0.00,0.00
query_differences_select_column_prefix,2,4,1317.44,1317.44,1317.44,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,4,4,1327.68,1327.68,1327.68,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,6,4,1334.51,1334.51,1334.51,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,8,4,1334.99,1334.99,1334.99,0.00,0.00,3.82,0.00,0.00
query_differences_select_column_prefix,10,4,1334.50,1334.50,1334.50,0.00,0.00,3.82,0.00,0.00
query_differences_select_column_prefix,12,4,1327.99,1327.99,1327.99,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,14,4,1308.02,1308.02,1308.02,0.00,0.00,4.10,0.00,0.00
query_differences_select_column_prefix,16,4,1333.99,1333.99,1333.99,0.00,0.00,3.82,0.00,0.00
query_differences_select_column_prefix,18,4,1337.99,1337.99,1337.99,0.00,0.00,3.96,0.00,0.00
query_differences_select_combined_match_with_range,2,4,8577.97,8578.47,8578.47,0.00,0.00,0.64,0.00,0.00
query_differences_select_combined_match_with_range,4,4,8668.47,8667.97,8667.97,0.00,0.00,0.64,0.00,0.00
query_differences_select_combined_match_with_range,6,4,8641.46,8641.46,8641.46,0.00,0.00,0.64,0.00,0.00
query_differences_select_combined_match_with_range,8,4,8719.99,8719.99,8719.99,0.00,0.00,0.63,0.00,0.00
query_differences_select_combined_match_with_range,10,4,8673.03,8673.03,8673.03,0.00,0.00,0.64,0.00,0.00
query_differences_select_combined_match_with_range,12,4,8673.44,8673.44,8673.44,0.00,0.00,0.63,0.00,0.00
query_differences_select_combined_match_with_range,14,4,8672.03,8672.03,8672.03,0.00,0.00,0.63,0.00,0.00
query_differences_select_combined_match_with_range,16,4,8718.66,8718.66,8718.66,0.00,0.00,0.63,0.00,0.00
query_differences_select_combined_match_with_range,18,4,8718.32,8718.32,8718.32,0.00,0.00,0.64,0.00,0.00
query_differences_select_exact_with_prefix,2,4,5607.50,5607.50,5607.50,0.00,0.00,0.97,0.00,0.00
query_differences_select_exact_with_prefix,4,4,5689.30,5689.30,5689.30,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,6,4,5687.07,5687.07,5687.07,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,8,4,5699.05,5699.05,5699.05,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,10,4,5694.47,5694.47,5694.47,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,12,4,5648.52,5648.52,5648.52,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,14,4,5696.01,5696.01,5696.01,0.00,0.00,0.94,0.00,0.00
query_differences_select_exact_with_prefix,16,4,5679.01,5679.01,5679.01,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,18,4,5636.49,5636.49,5636.49,0.00,0.00,0.95,0.00,0.00
query_differences_select_full_match,2,4,10270.99,10270.99,10270.99,0.00,0.00,0.55,0.00,0.00
query_differences_select_full_match,4,4,10395.94,10395.94,10395.94,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,6,4,10399.89,10399.89,10399.89,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,8,4,10403.30,10403.30,10403.30,0.00,0.00,0.55,0.00,0.00
query_differences_select_full_match,10,4,10425.02,10425.02,10425.02,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,12,4,10420.02,10420.02,10420.02,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,14,4,10436.56,10436.56,10436.56,0.00,0.00,0.53,0.00,0.00
query_differences_select_full_match,16,4,10437.54,10437.54,10437.54,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,18,4,10358.39,10358.39,10358.39,0.00,0.00,0.55,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2409.45,2409.45,2409.45,0.00,0.00,2.22,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2424.91,2424.91,2424.91,0.00,0.00,2.18,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2427.96,2427.96,2427.96,0.00,0.00,2.18,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2344.05,2344.05,2344.05,0.00,0.00,2.52,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2416.03,2416.03,2416.03,0.00,0.00,2.22,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2424.97,2424.97,2424.97,0.00,0.00,2.22,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2419.52,2419.52,2419.52,0.00,0.00,2.22,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2434.52,2435.02,2435.02,0.00,0.00,2.14,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2439.87,2439.37,2439.37,0.00,0.00,2.18,0.00,0.00
query_differences_select_not_leftmost,2,4,467.34,467.34,467.34,0.00,0.00,11.65,0.00,0.00
query_differences_select_not_leftmost,4,4,470.97,470.97,470.97,0.00,0.00,11.87,0.00,0.00
query_differences_select_not_leftmost,6,4,472.06,472.06,472.06,0.00,0.00,12.30,0.00,0.00
query_differences_select_not_leftmost,8,4,471.49,471.49,471.49,0.00,0.00,11.65,0.00,0.00
query_differences_select_not_leftmost,10,4,471.01,471.01,471.01,0.00,0.00,11.87,0.00,0.00
query_differences_select_not_leftmost,12,4,471.49,471.49,471.49,0.00,0.00,11.65,0.00,0.00
query_differences_select_not_leftmost,14,4,472.01,472.01,472.01,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,16,4,469.99,469.99,469.99,0.00,0.00,11.65,0.00,0.00
query_differences_select_not_leftmost,18,4,469.50,469.50,469.50,0.00,0.00,11.65,0.00,0.00
query_differences_select_range_values,2,4,579.27,579.27,579.27,0.00,0.00,8.74,0.00,0.00
query_differences_select_range_values,4,4,586.07,586.07,586.07,0.00,0.00,8.74,0.00,0.00
query_differences_select_range_values,6,4,576.51,576.51,576.51,0.00,0.00,9.39,0.00,0.00
query_differences_select_range_values,8,4,583.50,583.50,583.50,0.00,0.00,8.74,0.00,0.00
query_differences_select_range_values,10,4,584.50,584.50,584.50,0.00,0.00,8.74,0.00,0.00
query_differences_select_range_values,12,4,578.50,578.50,578.50,0.00,0.00,8.74,0.00,0.00
query_differences_select_range_values,14,4,585.50,585.50,585.50,0.00,0.00,8.43,0.00,0.00
query_differences_select_range_values,16,4,581.46,581.46,581.46,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,18,4,579.49,579.49,579.49,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_with_like,2,4,6735.48,6735.48,6735.48,0.00,0.00,0.80,0.00,0.00
query_differences_select_range_with_like,4,4,6608.18,6608.18,6608.18,0.00,0.00,0.86,0.00,0.00
query_differences_select_range_with_like,6,4,6775.96,6775.96,6775.96,0.00,0.00,0.80,0.00,0.00
query_differences_select_range_with_like,8,4,6705.03,6705.53,6705.53,0.00,0.00,0.81,0.00,0.00
query_differences_select_range_with_like,10,4,6748.49,6747.99,6747.99,0.00,0.00,0.81,0.00,0.00
query_differences_select_range_with_like,12,4,6773.50,6773.50,6773.50,0.00,0.00,0.80,0.00,0.00
query_differences_select_range_with_like,14,4,6750.48,6750.48,6750.48,0.00,0.00,0.81,0.00,0.00
query_differences_select_range_with_like,16,4,6769.99,6769.99,6769.99,0.00,0.00,0.80,0.00,0.00
query_differences_select_range_with_like,18,4,6761.01,6761.01,6761.01,0.00,0.00,0.81,0.00,0.00
query_differences_select_skip_columns,2,4,3044.19,3044.19,3044.19,0.00,0.00,1.76,0.00,0.00
query_differences_select_skip_columns,4,4,3071.92,3071.92,3071.92,0.00,0.00,1.73,0.00,0.00
query_differences_select_skip_columns,6,4,3079.65,3079.65,3079.65,0.00,0.00,1.70,0.00,0.00
query_differences_select_skip_columns,8,4,3071.30,3071.30,3071.30,0.00,0.00,1.73,0.00,0.00
query_differences_select_skip_columns,10,4,3073.54,3073.54,3073.54,0.00,0.00,1.70,0.00,0.00
query_differences_select_skip_columns,12,4,3074.68,3074.68,3074.68,0.00,0.00,1.73,0.00,0.00
query_differences_select_skip_columns,14,4,3083.81,3083.81,3083.81,0.00,0.00,1.70,0.00,0.00
query_differences_select_skip_columns,16,4,3078.01,3078.01,3078.01,0.00,0.00,1.70,0.00,0.00
query_differences_select_skip_columns,18,4,3073.01,3073.01,3073.01,0.00,0.00,1.73,0.00,0.00
