Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,706.41,0.00,703.41,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,702.29,0.00,702.29,0.00,0.00,0.00,0.00
query_differences_insert,3,1,0.00,659.02,0.00,659.02,0.00,0.00,0.00,0.00
query_differences_insert,4,1,0.00,664.00,0.00,664.00,0.00,0.00,0.00,0.00
query_differences_insert,5,1,0.00,768.99,0.00,768.99,0.00,0.00,0.00,0.00
query_differences_insert,6,1,0.00,721.03,0.00,721.03,0.00,0.00,0.00,0.00
query_differences_insert,7,1,1.00,820.94,0.00,818.94,2.00,6835.96,0.00,0.00
query_differences_insert,8,1,0.00,640.02,0.00,640.02,0.00,0.00,0.00,0.00
query_differences_insert,9,1,0.00,652.99,0.00,652.99,0.00,0.00,0.00,0.00
query_differences_insert,10,1,0.00,654.00,0.00,654.00,0.00,0.00,0.00,0.00
query_differences_insert,11,1,0.00,651.02,0.00,651.02,0.00,0.00,0.00,0.00
query_differences_insert,12,1,0.00,661.98,0.00,661.98,0.00,0.00,0.00,0.00
query_differences_insert,13,1,0.00,719.02,0.00,719.02,0.00,0.00,0.00,0.00
query_differences_insert,14,1,0.00,700.99,0.00,700.99,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,1,1,689.53,689.53,689.53,0.00,0.00,1.50,0.00,0.00
query_differences_select_column_prefix,2,1,694.11,694.11,694.11,0.00,0.00,1.52,0.00,0.00
query_differences_select_column_prefix,3,1,694.98,694.98,694.98,0.00,0.00,1.50,0.00,0.00
query_differences_select_column_prefix,4,1,691.07,691.07,691.07,0.00,0.00,1.50,0.00,0.00
query_differences_select_column_prefix,5,1,697.01,697.01,697.01,0.00,0.00,1.50,0.00,0.00
query_differences_select_column_prefix,6,1,643.96,643.96,643.96,0.00,0.00,2.00,0.00,0.00
query_differences_select_column_prefix,7,1,599.03,599.03,599.03,0.00,0.00,2.00,0.00,0.00
query_differences_select_column_prefix,8,1,649.00,649.00,649.00,0.00,0.00,1.96,0.00,0.00
query_differences_select_combined_match_with_range,1,1,3545.65,3545.65,3545.65,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,2,1,3550.77,3550.77,3550.77,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,3,1,3639.96,3639.96,3639.96,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,4,1,3584.78,3584.78,3584.78,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,5,1,3650.03,3650.03,3650.03,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,6,1,3659.02,3659.02,3659.02,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,7,1,3582.19,3582.19,3582.19,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,8,1,3603.93,3603.93,3603.93,0.00,0.00,0.31,0.00,0.00
query_differences_select_exact_with_prefix,1,1,2461.26,2461.26,2461.26,0.00,0.00,0.43,0.00,0.00
query_differences_select_exact_with_prefix,2,1,2493.57,2493.57,2493.57,0.00,0.00,0.43,0.00,0.00
query_differences_select_exact_with_prefix,3,1,2460.04,2460.04,2460.04,0.00,0.00,0.44,0.00,0.00
query_differences_select_exact_with_prefix,4,1,2472.00,2472.00,2472.00,0.00,0.00,0.43,0.00,0.00
query_differences_select_exact_with_prefix,5,1,2465.79,2465.79,2465.79,0.00,0.00,0.44,0.00,0.00
query_differences_select_exact_with_prefix,6,1,2449.20,2449.20,2449.20,0.00,0.00,0.44,0.00,0.00
query_differences_select_exact_with_prefix,7,1,2465.99,2465.99,2465.99,0.00,0.00,0.43,0.00,0.00
query_differences_select_exact_with_prefix,8,1,2410.76,2410.76,2410.76,0.00,0.00,0.45,0.00,0.00
query_differences_select_full_match,1,1,4190.92,4190.92,4190.92,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,2,1,4212.02,4212.02,4212.02,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,3,1,4263.05,4263.05,4263.05,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,4,1,4287.92,4287.92,4287.92,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,5,1,4041.12,4041.12,4041.12,0.00,0.00,0.31,0.00,0.00
query_differences_select_full_match,6,1,4271.02,4271.02,4271.02,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,7,1,4223.91,4223.91,4223.91,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,8,1,4256.72,4256.72,4256.72,0.00,0.00,0.26,0.00,0.00
query_differences_select_leftmost_prefix,1,1,1299.89,1299.89,1299.89,0.00,0.00,0.81,0.00,0.00
