Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
query_differences_insert,0,10001,5,10006,2,10006,0,0,15.0965s,2,7414.29,7547.95,7681.60,7615.89,15095.89
query_differences_select_column_prefix,5589,0,0,5589,5589,5589,0,0,8.0016s,5589,1.24,1.43,10.47,1.50,7995.54
query_differences_select_combined_match_with_range,28450,0,0,28450,28450,28450,0,0,8.0008s,28450,0.25,0.28,8.20,0.31,7976.31
query_differences_select_exact_with_prefix,19529,0,0,19529,19529,19529,0,0,8.0008s,19529,0.38,0.41,7.86,0.44,7982.61
query_differences_select_full_match,33430,0,0,33430,33430,33430,0,0,8.0007s,33430,0.21,0.24,7.61,0.27,7970.67
query_differences_select_leftmost_prefix,10677,0,0,10677,10677,10677,0,0,8.0007s,10677,0.67,0.75,8.75,0.78,7990.41
query_differences_select_not_leftmost,2117,0,0,2117,2117,2117,0,0,8.0022s,2117,3.08,3.78,11.33,4.10,7999.23
query_differences_select_range_values,2465,0,0,2465,2465,2465,0,0,8.0025s,2465,2.85,3.25,10.88,3.43,7998.98
query_differences_select_range_with_like,22736,0,0,22736,22736,22736,0,0,8.0007s,22736,0.32,0.35,8.00,0.38,7979.95
query_differences_select_skip_columns,12658,0,0,12658,12658,12658,0,0,8.0007s,12658,0.57,0.63,8.17,0.67,7989.27
