Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,1,1,697.53,1305.01,697.53,604.48,3.00,1.47,0.00,0.00,607.48
column_prefix,2,1,705.15,1428.43,705.15,723.28,0.00,1.47,0.00,0.00,723.28
column_prefix,3,1,699.02,1368.00,699.02,668.98,0.00,1.50,0.00,0.00,668.98
column_prefix,4,1,695.94,1421.95,695.94,726.01,0.00,1.50,0.00,0.00,726.01
column_prefix,5,1,694.04,1318.05,694.04,624.01,0.00,1.52,0.00,0.00,624.01
column_prefix,6,1,695.00,1385.03,695.00,690.03,0.00,1.50,0.00,0.00,690.03
column_prefix,7,1,700.02,1358.95,700.02,658.93,0.00,1.50,0.00,0.00,658.93
column_prefix,8,1,701.92,1427.92,700.92,725.00,2.00,7481.48,0.00,0.00,727.00
combined_match_with_range,1,1,3549.53,4157.01,3549.53,604.48,3.00,0.31,0.00,0.00,607.48
combined_match_with_range,2,1,3566.78,4290.06,3566.78,723.28,0.00,0.31,0.00,0.00,723.28
combined_match_with_range,3,1,3550.98,4219.96,3550.98,668.98,0.00,0.31,0.00,0.00,668.98
combined_match_with_range,4,1,3543.08,4269.09,3543.08,726.01,0.00,0.31,0.00,0.00,726.01
combined_match_with_range,5,1,3580.98,4204.99,3580.98,624.01,0.00,0.31,0.00,0.00,624.01
combined_match_with_range,6,1,3491.99,4182.02,3491.99,690.03,0.00,0.31,0.00,0.00,690.03
combined_match_with_range,7,1,3576.99,4235.92,3576.99,658.93,0.00,0.30,0.00,0.00,658.93
exact_with_prefix,1,1,2436.31,3043.79,2436.31,604.48,3.00,0.44,0.00,0.00,607.48
exact_with_prefix,2,1,2454.57,3177.85,2454.57,723.28,0.00,0.44,0.00,0.00,723.28
exact_with_prefix,3,1,2441.99,3110.97,2441.99,668.98,0.00,0.44,0.00,0.00,668.98
exact_with_prefix,4,1,2417.06,3143.07,2417.06,726.01,0.00,0.45,0.00,0.00,726.01
exact_with_prefix,5,1,2444.96,3068.97,2444.96,624.01,0.00,0.44,0.00,0.00,624.01
exact_with_prefix,6,1,2431.99,3122.02,2431.99,690.03,0.00,0.44,0.00,0.00,690.03
exact_with_prefix,7,1,2431.02,3089.95,2431.02,658.93,0.00,0.44,0.00,0.00,658.93
full_match,1,1,4106.09,4713.57,4106.09,604.48,3.00,0.27,0.00,0.00,607.48
