Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,2450.37,0.00,617.72,1832.66,0.00,1.00,0.00
query_differences_insert,4,4,0.00,2328.53,0.00,582.13,1746.40,0.00,0.00,0.00
query_differences_insert,6,4,0.00,2530.00,0.00,632.50,1897.50,0.00,0.00,0.00
query_differences_insert,8,4,0.00,2405.98,0.00,601.50,1804.49,0.00,0.00,0.00
query_differences_insert,10,4,2.00,2352.41,0.00,621.48,1730.94,8333.38,5.50,0.00
query_differences_insert,12,4,0.00,2346.11,0.00,586.53,1759.58,0.00,0.00,0.00
query_differences_insert,14,4,0.00,2377.83,0.00,594.46,1783.38,0.00,0.00,0.00
query_differences_insert,16,4,0.00,2704.16,0.00,676.04,2028.12,0.00,0.00,0.00
query_differences_insert,18,4,2.00,2562.97,0.00,687.49,1875.48,8184.67,5.00,0.00
query_differences_insert,20,4,0.00,2374.06,0.00,593.51,1780.54,0.00,0.00,0.00
query_differences_insert,22,4,0.00,1987.97,0.00,496.99,1490.97,0.00,0.00,0.00
query_differences_insert,24,4,0.00,2355.92,0.00,588.98,1766.94,0.00,0.00,0.00
query_differences_select_column_prefix,2,4,1290.92,1290.92,1290.92,0.00,0.00,3.96,0.00,0.00
query_differences_select_column_prefix,4,4,1296.70,1296.70,1296.70,0.00,0.00,4.03,0.00,0.00
query_differences_select_column_prefix,6,4,1304.49,1304.49,1304.49,0.00,0.00,3.96,0.00,0.00
query_differences_select_column_prefix,8,4,1309.47,1309.47,1309.47,0.00,0.00,3.96,0.00,0.00
query_differences_select_column_prefix,10,4,1304.04,1304.04,1304.04,0.00,0.00,3.96,0.00,0.00
query_differences_select_column_prefix,12,4,1310.33,1310.33,1310.33,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,14,4,1305.16,1305.16,1305.16,0.00,0.00,3.82,0.00,0.00
query_differences_select_column_prefix,16,4,1312.50,1312.50,1312.50,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,18,4,1306.98,1306.98,1306.98,0.00,0.00,3.96,0.00,0.00
query_differences_select_combined_match_with_range,2,4,9205.92,9206.42,9206.42,0.00,0.00,0.61,0.00,0.00
query_differences_select_combined_match_with_range,4,4,9400.11,9399.61,9399.61,0.00,0.00,0.59,0.00,0.00
query_differences_select_combined_match_with_range,6,4,9438.11,9438.11,9438.11,0.00,0.00,0.59,0.00,0.00
query_differences_select_combined_match_with_range,8,4,9435.03,9435.03,9435.03,0.00,0.00,0.59,0.00,0.00
query_differences_select_combined_match_with_range,10,4,9423.34,9423.34,9423.34,0.00,0.00,0.59,0.00,0.00
query_differences_select_combined_match_with_range,12,4,9376.52,9376.52,9376.52,0.00,0.00,0.60,0.00,0.00
query_differences_select_combined_match_with_range,14,4,9458.99,9458.99,9458.99,0.00,0.00,0.59,0.00,0.00
query_differences_select_combined_match_with_range,16,4,9374.50,9374.50,9374.50,0.00,0.00,0.60,0.00,0.00
query_differences_select_combined_match_with_range,18,4,9385.98,9385.98,9385.98,0.00,0.00,0.60,0.00,0.00
query_differences_select_exact_with_prefix,2,4,5588.43,5588.43,5588.43,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,4,4,5683.97,5683.97,5683.97,0.00,0.00,0.92,0.00,0.00
query_differences_select_exact_with_prefix,6,4,5669.99,5670.49,5670.49,0.00,0.00,0.94,0.00,0.00
query_differences_select_exact_with_prefix,8,4,5685.37,5684.87,5684.87,0.00,0.00,0.94,0.00,0.00
query_differences_select_exact_with_prefix,10,4,5633.59,5633.59,5633.59,0.00,0.00,0.97,0.00,0.00
query_differences_select_exact_with_prefix,12,4,5688.60,5688.60,5688.60,0.00,0.00,0.94,0.00,0.00
query_differences_select_exact_with_prefix,14,4,5575.92,5575.92,5575.92,0.00,0.00,0.99,0.00,0.00
query_differences_select_exact_with_prefix,16,4,5590.53,5590.53,5590.53,0.00,0.00,0.97,0.00,0.00
