Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,2628.37,0.00,660.22,1968.15,0.00,1.00,0.00
query_differences_insert,4,4,0.00,2700.41,0.00,675.10,2025.31,0.00,0.00,0.00
query_differences_insert,6,4,0.00,2696.15,0.00,674.04,2022.11,0.00,0.00,0.00
query_differences_insert,8,4,2.00,2552.91,0.00,718.48,1834.44,7479.98,7.00,0.00
query_differences_insert,10,4,0.00,2753.94,0.00,688.49,2065.46,0.00,0.00,0.00
query_differences_insert,12,4,0.00,2588.18,0.00,647.04,1941.13,0.00,0.00,0.00
query_differences_insert,14,4,0.00,2651.81,0.00,662.95,1988.86,0.00,0.00,0.00
query_differences_insert,16,4,2.00,2591.09,0.00,651.02,1940.07,7615.89,2.00,0.00
query_differences_insert,18,4,0.00,2630.04,0.00,657.51,1972.53,0.00,0.00,0.00
query_differences_insert,20,4,0.00,2596.00,0.00,649.00,1947.00,0.00,0.00,0.00
query_differences_insert,22,4,0.00,2622.00,0.00,655.50,1966.50,0.00,0.00,0.00
query_differences_select_column_prefix,2,4,1283.92,1283.92,1283.92,0.00,0.00,3.96,0.00,0.00
query_differences_select_column_prefix,4,4,1294.20,1294.20,1294.20,0.00,0.00,3.96,0.00,0.00
query_differences_select_column_prefix,6,4,1292.89,1292.89,1292.89,0.00,0.00,4.10,0.00,0.00
query_differences_select_column_prefix,8,4,1295.61,1295.61,1295.61,0.00,0.00,3.96,0.00,0.00
query_differences_select_column_prefix,10,4,1300.02,1300.02,1300.02,0.00,0.00,3.96,0.00,0.00
query_differences_select_column_prefix,12,4,1301.99,1301.99,1301.99,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,14,4,1297.99,1297.99,1297.99,0.00,0.00,3.96,0.00,0.00
query_differences_select_column_prefix,16,4,1281.50,1281.50,1281.50,0.00,0.00,4.18,0.00,0.00
query_differences_select_column_prefix,18,4,1300.01,1300.01,1300.01,0.00,0.00,4.03,0.00,0.00
query_differences_select_combined_match_with_range,2,4,8826.34,8826.34,8826.34,0.00,0.00,0.63,0.00,0.00
query_differences_select_combined_match_with_range,4,4,8911.58,8911.58,8911.58,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,6,4,8920.47,8920.97,8920.97,0.00,0.00,0.61,0.00,0.00
query_differences_select_combined_match_with_range,8,4,8984.00,8983.50,8983.50,0.00,0.00,0.61,0.00,0.00
query_differences_select_combined_match_with_range,10,4,8917.35,8917.35,8917.35,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,12,4,8937.20,8937.20,8937.20,0.00,0.00,0.61,0.00,0.00
query_differences_select_combined_match_with_range,14,4,8914.92,8914.92,8914.92,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,16,4,8917.57,8917.57,8917.57,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,18,4,8885.95,8885.95,8885.95,0.00,0.00,0.63,0.00,0.00
query_differences_select_exact_with_prefix,2,4,5429.06,5429.06,5429.06,0.00,0.00,0.99,0.00,0.00
query_differences_select_exact_with_prefix,4,4,5457.37,5457.37,5457.37,0.00,0.00,0.99,0.00,0.00
query_differences_select_exact_with_prefix,6,4,5504.50,5504.50,5504.50,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,8,4,5483.02,5483.02,5483.02,0.00,0.00,0.97,0.00,0.00
query_differences_select_exact_with_prefix,10,4,5386.52,5386.52,5386.52,0.00,0.00,1.03,0.00,0.00
query_differences_select_exact_with_prefix,12,4,5387.56,5387.56,5387.56,0.00,0.00,1.01,0.00,0.00
query_differences_select_exact_with_prefix,14,4,5447.55,5447.55,5447.55,0.00,0.00,1.01,0.00,0.00
query_differences_select_exact_with_prefix,16,4,5443.26,5443.26,5443.26,0.00,0.00,0.99,0.00,0.00
query_differences_select_exact_with_prefix,18,4,5484.12,5484.12,5484.12,0.00,0.00,0.99,0.00,0.00
query_differences_select_full_match,2,4,10374.01,10374.01,10374.01,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,4,4,10415.12,10415.12,10415.12,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,6,4,10161.99,10161.99,10161.99,0.00,0.00,0.59,0.00,0.00
query_differences_select_full_match,8,4,10512.95,10512.95,10512.95,0.00,0.00,0.53,0.00,0.00
query_differences_select_full_match,10,4,10478.02,10478.02,10478.02,0.00,0.00,0.53,0.00,0.00
query_differences_select_full_match,12,4,10476.77,10476.77,10476.77,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,14,4,10487.52,10487.52,10487.52,0.00,0.00,0.53,0.00,0.00
query_differences_select_full_match,16,4,10486.80,10486.80,10486.80,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,18,4,10536.38,10536.38,10536.38,0.00,0.00,0.53,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2464.92,2464.92,2464.92,0.00,0.00,2.18,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2457.37,2457.37,2457.37,0.00,0.00,2.22,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2496.01,2496.01,2496.01,0.00,0.00,2.14,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2496.49,2496.49,2496.49,0.00,0.00,2.18,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2500.50,2500.50,2500.50,0.00,0.00,2.18,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2499.00,2499.00,2499.00,0.00,0.00,2.14,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2495.87,2495.87,2495.87,0.00,0.00,2.14,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2494.55,2494.55,2494.55,0.00,0.00,2.14,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2497.57,2497.57,2497.57,0.00,0.00,2.14,0.00,0.00
query_differences_select_not_leftmost,2,4,467.85,467.85,467.85,0.00,0.00,11.65,0.00,0.00
query_differences_select_not_leftmost,4,4,468.50,468.50,468.50,0.00,0.00,11.87,0.00,0.00
query_differences_select_not_leftmost,6,4,467.02,467.02,467.02,0.00,0.00,12.08,0.00,0.00
query_differences_select_not_leftmost,8,4,467.48,467.48,467.48,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,10,4,468.02,468.02,468.02,0.00,0.00,11.65,0.00,0.00
query_differences_select_not_leftmost,12,4,469.00,469.00,469.00,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,14,4,466.00,466.00,466.00,0.00,0.00,12.30,0.00,0.00
query_differences_select_not_leftmost,16,4,465.00,465.00,465.00,0.00,0.00,11.87,0.00,0.00
query_differences_select_not_leftmost,18,4,470.50,470.50,470.50,0.00,0.00,11.45,0.00,0.00
query_differences_select_range_values,2,4,585.76,585.76,585.76,0.00,0.00,8.58,0.00,0.00
query_differences_select_range_values,4,4,596.07,596.07,596.07,0.00,0.00,8.28,0.00,0.00
query_differences_select_range_values,6,4,596.50,596.50,596.50,0.00,0.00,8.43,0.00,0.00
query_differences_select_range_values,8,4,594.49,594.49,594.49,0.00,0.00,8.43,0.00,0.00
query_differences_select_range_values,10,4,594.96,594.96,594.96,0.00,0.00,8.58,0.00,0.00
query_differences_select_range_values,12,4,597.52,597.52,597.52,0.00,0.00,8.43,0.00,0.00
query_differences_select_range_values,14,4,593.53,593.53,593.53,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,16,4,592.00,592.00,592.00,0.00,0.00,8.58,0.00,0.00
query_differences_select_range_values,18,4,593.50,593.50,593.50,0.00,0.00,8.43,0.00,0.00
query_differences_select_range_with_like,2,4,6357.10,6357.10,6357.10,0.00,0.00,0.84,0.00,0.00
query_differences_select_range_with_like,4,4,6395.09,6395.09,6395.09,0.00,0.00,0.86,0.00,0.00
query_differences_select_range_with_like,6,4,6442.53,6442.53,6442.53,0.00,0.00,0.84,0.00,0.00
query_differences_select_range_with_like,8,4,6439.44,6439.44,6439.44,0.00,0.00,0.84,0.00,0.00
query_differences_select_range_with_like,10,4,6467.02,6467.02,6467.02,0.00,0.00,0.83,0.00,0.00
query_differences_select_range_with_like,12,4,6434.03,6434.03,6434.03,0.00,0.00,0.84,0.00,0.00
query_differences_select_range_with_like,14,4,6451.94,6451.94,6451.94,0.00,0.00,0.84,0.00,0.00
query_differences_select_range_with_like,16,4,6441.52,6441.52,6441.52,0.00,0.00,0.84,0.00,0.00
query_differences_select_range_with_like,18,4,6416.55,6416.55,6416.55,0.00,0.00,0.84,0.00,0.00
query_differences_select_skip_columns,2,4,3085.15,3085.15,3085.15,0.00,0.00,1.70,0.00,0.00
query_differences_select_skip_columns,4,4,3113.48,3113.48,3113.48,0.00,0.00,1.73,0.00,0.00
query_differences_select_skip_columns,6,4,3118.01,3118.01,3118.01,0.00,0.00,1.70,0.00,0.00
query_differences_select_skip_columns,8,4,3113.00,3113.00,3113.00,0.00,0.00,1.70,0.00,0.00
query_differences_select_skip_columns,10,4,3109.50,3109.50,3109.50,0.00,0.00,1.70,0.00,0.00
query_differences_select_skip_columns,12,4,3112.47,3112.47,3112.47,0.00,0.00,1.73,0.00,0.00
query_differences_select_skip_columns,14,4,3108.01,3108.01,3108.01,0.00,0.00,1.73,0.00,0.00
query_differences_select_skip_columns,16,4,3126.02,3126.02,3126.02,0.00,0.00,1.70,0.00,0.00
query_differences_select_skip_columns,18,4,3111.55,3111.55,3111.55,0.00,0.00,1.73,0.00,0.00
