Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
query_differences_insert,0,20166,60069,80235,16,80235,25,0,21.0153s,16,5224.08,5253.59,5295.00,5312.73,84057.38
query_differences_select_column_prefix,24203,0,0,24203,24203,24203,0,0,18.0022s,24203,1.32,2.97,21.05,3.82,71971.21
query_differences_select_combined_match_with_range,148565,0,0,148565,148565,148565,0,0,18.0011s,148565,0.27,0.48,19.08,0.67,71825.94
query_differences_select_exact_with_prefix,101754,0,0,101754,101754,101754,0,0,18.0013s,101754,0.37,0.71,20.41,0.95,71874.48
query_differences_select_full_match,188988,0,0,188988,188988,188988,0,0,18.0012s,188988,0.21,0.38,17.51,0.54,71786.10
query_differences_select_leftmost_prefix,47368,0,0,47368,47368,47368,0,0,18.0022s,47368,0.71,1.52,18.95,2.07,71941.93
query_differences_select_not_leftmost,8657,0,0,8657,8657,8657,0,0,18.0051s,8657,3.60,8.32,24.79,11.45,71998.76
query_differences_select_range_values,10407,0,0,10407,10407,10407,0,0,18.0054s,10407,2.95,6.92,27.24,8.90,71993.95
query_differences_select_range_with_like,122275,0,0,122275,122275,122275,0,0,18.0011s,122275,0.31,0.59,19.51,0.80,71850.76
query_differences_select_skip_columns,58815,0,0,58815,58815,58815,0,0,18.0019s,58815,0.58,1.22,20.39,1.64,71928.27
