Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,3824.01,0.00,954.50,2869.50,0.00,0.00,0.00
query_differences_insert,4,4,0.00,3879.02,0.00,969.76,2909.27,0.00,0.00,0.00
query_differences_insert,6,4,2.00,3649.51,0.00,930.00,2719.51,5217.92,5.50,0.00
query_differences_insert,8,4,0.00,3929.95,0.00,982.49,2947.46,0.00,0.00,0.00
query_differences_insert,10,4,0.00,3860.08,0.00,965.02,2895.06,0.00,0.00,0.00
query_differences_insert,12,4,2.00,3689.02,0.00,922.51,2766.52,5217.92,1.00,0.00
query_differences_insert,14,4,0.00,3905.33,0.00,976.46,2928.88,0.00,0.00,0.00
query_differences_insert,16,4,2.00,3707.61,0.00,964.03,2743.58,5217.92,6.00,0.00
query_differences_insert,18,4,0.00,3915.94,0.00,978.99,2936.96,0.00,0.00,0.00
query_differences_insert,20,4,0.00,3762.00,0.00,940.50,2821.50,0.00,0.00,0.00
query_differences_select_column_prefix,2,4,1336.87,1336.87,1336.87,0.00,0.00,3.75,0.00,0.00
query_differences_select_column_prefix,4,4,1340.72,1340.72,1340.72,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,6,4,1308.48,1308.48,1308.48,0.00,0.00,4.18,0.00,0.00
query_differences_select_column_prefix,8,4,1351.46,1351.46,1351.46,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,10,4,1349.07,1349.07,1349.07,0.00,0.00,3.82,0.00,0.00
query_differences_select_column_prefix,12,4,1355.50,1355.50,1355.50,0.00,0.00,3.82,0.00,0.00
query_differences_select_column_prefix,14,4,1349.99,1349.99,1349.99,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,16,4,1353.01,1353.01,1353.01,0.00,0.00,3.75,0.00,0.00
query_differences_select_column_prefix,18,4,1354.01,1354.01,1354.01,0.00,0.00,3.82,0.00,0.00
query_differences_select_combined_match_with_range,2,4,8185.73,8185.73,8185.73,0.00,0.00,0.67,0.00,0.00
query_differences_select_combined_match_with_range,4,4,8335.02,8335.02,8335.02,0.00,0.00,0.67,0.00,0.00
query_differences_select_combined_match_with_range,6,4,8315.43,8315.43,8315.43,0.00,0.00,0.65,0.00,0.00
query_differences_select_combined_match_with_range,8,4,8288.02,8288.02,8288.02,0.00,0.00,0.67,0.00,0.00
query_differences_select_combined_match_with_range,10,4,8209.72,8209.72,8209.72,0.00,0.00,0.68,0.00,0.00
query_differences_select_combined_match_with_range,12,4,8079.42,8079.42,8079.42,0.00,0.00,0.72,0.00,0.00
query_differences_select_combined_match_with_range,14,4,8326.08,8326.08,8326.08,0.00,0.00,0.67,0.00,0.00
query_differences_select_combined_match_with_range,16,4,8285.30,8285.30,8285.30,0.00,0.00,0.68,0.00,0.00
query_differences_select_combined_match_with_range,18,4,8253.49,8253.49,8253.49,0.00,0.00,0.68,0.00,0.00
query_differences_select_exact_with_prefix,2,4,5627.49,5627.49,5627.49,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,4,4,5672.90,5672.90,5672.90,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,6,4,5667.99,5667.99,5667.99,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,8,4,5678.12,5678.12,5678.12,0.00,0.00,0.94,0.00,0.00
query_differences_select_exact_with_prefix,10,4,5636.85,5636.85,5636.85,0.00,0.00,0.97,0.00,0.00
query_differences_select_exact_with_prefix,12,4,5641.58,5641.58,5641.58,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,14,4,5656.97,5656.97,5656.97,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,16,4,5656.99,5656.99,5656.99,0.00,0.00,0.95,0.00,0.00
query_differences_select_exact_with_prefix,18,4,5634.53,5635.03,5635.03,0.00,0.00,0.95,0.00,0.00
query_differences_select_full_match,2,4,10308.70,10308.70,10308.70,0.00,0.00,0.55,0.00,0.00
query_differences_select_full_match,4,4,10564.19,10564.19,10564.19,0.00,0.00,0.53,0.00,0.00
query_differences_select_full_match,6,4,10519.48,10519.48,10519.48,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,8,4,10510.51,10510.51,10510.51,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,10,4,10482.52,10482.52,10482.52,0.00,0.00,0.55,0.00,0.00
query_differences_select_full_match,12,4,10491.61,10491.61,10491.61,0.00,0.00,0.53,0.00,0.00
query_differences_select_full_match,14,4,10555.34,10555.34,10555.34,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,16,4,10538.01,10538.01,10538.01,0.00,0.00,0.54,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2605.36,2605.36,2605.36,0.00,0.00,2.14,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2643.78,2643.78,2643.78,0.00,0.00,2.03,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2640.60,2640.60,2640.60,0.00,0.00,2.03,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2608.36,2608.36,2608.36,0.00,0.00,2.11,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2649.03,2649.53,2649.53,0.00,0.00,2.00,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2639.61,2639.11,2639.11,0.00,0.00,2.07,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2631.63,2631.63,2631.63,0.00,0.00,2.07,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2633.86,2633.86,2633.86,0.00,0.00,2.03,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2628.37,2628.37,2628.37,0.00,0.00,2.11,0.00,0.00
query_differences_select_not_leftmost,2,4,479.35,479.35,479.35,0.00,0.00,11.04,0.00,0.00
query_differences_select_not_leftmost,4,4,482.52,482.52,482.52,0.00,0.00,11.24,0.00,0.00
query_differences_select_not_leftmost,6,4,482.01,482.01,482.01,0.00,0.00,11.65,0.00,0.00
query_differences_select_not_leftmost,8,4,482.49,482.49,482.49,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,10,4,480.50,480.50,480.50,0.00,0.00,11.04,0.00,0.00
query_differences_select_not_leftmost,12,4,481.48,481.48,481.48,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,14,4,480.02,480.02,480.02,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,16,4,478.50,478.50,478.50,0.00,0.00,11.24,0.00,0.00
query_differences_select_not_leftmost,18,4,479.50,479.50,479.50,0.00,0.00,11.45,0.00,0.00
query_differences_select_range_values,2,4,577.77,577.77,577.77,0.00,0.00,8.74,0.00,0.00
query_differences_select_range_values,4,4,584.05,584.05,584.05,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,6,4,573.52,573.52,573.52,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,8,4,572.99,572.99,572.99,0.00,0.00,9.22,0.00,0.00
query_differences_select_range_values,10,4,577.51,577.51,577.51,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,12,4,578.49,578.49,578.49,0.00,0.00,9.06,0.00,0.00
query_differences_select_range_values,14,4,584.51,584.51,584.51,0.00,0.00,8.58,0.00,0.00
query_differences_select_range_values,16,4,572.50,572.50,572.50,0.00,0.00,9.06,0.00,0.00
query_differences_select_range_values,18,4,580.01,580.01,580.01,0.00,0.00,8.58,0.00,0.00
query_differences_select_range_with_like,2,4,6720.51,6720.51,6720.51,0.00,0.00,0.81,0.00,0.00
query_differences_select_range_with_like,4,4,6778.06,6778.06,6778.06,0.00,0.00,0.80,0.00,0.00
query_differences_select_range_with_like,6,4,6807.98,6807.98,6807.98,0.00,0.00,0.80,0.00,0.00
query_differences_select_range_with_like,8,4,6807.50,6807.50,6807.50,0.00,0.00,0.80,0.00,0.00
query_differences_select_range_with_like,10,4,6775.52,6775.52,6775.52,0.00,0.00,0.81,0.00,0.00
query_differences_select_range_with_like,12,4,6790.47,6790.47,6790.47,0.00,0.00,0.81,0.00,0.00
query_differences_select_range_with_like,14,4,6804.11,6804.11,6804.11,0.00,0.00,0.80,0.00,0.00
query_differences_select_range_with_like,16,4,6830.39,6830.39,6830.39,0.00,0.00,0.80,0.00,0.00
query_differences_select_range_with_like,18,4,6820.50,6820.50,6820.50,0.00,0.00,0.80,0.00,0.00
query_differences_select_skip_columns,2,4,3242.55,3242.55,3242.55,0.00,0.00,1.64,0.00,0.00
query_differences_select_skip_columns,4,4,3267.53,3267.53,3267.53,0.00,0.00,1.64,0.00,0.00
query_differences_select_skip_columns,6,4,3278.01,3278.01,3278.01,0.00,0.00,1.64,0.00,0.00
query_differences_select_skip_columns,8,4,3270.49,3270.49,3270.49,0.00,0.00,1.61,0.00,0.00
query_differences_select_skip_columns,10,4,3273.99,3273.99,3273.99,0.00,0.00,1.64,0.00,0.00
query_differences_select_skip_columns,12,4,3264.00,3264.00,3264.00,0.00,0.00,1.64,0.00,0.00
query_differences_select_skip_columns,14,4,3275.01,3275.01,3275.01,0.00,0.00,1.61,0.00,0.00
query_differences_select_skip_columns,16,4,3278.53,3278.53,3278.53,0.00,0.00,1.61,0.00,0.00
query_differences_select_skip_columns,18,4,3254.45,3254.45,3254.45,0.00,0.00,1.61,0.00,0.00
