Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,4689.50,0.00,1171.88,3517.63,0.00,0.00,0.00
query_differences_insert,4,4,0.00,4741.32,0.00,1185.33,3555.99,0.00,0.00,0.00
query_differences_insert,6,4,2.00,4045.45,0.00,1036.99,3008.46,4203.93,4.00,0.00
query_differences_insert,8,4,0.00,3698.55,0.00,924.51,2774.04,0.00,0.00,0.00
query_differences_insert,10,4,2.00,3605.05,0.00,960.51,2644.54,5217.92,6.50,0.00
query_differences_insert,12,4,0.00,3782.91,0.00,945.98,2836.93,0.00,0.00,0.00
query_differences_insert,14,4,0.00,3789.03,0.00,947.01,2842.02,0.00,0.00,0.00
query_differences_insert,16,4,2.00,3643.95,0.00,929.99,2713.96,5409.26,3.50,0.00
query_differences_insert,18,4,0.00,3770.56,0.00,942.52,2828.05,0.00,0.00,0.00
query_differences_insert,20,4,0.00,3804.05,0.00,951.01,2853.04,0.00,0.00,0.00
query_differences_select_column_prefix,2,4,1342.91,1342.91,1342.91,0.00,0.00,3.82,0.00,0.00
query_differences_select_column_prefix,4,4,1326.70,1326.70,1326.70,0.00,0.00,4.03,0.00,0.00
query_differences_select_column_prefix,6,4,1336.00,1336.00,1336.00,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,8,4,1358.99,1358.99,1358.99,0.00,0.00,3.82,0.00,0.00
query_differences_select_column_prefix,10,4,1359.03,1359.03,1359.03,0.00,0.00,3.75,0.00,0.00
query_differences_select_column_prefix,12,4,1334.48,1334.48,1334.48,0.00,0.00,4.03,0.00,0.00
query_differences_select_column_prefix,14,4,1328.45,1328.45,1328.45,0.00,0.00,4.18,0.00,0.00
query_differences_select_column_prefix,16,4,1348.05,1348.05,1348.05,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,18,4,1355.97,1355.97,1355.97,0.00,0.00,3.82,0.00,0.00
query_differences_select_combined_match_with_range,2,4,8108.00,8108.00,8108.00,0.00,0.00,0.68,0.00,0.00
query_differences_select_combined_match_with_range,4,4,8063.46,8063.46,8063.46,0.00,0.00,0.68,0.00,0.00
query_differences_select_combined_match_with_range,6,4,8050.48,8050.48,8050.48,0.00,0.00,0.69,0.00,0.00
query_differences_select_combined_match_with_range,8,4,8140.84,8140.84,8140.84,0.00,0.00,0.68,0.00,0.00
query_differences_select_combined_match_with_range,10,4,8144.61,8144.61,8144.61,0.00,0.00,0.68,0.00,0.00
query_differences_select_combined_match_with_range,12,4,8081.94,8081.94,8081.94,0.00,0.00,0.69,0.00,0.00
