Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
query_differences_insert,0,20476,60031,80507,16,80507,38,0,21.0610s,16,5163.85,5265.00,5333.10,5312.73,84239.98
query_differences_select_column_prefix,24729,0,0,24729,24729,24729,0,0,18.0024s,24729,1.30,2.91,19.15,3.75,71967.46
query_differences_select_combined_match_with_range,152641,0,0,152641,152641,152641,0,0,18.0013s,152641,0.26,0.47,18.74,0.64,71816.49
query_differences_select_exact_with_prefix,96061,0,0,96061,96061,96061,0,0,18.0017s,96061,0.38,0.75,18.90,1.01,71870.79
query_differences_select_full_match,188511,0,0,188511,188511,188511,0,0,18.0011s,188511,0.21,0.38,18.57,0.54,71771.45
query_differences_select_leftmost_prefix,45110,0,0,45110,45110,45110,0,0,18.0022s,45110,0.73,1.59,19.57,2.14,71944.13
query_differences_select_not_leftmost,8443,0,0,8443,8443,8443,0,0,18.0050s,8443,4.02,8.53,27.29,11.87,71996.72
query_differences_select_range_values,10387,0,0,10387,10387,10387,0,0,18.0054s,10387,2.86,6.93,28.33,8.90,71998.62
query_differences_select_range_with_like,118041,0,0,118041,118041,118041,0,0,18.0012s,118041,0.33,0.61,18.93,0.83,71849.44
query_differences_select_skip_columns,56667,0,0,56667,56667,56667,0,0,18.0016s,56667,0.60,1.27,19.91,1.67,71927.97
