Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,2,4,1242.43,4224.95,1242.43,744.13,2238.39,4.10,0.00,0.00,2982.52
column_prefix,4,4,1251.71,4360.41,1251.71,777.18,2331.53,4.18,0.00,0.00,3108.70
column_prefix,6,4,1257.50,4413.59,1257.50,789.02,2367.06,4.10,0.00,0.00,3156.09
column_prefix,8,4,1214.51,4070.43,1212.51,720.48,2137.44,6481.05,2.50,0.00,2857.92
column_prefix,10,4,1238.95,4345.04,1238.95,776.52,2329.57,4.18,0.00,0.00,3106.09
column_prefix,12,4,1257.54,4375.54,1257.54,779.50,2338.50,4.10,0.00,0.00,3118.00
column_prefix,14,4,1260.49,4166.07,1258.49,737.02,2170.56,6598.34,3.00,0.00,2907.58
column_prefix,16,4,1255.97,3905.96,1255.97,662.50,1987.49,4.10,0.00,0.00,2649.99
column_prefix,18,4,1253.04,4273.05,1253.04,755.00,2265.01,4.10,0.00,0.00,3020.01
combined_match_with_range,2,4,8294.63,11277.15,8294.63,744.13,2238.39,0.67,0.00,0.00,2982.52
combined_match_with_range,4,4,8374.76,11483.46,8374.76,777.18,2331.53,0.67,0.00,0.00,3108.70
combined_match_with_range,6,4,8360.11,11516.20,8360.11,789.02,2367.06,0.67,0.00,0.00,3156.09
combined_match_with_range,8,4,8396.15,11252.07,8394.15,720.48,2137.44,6477.13,2.50,0.00,2857.92
combined_match_with_range,10,4,8419.34,11525.43,8419.34,776.52,2329.57,0.65,0.00,0.00,3106.09
combined_match_with_range,12,4,8399.99,11518.49,8400.49,779.50,2338.50,0.67,0.00,0.00,3118.00
combined_match_with_range,14,4,8400.15,11305.23,8397.65,737.02,2170.56,6594.81,3.00,0.00,2907.58
combined_match_with_range,16,4,8308.38,10958.37,8308.38,662.50,1987.49,0.68,0.00,0.00,2649.99
combined_match_with_range,18,4,8382.48,11402.49,8382.48,755.00,2265.01,0.67,0.00,0.00,3020.01
exact_with_prefix,2,4,5340.13,8322.65,5340.13,744.13,2238.39,0.99,0.00,0.00,2982.52
exact_with_prefix,4,4,5402.86,8511.56,5402.86,777.18,2331.53,0.99,0.00,0.00,3108.70
exact_with_prefix,6,4,5409.98,8566.07,5409.98,789.02,2367.06,0.99,0.00,0.00,3156.09
exact_with_prefix,8,4,5420.02,8275.94,5418.02,720.48,2137.44,6477.47,2.50,0.00,2857.92
exact_with_prefix,10,4,5422.48,8528.57,5422.48,776.52,2329.57,0.99,0.00,0.00,3106.09
exact_with_prefix,12,4,5422.42,8540.42,5422.42,779.50,2338.50,0.99,0.00,0.00,3118.00
exact_with_prefix,14,4,5397.10,8302.68,5395.10,737.02,2170.56,6595.17,3.00,0.00,2907.58
exact_with_prefix,16,4,5399.48,8049.47,5399.48,662.50,1987.49,1.01,0.00,0.00,2649.99
exact_with_prefix,18,4,5407.69,8427.70,5407.69,755.00,2265.01,1.01,0.00,0.00,3020.01
full_match,2,4,10399.35,13381.87,10399.35,744.13,2238.39,0.54,0.00,0.00,2982.52
full_match,4,4,10550.78,13659.48,10550.78,777.18,2331.53,0.54,0.00,0.00,3108.70
full_match,6,4,10663.05,13819.14,10663.05,789.02,2367.06,0.52,0.00,0.00,3156.09
full_match,8,4,10537.51,13393.43,10535.51,720.48,2137.44,6477.01,2.50,0.00,2857.92
