Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,2982.52,0.00,744.13,2238.39,0.00,0.00,0.00
query_differences_insert,4,4,0.00,3108.70,0.00,777.18,2331.53,0.00,0.00,0.00
query_differences_insert,6,4,0.00,3156.09,0.00,789.02,2367.06,0.00,0.00,0.00
query_differences_insert,8,4,2.00,2857.92,0.00,720.48,2137.44,6476.48,2.50,0.00
query_differences_insert,10,4,0.00,3106.09,0.00,776.52,2329.57,0.00,0.00,0.00
query_differences_insert,12,4,0.00,3118.00,0.00,779.50,2338.50,0.00,0.00,0.00
query_differences_insert,14,4,2.00,2907.58,0.00,737.02,2170.56,6594.16,3.00,0.00
query_differences_insert,16,4,0.00,2649.99,0.00,662.50,1987.49,0.00,0.00,0.00
query_differences_insert,18,4,0.00,3020.01,0.00,755.00,2265.01,0.00,0.00,0.00
query_differences_insert,20,4,0.00,3117.87,0.00,779.47,2338.40,0.00,0.00,0.00
query_differences_select_column_prefix,2,4,1242.43,1242.43,1242.43,0.00,0.00,4.10,0.00,0.00
query_differences_select_column_prefix,4,4,1251.71,1251.71,1251.71,0.00,0.00,4.18,0.00,0.00
query_differences_select_column_prefix,6,4,1257.50,1257.50,1257.50,0.00,0.00,4.10,0.00,0.00
query_differences_select_column_prefix,8,4,1212.51,1212.51,1212.51,0.00,0.00,4.57,0.00,0.00
query_differences_select_column_prefix,10,4,1238.95,1238.95,1238.95,0.00,0.00,4.18,0.00,0.00
query_differences_select_column_prefix,12,4,1257.54,1257.54,1257.54,0.00,0.00,4.10,0.00,0.00
query_differences_select_column_prefix,14,4,1258.49,1258.49,1258.49,0.00,0.00,4.18,0.00,0.00
query_differences_select_column_prefix,16,4,1255.97,1255.97,1255.97,0.00,0.00,4.10,0.00,0.00
query_differences_select_column_prefix,18,4,1253.04,1253.04,1253.04,0.00,0.00,4.10,0.00,0.00
query_differences_select_combined_match_with_range,2,4,8294.63,8294.63,8294.63,0.00,0.00,0.67,0.00,0.00
query_differences_select_combined_match_with_range,4,4,8374.76,8374.76,8374.76,0.00,0.00,0.67,0.00,0.00
query_differences_select_combined_match_with_range,6,4,8360.11,8360.11,8360.11,0.00,0.00,0.67,0.00,0.00
query_differences_select_combined_match_with_range,8,4,8394.15,8394.15,8394.15,0.00,0.00,0.65,0.00,0.00
query_differences_select_combined_match_with_range,10,4,8419.34,8419.34,8419.34,0.00,0.00,0.65,0.00,0.00
query_differences_select_combined_match_with_range,12,4,8399.99,8400.49,8400.49,0.00,0.00,0.67,0.00,0.00
query_differences_select_combined_match_with_range,14,4,8398.15,8397.65,8397.65,0.00,0.00,0.65,0.00,0.00
query_differences_select_combined_match_with_range,16,4,8308.38,8308.38,8308.38,0.00,0.00,0.68,0.00,0.00
query_differences_select_combined_match_with_range,18,4,8382.48,8382.48,8382.48,0.00,0.00,0.67,0.00,0.00
query_differences_select_exact_with_prefix,2,4,5340.13,5340.13,5340.13,0.00,0.00,0.99,0.00,0.00
query_differences_select_exact_with_prefix,4,4,5402.86,5402.86,5402.86,0.00,0.00,0.99,0.00,0.00
query_differences_select_exact_with_prefix,6,4,5409.98,5409.98,5409.98,0.00,0.00,0.99,0.00,0.00
query_differences_select_exact_with_prefix,8,4,5418.02,5418.02,5418.02,0.00,0.00,0.99,0.00,0.00
query_differences_select_exact_with_prefix,10,4,5422.48,5422.48,5422.48,0.00,0.00,0.99,0.00,0.00
query_differences_select_exact_with_prefix,12,4,5422.42,5422.42,5422.42,0.00,0.00,0.99,0.00,0.00
query_differences_select_exact_with_prefix,14,4,5395.10,5395.10,5395.10,0.00,0.00,1.01,0.00,0.00
query_differences_select_exact_with_prefix,16,4,5399.48,5399.48,5399.48,0.00,0.00,1.01,0.00,0.00
query_differences_select_exact_with_prefix,18,4,5407.69,5407.69,5407.69,0.00,0.00,1.01,0.00,0.00
query_differences_select_full_match,2,4,10399.35,10399.35,10399.35,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,4,4,10550.78,10550.78,10550.78,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,6,4,10663.05,10663.05,10663.05,0.00,0.00,0.52,0.00,0.00
query_differences_select_full_match,8,4,10535.51,10535.51,10535.51,0.00,0.00,0.53,0.00,0.00
query_differences_select_full_match,10,4,10589.95,10589.95,10589.95,0.00,0.00,0.53,0.00,0.00
query_differences_select_full_match,12,4,10469.05,10469.05,10469.05,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,14,4,10411.46,10411.46,10411.46,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,16,4,10502.00,10502.00,10502.00,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,18,4,10509.98,10509.98,10509.98,0.00,0.00,0.54,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2342.55,2342.55,2342.55,0.00,0.00,2.30,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2355.80,2355.80,2355.80,0.00,0.00,2.30,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2352.00,2352.00,2352.00,0.00,0.00,2.26,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2350.49,2350.49,2350.49,0.00,0.00,2.35,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2353.51,2353.51,2353.51,0.00,0.00,2.26,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2355.99,2355.99,2355.99,0.00,0.00,2.26,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2353.51,2353.51,2353.51,0.00,0.00,2.22,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2344.02,2344.02,2344.02,0.00,0.00,2.30,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2359.99,2359.99,2359.99,0.00,0.00,2.26,0.00,0.00
query_differences_select_not_leftmost,2,4,465.83,465.83,465.83,0.00,0.00,11.87,0.00,0.00
query_differences_select_not_leftmost,4,4,468.53,468.53,468.53,0.00,0.00,11.65,0.00,0.00
query_differences_select_not_leftmost,6,4,465.91,465.91,465.91,0.00,0.00,12.52,0.00,0.00
query_differences_select_not_leftmost,8,4,468.55,468.55,468.55,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,10,4,466.57,466.57,466.57,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,12,4,469.50,469.50,469.50,0.00,0.00,12.30,0.00,0.00
query_differences_select_not_leftmost,14,4,468.97,468.97,468.97,0.00,0.00,11.65,0.00,0.00
query_differences_select_not_leftmost,16,4,467.03,467.03,467.03,0.00,0.00,11.87,0.00,0.00
query_differences_select_not_leftmost,18,4,467.50,467.50,467.50,0.00,0.00,12.08,0.00,0.00
query_differences_select_range_values,2,4,580.25,580.25,580.25,0.00,0.00,8.58,0.00,0.00
query_differences_select_range_values,4,4,585.58,585.58,585.58,0.00,0.00,8.74,0.00,0.00
query_differences_select_range_values,6,4,585.00,585.00,585.00,0.00,0.00,8.74,0.00,0.00
query_differences_select_range_values,8,4,586.00,586.00,586.00,0.00,0.00,8.58,0.00,0.00
query_differences_select_range_values,10,4,586.50,586.50,586.50,0.00,0.00,9.06,0.00,0.00
query_differences_select_range_values,12,4,585.49,585.49,585.49,0.00,0.00,8.43,0.00,0.00
query_differences_select_range_values,14,4,585.51,585.51,585.51,0.00,0.00,8.58,0.00,0.00
query_differences_select_range_values,16,4,585.50,585.50,585.50,0.00,0.00,8.58,0.00,0.00
query_differences_select_range_values,18,4,576.90,576.90,576.90,0.00,0.00,8.74,0.00,0.00
query_differences_select_range_with_like,2,4,6311.51,6311.51,6311.51,0.00,0.00,0.86,0.00,0.00
query_differences_select_range_with_like,4,4,6409.21,6409.21,6409.21,0.00,0.00,0.84,0.00,0.00
query_differences_select_range_with_like,6,4,6404.91,6404.91,6404.91,0.00,0.00,0.84,0.00,0.00
query_differences_select_range_with_like,8,4,6378.01,6378.01,6378.01,0.00,0.00,0.84,0.00,0.00
query_differences_select_range_with_like,10,4,6398.51,6398.51,6398.51,0.00,0.00,0.84,0.00,0.00
query_differences_select_range_with_like,12,4,6414.11,6414.11,6414.11,0.00,0.00,0.83,0.00,0.00
query_differences_select_range_with_like,14,4,6397.40,6397.40,6397.40,0.00,0.00,0.84,0.00,0.00
query_differences_select_range_with_like,16,4,6387.97,6387.97,6387.97,0.00,0.00,0.86,0.00,0.00
query_differences_select_range_with_like,18,4,6394.68,6395.18,6395.18,0.00,0.00,0.86,0.00,0.00
query_differences_select_skip_columns,2,4,2906.67,2906.67,2906.67,0.00,0.00,1.79,0.00,0.00
query_differences_select_skip_columns,4,4,2945.47,2945.47,2945.47,0.00,0.00,1.79,0.00,0.00
query_differences_select_skip_columns,6,4,2943.50,2943.50,2943.50,0.00,0.00,1.79,0.00,0.00
query_differences_select_skip_columns,8,4,2950.00,2950.00,2950.00,0.00,0.00,1.76,0.00,0.00
query_differences_select_skip_columns,10,4,2937.01,2937.01,2937.01,0.00,0.00,1.79,0.00,0.00
query_differences_select_skip_columns,12,4,2932.02,2932.02,2932.02,0.00,0.00,1.82,0.00,0.00
query_differences_select_skip_columns,14,4,2937.87,2937.87,2937.87,0.00,0.00,1.79,0.00,0.00
query_differences_select_skip_columns,16,4,2942.04,2942.04,2942.04,0.00,0.00,1.79,0.00,0.00
query_differences_select_skip_columns,18,4,2930.57,2930.57,2930.57,0.00,0.00,1.79,0.00,0.00
