Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,3787.93,0.00,951.11,2836.82,0.00,1.00,0.00
query_differences_insert,4,4,0.00,3998.78,0.00,999.70,2999.09,0.00,0.00,0.00
query_differences_insert,6,4,2.00,3776.97,0.00,945.99,2830.98,5124.81,1.50,0.00
query_differences_insert,8,4,0.00,3931.99,0.00,983.00,2948.99,0.00,0.00,0.00
query_differences_insert,10,4,0.00,4001.89,0.00,1000.47,3001.42,0.00,0.00,0.00
query_differences_insert,12,4,2.00,3777.17,0.00,998.54,2778.62,5124.81,7.50,0.00
query_differences_insert,14,4,0.00,3987.93,0.00,996.98,2990.95,0.00,0.00,0.00
query_differences_insert,16,4,2.00,3904.51,0.00,1039.00,2865.51,5124.81,7.00,0.00
query_differences_insert,18,4,0.00,4035.86,0.00,1008.96,3026.89,0.00,0.00,0.00
query_differences_insert,20,4,0.00,4058.02,0.00,1014.51,3043.52,0.00,0.00,0.00
query_differences_select_column_prefix,2,4,1400.89,1400.89,1400.89,0.00,0.00,3.68,0.00,0.00
query_differences_select_column_prefix,4,4,1412.21,1412.21,1412.21,0.00,0.00,3.62,0.00,0.00
query_differences_select_column_prefix,6,4,1386.50,1386.50,1386.50,0.00,0.00,3.82,0.00,0.00
query_differences_select_column_prefix,8,4,1419.50,1419.50,1419.50,0.00,0.00,3.62,0.00,0.00
query_differences_select_column_prefix,10,4,1421.00,1421.00,1421.00,0.00,0.00,3.55,0.00,0.00
query_differences_select_column_prefix,12,4,1418.80,1418.80,1418.80,0.00,0.00,3.55,0.00,0.00
query_differences_select_column_prefix,14,4,1422.69,1422.69,1422.69,0.00,0.00,3.55,0.00,0.00
query_differences_select_column_prefix,16,4,1417.00,1417.00,1417.00,0.00,0.00,3.55,0.00,0.00
query_differences_select_column_prefix,18,4,1415.50,1415.50,1415.50,0.00,0.00,3.62,0.00,0.00
query_differences_select_combined_match_with_range,2,4,8170.91,8170.91,8170.91,0.00,0.00,0.69,0.00,0.00
query_differences_select_combined_match_with_range,4,4,8240.32,8240.32,8240.32,0.00,0.00,0.67,0.00,0.00
query_differences_select_combined_match_with_range,6,4,8294.51,8294.51,8294.51,0.00,0.00,0.67,0.00,0.00
query_differences_select_combined_match_with_range,8,4,8216.51,8216.51,8216.51,0.00,0.00,0.68,0.00,0.00
query_differences_select_combined_match_with_range,10,4,8260.42,8260.42,8260.42,0.00,0.00,0.68,0.00,0.00
query_differences_select_combined_match_with_range,12,4,8289.00,8289.00,8289.00,0.00,0.00,0.67,0.00,0.00
query_differences_select_combined_match_with_range,14,4,8242.00,8242.00,8242.00,0.00,0.00,0.68,0.00,0.00
query_differences_select_combined_match_with_range,16,4,8271.55,8271.55,8271.55,0.00,0.00,0.67,0.00,0.00
query_differences_select_combined_match_with_range,18,4,8217.21,8217.21,8217.21,0.00,0.00,0.68,0.00,0.00
query_differences_select_exact_with_prefix,2,4,5399.02,5399.02,5399.02,0.00,0.00,0.99,0.00,0.00
query_differences_select_exact_with_prefix,4,4,5481.36,5481.36,5481.36,0.00,0.00,0.99,0.00,0.00
query_differences_select_exact_with_prefix,6,4,5506.01,5506.01,5506.01,0.00,0.00,0.97,0.00,0.00
query_differences_select_exact_with_prefix,8,4,5450.01,5450.01,5450.01,0.00,0.00,1.01,0.00,0.00
query_differences_select_exact_with_prefix,10,4,5529.47,5529.47,5529.47,0.00,0.00,0.97,0.00,0.00
query_differences_select_exact_with_prefix,12,4,5527.05,5527.05,5527.05,0.00,0.00,0.97,0.00,0.00
query_differences_select_exact_with_prefix,14,4,5443.49,5443.49,5443.49,0.00,0.00,1.01,0.00,0.00
query_differences_select_exact_with_prefix,16,4,5364.58,5364.58,5364.58,0.00,0.00,1.04,0.00,0.00
query_differences_select_exact_with_prefix,18,4,5472.04,5472.04,5472.04,0.00,0.00,0.99,0.00,0.00
query_differences_select_full_match,2,4,10217.73,10217.73,10217.73,0.00,0.00,0.57,0.00,0.00
query_differences_select_full_match,4,4,10401.76,10401.76,10401.76,0.00,0.00,0.55,0.00,0.00
query_differences_select_full_match,6,4,10412.15,10412.15,10412.15,0.00,0.00,0.55,0.00,0.00
query_differences_select_full_match,8,4,10440.94,10440.94,10440.94,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,10,4,10425.96,10425.96,10425.96,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,12,4,10440.99,10440.99,10440.99,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,14,4,10423.41,10423.41,10423.41,0.00,0.00,0.54,0.00,0.00
query_differences_select_full_match,16,4,10698.79,10698.79,10698.79,0.00,0.00,0.52,0.00,0.00
query_differences_select_full_match,18,4,10425.79,10425.79,10425.79,0.00,0.00,0.54,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2515.65,2516.15,2516.15,0.00,0.00,2.14,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2540.60,2540.10,2540.10,0.00,0.00,2.11,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2540.01,2540.01,2540.01,0.00,0.00,2.14,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2548.00,2548.00,2548.00,0.00,0.00,2.11,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2541.49,2541.49,2541.49,0.00,0.00,2.11,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2538.52,2538.52,2538.52,0.00,0.00,2.11,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2529.42,2529.42,2529.42,0.00,0.00,2.14,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2550.04,2550.04,2550.04,0.00,0.00,2.11,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2540.52,2540.52,2540.52,0.00,0.00,2.14,0.00,0.00
query_differences_select_not_leftmost,2,4,470.84,470.84,470.84,0.00,0.00,11.65,0.00,0.00
query_differences_select_not_leftmost,4,4,470.02,470.02,470.02,0.00,0.00,11.87,0.00,0.00
query_differences_select_not_leftmost,6,4,470.99,470.99,470.99,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,8,4,465.01,465.01,465.01,0.00,0.00,11.87,0.00,0.00
query_differences_select_not_leftmost,10,4,469.50,469.50,469.50,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,12,4,467.00,467.00,467.00,0.00,0.00,11.87,0.00,0.00
query_differences_select_not_leftmost,14,4,469.50,469.50,469.50,0.00,0.00,11.65,0.00,0.00
query_differences_select_not_leftmost,16,4,471.99,471.99,471.99,0.00,0.00,11.45,0.00,0.00
query_differences_select_not_leftmost,18,4,472.51,472.51,472.51,0.00,0.00,11.45,0.00,0.00
query_differences_select_range_values,2,4,574.76,574.76,574.76,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,4,4,577.56,577.56,577.56,0.00,0.00,8.74,0.00,0.00
query_differences_select_range_values,6,4,570.01,570.01,570.01,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,8,4,565.00,565.00,565.00,0.00,0.00,9.22,0.00,0.00
query_differences_select_range_values,10,4,577.96,577.96,577.96,0.00,0.00,8.58,0.00,0.00
query_differences_select_range_values,12,4,578.54,578.54,578.54,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,14,4,578.00,578.00,578.00,0.00,0.00,8.90,0.00,0.00
query_differences_select_range_values,16,4,578.50,578.50,578.50,0.00,0.00,8.58,0.00,0.00
query_differences_select_range_values,18,4,577.00,577.00,577.00,0.00,0.00,8.58,0.00,0.00
query_differences_select_range_with_like,2,4,6595.54,6595.54,6595.54,0.00,0.00,0.83,0.00,0.00
query_differences_select_range_with_like,4,4,6679.11,6679.11,6679.11,0.00,0.00,0.81,0.00,0.00
query_differences_select_range_with_like,6,4,6647.47,6647.47,6647.47,0.00,0.00,0.81,0.00,0.00
query_differences_select_range_with_like,8,4,6605.50,6605.50,6605.50,0.00,0.00,0.83,0.00,0.00
query_differences_select_range_with_like,10,4,6650.96,6650.96,6650.96,0.00,0.00,0.83,0.00,0.00
query_differences_select_range_with_like,12,4,6636.62,6636.62,6636.62,0.00,0.00,0.83,0.00,0.00
query_differences_select_range_with_like,14,4,6678.43,6678.93,6678.93,0.00,0.00,0.81,0.00,0.00
query_differences_select_range_with_like,16,4,6650.50,6650.00,6650.00,0.00,0.00,0.81,0.00,0.00
query_differences_select_range_with_like,18,4,6675.51,6675.51,6675.51,0.00,0.00,0.81,0.00,0.00
query_differences_select_skip_columns,2,4,3205.53,3205.53,3205.53,0.00,0.00,1.67,0.00,0.00
query_differences_select_skip_columns,4,4,3243.51,3243.51,3243.51,0.00,0.00,1.67,0.00,0.00
query_differences_select_skip_columns,6,4,3239.49,3239.49,3239.49,0.00,0.00,1.67,0.00,0.00
query_differences_select_skip_columns,8,4,3239.52,3239.52,3239.52,0.00,0.00,1.67,0.00,0.00
query_differences_select_skip_columns,10,4,3230.01,3230.01,3230.01,0.00,0.00,1.67,0.00,0.00
query_differences_select_skip_columns,12,4,3229.50,3229.50,3229.50,0.00,0.00,1.67,0.00,0.00
query_differences_select_skip_columns,14,4,3223.00,3223.00,3223.00,0.00,0.00,1.67,0.00,0.00
query_differences_select_skip_columns,16,4,3230.48,3230.48,3230.48,0.00,0.00,1.67,0.00,0.00
query_differences_select_skip_columns,18,4,3184.50,3184.50,3184.50,0.00,0.00,1.70,0.00,0.00
