Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,1,1,687.53,1493.79,687.53,803.26,3.00,1.50,0.00,0.00,806.26
column_prefix,2,1,691.13,1515.49,691.13,824.36,0.00,1.50,0.00,0.00,824.36
column_prefix,3,1,687.04,1512.04,687.04,825.00,0.00,1.52,0.00,0.00,825.00
column_prefix,4,1,693.93,1511.92,693.93,817.99,0.00,1.50,0.00,0.00,817.99
column_prefix,5,1,690.07,1505.05,690.07,814.98,0.00,1.52,0.00,0.00,814.98
column_prefix,6,1,692.94,1521.88,692.94,828.94,0.00,1.50,0.00,0.00,828.94
column_prefix,7,1,689.04,1438.07,688.04,748.03,2.00,6137.41,0.00,0.00,750.03
column_prefix,8,1,685.93,1549.96,685.93,864.03,0.00,1.50,0.00,0.00,864.03
combined_match_with_range,1,1,3473.64,4279.90,3473.64,803.26,3.00,0.31,0.00,0.00,806.26
combined_match_with_range,2,1,3512.84,4337.20,3512.84,824.36,0.00,0.31,0.00,0.00,824.36
combined_match_with_range,3,1,3479.81,4304.81,3479.81,825.00,0.00,0.31,0.00,0.00,825.00
combined_match_with_range,4,1,3545.21,4363.20,3545.21,817.99,0.00,0.31,0.00,0.00,817.99
combined_match_with_range,5,1,3503.80,4318.78,3503.80,814.98,0.00,0.31,0.00,0.00,814.98
combined_match_with_range,6,1,3520.16,4349.10,3520.16,828.94,0.00,0.31,0.00,0.00,828.94
combined_match_with_range,7,1,3498.69,4247.72,3497.69,748.03,2.00,6136.22,0.00,0.00,750.03
combined_match_with_range,8,1,3551.16,4415.19,3551.16,864.03,0.00,0.31,0.00,0.00,864.03
exact_with_prefix,1,1,2373.92,3180.18,2373.92,803.26,3.00,0.45,0.00,0.00,806.26
exact_with_prefix,2,1,2402.03,3226.39,2402.03,824.36,0.00,0.45,0.00,0.00,824.36
exact_with_prefix,3,1,2392.79,3217.79,2392.79,825.00,0.00,0.45,0.00,0.00,825.00
exact_with_prefix,4,1,2382.98,3200.97,2382.98,817.99,0.00,0.45,0.00,0.00,817.99
exact_with_prefix,5,1,2416.23,3231.21,2416.23,814.98,0.00,0.44,0.00,0.00,814.98
exact_with_prefix,6,1,2369.98,3198.92,2369.98,828.94,0.00,0.45,0.00,0.00,828.94
exact_with_prefix,7,1,2422.80,3171.83,2421.80,748.03,2.00,6136.35,0.00,0.00,750.03
full_match,1,1,4112.20,4918.46,4112.20,803.26,3.00,0.27,0.00,0.00,806.26
full_match,2,1,4144.91,4969.27,4144.91,824.36,0.00,0.27,0.00,0.00,824.36
full_match,3,1,4147.06,4972.06,4147.06,825.00,0.00,0.27,0.00,0.00,825.00
full_match,4,1,4109.95,4927.94,4109.95,817.99,0.00,0.27,0.00,0.00,817.99
full_match,5,1,4078.07,4893.05,4078.07,814.98,0.00,0.27,0.00,0.00,814.98
full_match,6,1,4135.94,4965.88,4136.94,828.94,0.00,0.27,0.00,0.00,828.94
full_match,7,1,4154.66,4902.69,4152.66,748.03,2.00,6136.18,0.00,0.00,750.03
leftmost_prefix,1,1,1308.12,2114.38,1308.12,803.26,3.00,0.78,0.00,0.00,806.26
leftmost_prefix,2,1,1324.30,2148.66,1324.30,824.36,0.00,0.78,0.00,0.00,824.36
leftmost_prefix,3,1,1318.87,2143.87,1318.87,825.00,0.00,0.78,0.00,0.00,825.00
leftmost_prefix,4,1,1318.03,2136.02,1318.03,817.99,0.00,0.78,0.00,0.00,817.99
leftmost_prefix,5,1,1327.08,2143.06,1328.08,814.98,0.00,0.78,0.00,0.00,814.98
leftmost_prefix,6,1,1320.99,2148.93,1319.99,828.94,0.00,0.78,0.00,0.00,828.94
leftmost_prefix,7,1,1334.05,2083.08,1333.05,748.03,2.00,6136.69,0.00,0.00,750.03
leftmost_prefix,8,1,1324.86,2188.89,1324.86,864.03,0.00,0.78,0.00,0.00,864.03
not_leftmost,1,1,260.78,1067.04,260.78,803.26,3.00,4.10,0.00,0.00,806.26
not_leftmost,2,1,260.10,1084.46,260.10,824.36,0.00,4.10,0.00,0.00,824.36
not_leftmost,3,1,265.99,1090.99,265.99,825.00,0.00,4.10,0.00,0.00,825.00
not_leftmost,4,1,266.00,1083.99,266.00,817.99,0.00,3.96,0.00,0.00,817.99
not_leftmost,5,1,263.00,1077.98,263.00,814.98,0.00,4.10,0.00,0.00,814.98
not_leftmost,6,1,263.02,1091.96,263.02,828.94,0.00,4.10,0.00,0.00,828.94
not_leftmost,7,1,258.97,1008.00,257.97,748.03,2.00,6140.16,0.00,0.00,750.03
not_leftmost,8,1,264.02,1128.05,264.02,864.03,0.00,4.10,0.00,0.00,864.03
range_values,1,1,307.77,1114.03,307.77,803.26,3.00,3.36,0.00,0.00,806.26
range_values,2,1,311.09,1135.45,311.09,824.36,0.00,3.43,0.00,0.00,824.36
range_values,3,1,315.00,1140.00,315.00,825.00,0.00,3.30,0.00,0.00,825.00
range_values,4,1,306.00,1123.99,306.00,817.99,0.00,3.43,0.00,0.00,817.99
range_values,5,1,311.00,1125.98,311.00,814.98,0.00,3.36,0.00,0.00,814.98
range_values,6,1,307.98,1136.92,307.98,828.94,0.00,3.43,0.00,0.00,828.94
range_values,7,1,310.03,1059.06,309.03,748.03,2.00,6139.46,0.00,0.00,750.03
range_values,8,1,306.98,1171.01,306.98,864.03,0.00,3.43,0.00,0.00,864.03
range_with_like,1,1,2781.14,3587.40,2781.14,803.26,3.00,0.39,0.00,0.00,806.26
range_with_like,2,1,2857.63,3681.99,2857.63,824.36,0.00,0.38,0.00,0.00,824.36
range_with_like,3,1,2856.01,3681.01,2856.01,825.00,0.00,0.37,0.00,0.00,825.00
range_with_like,4,1,2819.96,3637.95,2819.96,817.99,0.00,0.38,0.00,0.00,817.99
range_with_like,5,1,2827.02,3642.00,2827.02,814.98,0.00,0.38,0.00,0.00,814.98
range_with_like,6,1,2833.95,3662.89,2833.95,828.94,0.00,0.38,0.00,0.00,828.94
range_with_like,7,1,2849.00,3598.03,2848.00,748.03,2.00,6136.29,0.00,0.00,750.03
range_with_like,8,1,2863.07,3727.10,2863.07,864.03,0.00,0.37,0.00,0.00,864.03
skip_columns,1,1,1563.84,2370.10,1563.84,803.26,3.00,0.67,0.00,0.00,806.26
skip_columns,2,1,1606.41,2430.77,1606.41,824.36,0.00,0.65,0.00,0.00,824.36
skip_columns,3,1,1591.01,2416.01,1591.01,825.00,0.00,0.65,0.00,0.00,825.00
skip_columns,4,1,1579.05,2397.04,1579.05,817.99,0.00,0.65,0.00,0.00,817.99
skip_columns,5,1,1568.01,2382.99,1568.01,814.98,0.00,0.67,0.00,0.00,814.98
skip_columns,6,1,1582.98,2411.92,1582.98,828.94,0.00,0.65,0.00,0.00,828.94
skip_columns,7,1,1566.87,2315.90,1565.87,748.03,2.00,6136.58,0.00,0.00,750.03
