Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,1,1,695.53,1420.86,695.53,722.33,3.00,1.50,0.00,0.00,725.33
column_prefix,2,1,710.17,1340.44,710.17,630.27,0.00,1.47,0.00,0.00,630.27
column_prefix,3,1,708.01,1385.06,708.01,677.05,0.00,1.50,0.00,0.00,677.05
column_prefix,4,1,697.98,1344.97,697.98,646.99,0.00,1.50,0.00,0.00,646.99
column_prefix,5,1,698.93,1340.88,698.93,641.95,0.00,1.50,0.00,0.00,641.95
column_prefix,6,1,690.07,1387.11,690.07,697.04,0.00,1.96,0.00,0.00,697.04
column_prefix,7,1,584.95,1216.95,584.95,632.00,0.00,2.00,0.00,0.00,632.00
column_prefix,8,1,659.06,1244.04,658.06,583.98,2.00,7617.85,0.00,0.00,585.98
combined_match_with_range,1,1,3512.33,4237.66,3512.33,722.33,3.00,0.31,0.00,0.00,725.33
combined_match_with_range,2,1,3522.88,4153.15,3522.88,630.27,0.00,0.31,0.00,0.00,630.27
combined_match_with_range,3,1,3541.12,4218.17,3541.12,677.05,0.00,0.32,0.00,0.00,677.05
combined_match_with_range,4,1,3612.90,4259.89,3612.90,646.99,0.00,0.30,0.00,0.00,646.99
combined_match_with_range,5,1,3616.05,4258.00,3616.05,641.95,0.00,0.30,0.00,0.00,641.95
combined_match_with_range,6,1,3622.01,4319.05,3622.01,697.04,0.00,0.30,0.00,0.00,697.04
combined_match_with_range,7,1,3597.08,4229.08,3597.08,632.00,0.00,0.30,0.00,0.00,632.00
exact_with_prefix,1,1,2419.43,3144.76,2419.43,722.33,3.00,0.44,0.00,0.00,725.33
exact_with_prefix,2,1,2475.29,3105.56,2475.29,630.27,0.00,0.43,0.00,0.00,630.27
exact_with_prefix,3,1,2428.00,3105.05,2428.00,677.05,0.00,0.44,0.00,0.00,677.05
exact_with_prefix,4,1,2464.25,3111.24,2464.25,646.99,0.00,0.43,0.00,0.00,646.99
exact_with_prefix,5,1,2494.92,3136.87,2494.92,641.95,0.00,0.42,0.00,0.00,641.95
exact_with_prefix,6,1,2478.08,3175.12,2478.08,697.04,0.00,0.43,0.00,0.00,697.04
exact_with_prefix,7,1,2467.98,3099.98,2467.98,632.00,0.00,0.43,0.00,0.00,632.00
exact_with_prefix,8,1,2457.94,3042.92,2456.94,583.98,2.00,7616.32,0.00,0.00,585.98
full_match,1,1,4156.02,4881.35,4156.02,722.33,3.00,0.26,0.00,0.00,725.33
full_match,2,1,4134.70,4764.97,4134.70,630.27,0.00,0.27,0.00,0.00,630.27
full_match,3,1,4244.24,4921.29,4244.24,677.05,0.00,0.26,0.00,0.00,677.05
full_match,4,1,4156.11,4803.10,4156.11,646.99,0.00,0.27,0.00,0.00,646.99
full_match,5,1,4170.03,4811.98,4170.03,641.95,0.00,0.26,0.00,0.00,641.95
full_match,6,1,4114.03,4811.07,4114.03,697.04,0.00,0.27,0.00,0.00,697.04
full_match,7,1,4245.91,4877.91,4245.91,632.00,0.00,0.26,0.00,0.00,632.00
leftmost_prefix,1,1,1328.01,2053.34,1328.01,722.33,3.00,0.77,0.00,0.00,725.33
leftmost_prefix,2,1,1334.29,1964.56,1334.29,630.27,0.00,0.77,0.00,0.00,630.27
leftmost_prefix,3,1,1335.09,2012.14,1335.09,677.05,0.00,0.78,0.00,0.00,677.05
leftmost_prefix,4,1,1333.98,1980.97,1333.98,646.99,0.00,0.78,0.00,0.00,646.99
leftmost_prefix,5,1,1330.03,1971.98,1330.03,641.95,0.00,0.78,0.00,0.00,641.95
leftmost_prefix,6,1,1335.00,2032.04,1335.00,697.04,0.00,0.78,0.00,0.00,697.04
leftmost_prefix,7,1,1342.02,1974.02,1342.02,632.00,0.00,0.77,0.00,0.00,632.00
not_leftmost,1,1,263.80,989.13,263.80,722.33,3.00,4.03,0.00,0.00,725.33
not_leftmost,2,1,266.07,896.34,266.07,630.27,0.00,4.03,0.00,0.00,630.27
