Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,1,1,723.34,2015.15,723.34,1288.82,3.00,1.42,0.00,0.00,1291.81
column_prefix,2,1,731.25,2064.82,731.25,1333.57,0.00,1.42,0.00,0.00,1333.57
column_prefix,3,1,736.07,2059.11,736.07,1323.04,0.00,1.42,0.00,0.00,1323.04
column_prefix,4,1,738.93,1937.99,737.93,1198.06,2.00,3843.37,0.00,0.00,1200.06
column_prefix,5,1,735.08,2079.06,735.08,1343.98,0.00,1.42,0.00,0.00,1343.98
column_prefix,6,1,735.91,2065.91,735.91,1330.00,0.00,1.39,0.00,0.00,1330.00
column_prefix,7,1,739.09,2082.04,739.09,1342.95,0.00,1.39,0.00,0.00,1342.95
column_prefix,8,1,735.94,1977.87,734.94,1240.93,2.00,3843.37,0.00,0.00,1242.93
combined_match_with_range,1,1,3479.55,4771.36,3479.55,1288.82,3.00,0.31,0.00,0.00,1291.81
combined_match_with_range,2,1,3610.94,4944.51,3610.94,1333.57,0.00,0.30,0.00,0.00,1333.57
combined_match_with_range,3,1,3602.70,4925.74,3602.70,1323.04,0.00,0.30,0.00,0.00,1323.04
combined_match_with_range,4,1,3584.05,4783.11,3583.05,1198.06,2.00,3842.29,0.00,0.00,1200.06
combined_match_with_range,5,1,3587.23,4931.21,3587.23,1343.98,0.00,0.30,0.00,0.00,1343.98
combined_match_with_range,6,1,3520.04,4850.04,3520.04,1330.00,0.00,0.31,0.00,0.00,1330.00
combined_match_with_range,7,1,3572.04,4914.99,3572.04,1342.95,0.00,0.32,0.00,0.00,1342.95
exact_with_prefix,1,1,2461.31,3753.12,2461.31,1288.82,3.00,0.42,0.00,0.00,1291.81
exact_with_prefix,2,1,2456.62,3790.19,2456.62,1333.57,0.00,0.43,0.00,0.00,1333.57
exact_with_prefix,3,1,2429.08,3752.12,2429.08,1323.04,0.00,0.44,0.00,0.00,1323.04
exact_with_prefix,4,1,2440.77,3639.83,2439.77,1198.06,2.00,3842.42,0.00,0.00,1200.06
exact_with_prefix,5,1,2438.92,3782.90,2438.92,1343.98,0.00,0.44,0.00,0.00,1343.98
exact_with_prefix,6,1,2445.22,3775.22,2445.22,1330.00,0.00,0.43,0.00,0.00,1330.00
exact_with_prefix,7,1,2467.03,3809.98,2467.03,1342.95,0.00,0.43,0.00,0.00,1342.95
exact_with_prefix,8,1,2449.90,3691.83,2448.90,1240.93,2.00,3842.42,0.00,0.00,1242.93
full_match,1,1,4136.06,5427.87,4136.06,1288.82,3.00,0.27,0.00,0.00,1291.81
full_match,2,1,4097.92,5431.49,4097.92,1333.57,0.00,0.27,0.00,0.00,1333.57
full_match,3,1,4146.03,5469.07,4146.03,1323.04,0.00,0.27,0.00,0.00,1323.04
full_match,4,1,4163.17,5362.23,4162.17,1198.06,2.00,3842.24,0.00,0.00,1200.06
full_match,5,1,4096.97,5440.95,4096.97,1343.98,0.00,0.27,0.00,0.00,1343.98
full_match,6,1,4128.95,5458.95,4128.95,1330.00,0.00,0.27,0.00,0.00,1330.00
full_match,7,1,4122.99,5465.94,4122.99,1342.95,0.00,0.27,0.00,0.00,1342.95
leftmost_prefix,1,1,1349.02,2640.83,1349.02,1288.82,3.00,0.77,0.00,0.00,1291.81
leftmost_prefix,2,1,1362.34,2695.91,1362.34,1333.57,0.00,0.75,0.00,0.00,1333.57
leftmost_prefix,3,1,1363.98,2687.02,1363.98,1323.04,0.00,0.75,0.00,0.00,1323.04
leftmost_prefix,4,1,1372.01,2571.07,1371.01,1198.06,2.00,3842.73,0.00,0.00,1200.06
leftmost_prefix,5,1,1361.00,2704.98,1361.00,1343.98,0.00,0.77,0.00,0.00,1343.98
leftmost_prefix,6,1,1365.91,2695.91,1365.91,1330.00,0.00,0.75,0.00,0.00,1330.00
leftmost_prefix,7,1,1361.13,2704.08,1361.13,1342.95,0.00,0.77,0.00,0.00,1342.95
leftmost_prefix,8,1,1360.87,2602.80,1359.87,1240.93,2.00,3842.73,0.00,0.00,1242.93
not_leftmost,1,1,262.78,1554.59,262.78,1288.82,3.00,4.10,0.00,0.00,1291.81
not_leftmost,2,1,264.10,1597.67,264.10,1333.57,0.00,4.10,0.00,0.00,1333.57
not_leftmost,3,1,264.99,1588.03,264.99,1323.04,0.00,4.10,0.00,0.00,1323.04
not_leftmost,4,1,264.01,1463.07,263.01,1198.06,2.00,3846.08,0.00,0.00,1200.06
not_leftmost,5,1,260.99,1604.97,260.99,1343.98,0.00,4.33,0.00,0.00,1343.98
not_leftmost,6,1,261.01,1591.01,261.01,1330.00,0.00,4.10,0.00,0.00,1330.00
not_leftmost,7,1,264.99,1607.94,264.99,1342.95,0.00,4.03,0.00,0.00,1342.95
not_leftmost,8,1,261.01,1502.94,260.01,1240.93,2.00,3846.39,0.00,0.00,1242.93
range_values,1,1,308.75,1600.56,308.75,1288.82,3.00,3.36,0.00,0.00,1291.81
range_values,2,1,312.11,1645.68,312.11,1333.57,0.00,3.36,0.00,0.00,1333.57
range_values,3,1,313.98,1637.02,313.98,1323.04,0.00,3.36,0.00,0.00,1323.04
range_values,4,1,317.03,1516.09,316.03,1198.06,2.00,3845.28,0.00,0.00,1200.06
range_values,5,1,310.00,1653.98,310.00,1343.98,0.00,3.36,0.00,0.00,1343.98
range_values,6,1,316.00,1646.00,316.00,1330.00,0.00,3.30,0.00,0.00,1330.00
range_values,7,1,315.00,1657.95,315.00,1342.95,0.00,3.30,0.00,0.00,1342.95
range_values,8,1,317.00,1558.93,316.00,1240.93,2.00,3845.28,0.00,0.00,1242.93
range_with_like,1,1,2867.05,4158.86,2867.05,1288.82,3.00,0.37,0.00,0.00,1291.81
range_with_like,2,1,2920.30,4253.87,2920.30,1333.57,0.00,0.37,0.00,0.00,1333.57
range_with_like,3,1,2980.32,4303.36,2980.32,1323.04,0.00,0.36,0.00,0.00,1323.04
range_with_like,4,1,2905.02,4104.08,2904.02,1198.06,2.00,3842.35,0.00,0.00,1200.06
range_with_like,5,1,2925.96,4269.94,2925.96,1343.98,0.00,0.37,0.00,0.00,1343.98
range_with_like,6,1,2921.73,4251.73,2921.73,1330.00,0.00,0.37,0.00,0.00,1330.00
range_with_like,7,1,2865.38,4208.33,2865.38,1342.95,0.00,0.38,0.00,0.00,1342.95
range_with_like,8,1,2905.89,4147.82,2904.89,1240.93,2.00,3842.35,0.00,0.00,1242.93
skip_columns,1,1,1603.62,2895.43,1603.62,1288.82,3.00,0.64,0.00,0.00,1291.81
skip_columns,2,1,1619.67,2953.24,1619.67,1333.57,0.00,0.64,0.00,0.00,1333.57
skip_columns,3,1,1608.02,2931.06,1608.02,1323.04,0.00,0.64,0.00,0.00,1323.04
skip_columns,4,1,1610.85,2809.91,1609.85,1198.06,2.00,3842.63,0.00,0.00,1200.06
skip_columns,5,1,1601.98,2945.96,1601.98,1343.98,0.00,0.65,0.00,0.00,1343.98
skip_columns,6,1,1613.13,2943.13,1613.13,1330.00,0.00,0.64,0.00,0.00,1330.00
skip_columns,7,1,1609.99,2952.94,1609.99,1342.95,0.00,0.64,0.00,0.00,1342.95
skip_columns,8,1,1611.89,2853.82,1610.89,1240.93,2.00,3842.62,0.00,0.00,1242.93
