Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,1291.81,0.00,1288.82,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,1333.57,0.00,1333.57,0.00,0.00,0.00,0.00
query_differences_insert,3,1,0.00,1323.04,0.00,1323.04,0.00,0.00,0.00,0.00
query_differences_insert,4,1,1.00,1200.06,0.00,1198.06,2.00,3841.98,0.00,0.00
query_differences_insert,5,1,0.00,1343.98,0.00,1343.98,0.00,0.00,0.00,0.00
query_differences_insert,6,1,0.00,1330.00,0.00,1330.00,0.00,0.00,0.00,0.00
query_differences_insert,7,1,0.00,1342.95,0.00,1342.95,0.00,0.00,0.00,0.00
query_differences_insert,8,1,1.00,1242.93,0.00,1240.93,2.00,3841.98,0.00,0.00
query_differences_insert,9,1,0.00,1342.11,0.00,1342.11,0.00,0.00,0.00,0.00
query_differences_insert,10,1,0.00,1336.94,0.00,1336.94,0.00,0.00,0.00,0.00
query_differences_insert,11,1,0.00,1329.05,0.00,1329.05,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,1,1,723.34,723.34,723.34,0.00,0.00,1.42,0.00,0.00
query_differences_select_column_prefix,2,1,731.25,731.25,731.25,0.00,0.00,1.42,0.00,0.00
query_differences_select_column_prefix,3,1,736.07,736.07,736.07,0.00,0.00,1.42,0.00,0.00
query_differences_select_column_prefix,4,1,737.93,737.93,737.93,0.00,0.00,1.39,0.00,0.00
query_differences_select_column_prefix,5,1,735.08,735.08,735.08,0.00,0.00,1.42,0.00,0.00
query_differences_select_column_prefix,6,1,735.91,735.91,735.91,0.00,0.00,1.39,0.00,0.00
query_differences_select_column_prefix,7,1,739.09,739.09,739.09,0.00,0.00,1.39,0.00,0.00
query_differences_select_column_prefix,8,1,734.94,734.94,734.94,0.00,0.00,1.39,0.00,0.00
query_differences_select_combined_match_with_range,1,1,3479.55,3479.55,3479.55,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,2,1,3610.94,3610.94,3610.94,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,3,1,3602.70,3602.70,3602.70,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,4,1,3583.05,3583.05,3583.05,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,5,1,3587.23,3587.23,3587.23,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,6,1,3520.04,3520.04,3520.04,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,7,1,3572.04,3572.04,3572.04,0.00,0.00,0.32,0.00,0.00
query_differences_select_exact_with_prefix,1,1,2461.31,2461.31,2461.31,0.00,0.00,0.42,0.00,0.00
query_differences_select_exact_with_prefix,2,1,2456.62,2456.62,2456.62,0.00,0.00,0.43,0.00,0.00
query_differences_select_exact_with_prefix,3,1,2429.08,2429.08,2429.08,0.00,0.00,0.44,0.00,0.00
query_differences_select_exact_with_prefix,4,1,2439.77,2439.77,2439.77,0.00,0.00,0.44,0.00,0.00
query_differences_select_exact_with_prefix,5,1,2438.92,2438.92,2438.92,0.00,0.00,0.44,0.00,0.00
query_differences_select_exact_with_prefix,6,1,2445.22,2445.22,2445.22,0.00,0.00,0.43,0.00,0.00
query_differences_select_exact_with_prefix,7,1,2467.03,2467.03,2467.03,0.00,0.00,0.43,0.00,0.00
query_differences_select_exact_with_prefix,8,1,2448.90,2448.90,2448.90,0.00,0.00,0.44,0.00,0.00
query_differences_select_full_match,1,1,4136.06,4136.06,4136.06,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,2,1,4097.92,4097.92,4097.92,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,3,1,4146.03,4146.03,4146.03,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,4,1,4162.17,4162.17,4162.17,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,5,1,4096.97,4096.97,4096.97,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,6,1,4128.95,4128.95,4128.95,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,7,1,4122.99,4122.99,4122.99,0.00,0.00,0.27,0.00,0.00
query_differences_select_leftmost_prefix,1,1,1349.02,1349.02,1349.02,0.00,0.00,0.77,0.00,0.00
query_differences_select_leftmost_prefix,2,1,1362.34,1362.34,1362.34,0.00,0.00,0.75,0.00,0.00
query_differences_select_leftmost_prefix,3,1,1363.98,1363.98,1363.98,0.00,0.00,0.75,0.00,0.00
query_differences_select_leftmost_prefix,4,1,1371.01,1371.01,1371.01,0.00,0.00,0.75,0.00,0.00
query_differences_select_leftmost_prefix,5,1,1361.00,1361.00,1361.00,0.00,0.00,0.77,0.00,0.00
query_differences_select_leftmost_prefix,6,1,1365.91,1365.91,1365.91,0.00,0.00,0.75,0.00,0.00
query_differences_select_leftmost_prefix,7,1,1361.13,1361.13,1361.13,0.00,0.00,0.77,0.00,0.00
query_differences_select_leftmost_prefix,8,1,1359.87,1359.87,1359.87,0.00,0.00,0.75,0.00,0.00
query_differences_select_not_leftmost,1,1,262.78,262.78,262.78,0.00,0.00,4.10,0.00,0.00
query_differences_select_not_leftmost,2,1,264.10,264.10,264.10,0.00,0.00,4.10,0.00,0.00
query_differences_select_not_leftmost,3,1,264.99,264.99,264.99,0.00,0.00,4.10,0.00,0.00
query_differences_select_not_leftmost,4,1,263.01,263.01,263.01,0.00,0.00,4.10,0.00,0.00
query_differences_select_not_leftmost,5,1,260.99,260.99,260.99,0.00,0.00,4.33,0.00,0.00
query_differences_select_not_leftmost,6,1,261.01,261.01,261.01,0.00,0.00,4.10,0.00,0.00
query_differences_select_not_leftmost,7,1,264.99,264.99,264.99,0.00,0.00,4.03,0.00,0.00
query_differences_select_not_leftmost,8,1,260.01,260.01,260.01,0.00,0.00,4.41,0.00,0.00
query_differences_select_range_values,1,1,308.75,308.75,308.75,0.00,0.00,3.36,0.00,0.00
query_differences_select_range_values,2,1,312.11,312.11,312.11,0.00,0.00,3.36,0.00,0.00
query_differences_select_range_values,3,1,313.98,313.98,313.98,0.00,0.00,3.36,0.00,0.00
query_differences_select_range_values,4,1,316.03,316.03,316.03,0.00,0.00,3.30,0.00,0.00
query_differences_select_range_values,5,1,310.00,310.00,310.00,0.00,0.00,3.36,0.00,0.00
query_differences_select_range_values,6,1,316.00,316.00,316.00,0.00,0.00,3.30,0.00,0.00
query_differences_select_range_values,7,1,315.00,315.00,315.00,0.00,0.00,3.30,0.00,0.00
query_differences_select_range_values,8,1,316.00,316.00,316.00,0.00,0.00,3.30,0.00,0.00
query_differences_select_range_with_like,1,1,2867.05,2867.05,2867.05,0.00,0.00,0.37,0.00,0.00
query_differences_select_range_with_like,2,1,2920.30,2920.30,2920.30,0.00,0.00,0.37,0.00,0.00
query_differences_select_range_with_like,3,1,2980.32,2980.32,2980.32,0.00,0.00,0.36,0.00,0.00
query_differences_select_range_with_like,4,1,2904.02,2904.02,2904.02,0.00,0.00,0.37,0.00,0.00
query_differences_select_range_with_like,5,1,2925.96,2925.96,2925.96,0.00,0.00,0.37,0.00,0.00
query_differences_select_range_with_like,6,1,2921.73,2921.73,2921.73,0.00,0.00,0.37,0.00,0.00
query_differences_select_range_with_like,7,1,2865.38,2865.38,2865.38,0.00,0.00,0.38,0.00,0.00
query_differences_select_range_with_like,8,1,2904.89,2904.89,2904.89,0.00,0.00,0.37,0.00,0.00
query_differences_select_skip_columns,1,1,1603.62,1603.62,1603.62,0.00,0.00,0.64,0.00,0.00
query_differences_select_skip_columns,2,1,1619.67,1619.67,1619.67,0.00,0.00,0.64,0.00,0.00
query_differences_select_skip_columns,3,1,1608.02,1608.02,1608.02,0.00,0.00,0.64,0.00,0.00
query_differences_select_skip_columns,4,1,1609.85,1609.85,1609.85,0.00,0.00,0.65,0.00,0.00
query_differences_select_skip_columns,5,1,1601.98,1601.98,1601.98,0.00,0.00,0.65,0.00,0.00
query_differences_select_skip_columns,6,1,1613.13,1613.13,1613.13,0.00,0.00,0.64,0.00,0.00
query_differences_select_skip_columns,7,1,1609.99,1609.99,1609.99,0.00,0.00,0.64,0.00,0.00
query_differences_select_skip_columns,8,1,1610.89,1610.89,1610.89,0.00,0.00,0.64,0.00,0.00
