Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,1,1,694.52,1531.75,694.52,834.23,3.00,1.50,0.00,0.00,837.23
column_prefix,2,1,710.18,1474.49,710.18,764.31,0.00,1.50,0.00,0.00,764.31
column_prefix,3,1,701.98,1591.99,701.98,890.01,0.00,1.47,0.00,0.00,890.01
column_prefix,4,1,697.94,1496.98,697.94,799.04,0.00,1.47,0.00,0.00,799.04
column_prefix,5,1,700.05,1470.02,700.05,769.97,0.00,1.50,0.00,0.00,769.97
column_prefix,6,1,707.02,1482.05,707.02,775.03,0.00,1.50,0.00,0.00,775.03
column_prefix,7,1,700.98,1433.99,699.98,732.01,2.00,6137.41,0.00,0.00,734.01
column_prefix,8,1,707.94,1500.92,707.94,792.98,0.00,1.50,0.00,0.00,792.98
combined_match_with_range,1,1,3541.51,4378.74,3541.51,834.23,3.00,0.30,0.00,0.00,837.23
combined_match_with_range,2,1,3527.81,4292.12,3527.81,764.31,0.00,0.31,0.00,0.00,764.31
combined_match_with_range,3,1,3603.10,4493.11,3603.10,890.01,0.00,0.30,0.00,0.00,890.01
combined_match_with_range,4,1,3581.93,4380.97,3581.93,799.04,0.00,0.31,0.00,0.00,799.04
combined_match_with_range,5,1,3505.05,4275.02,3505.05,769.97,0.00,0.31,0.00,0.00,769.97
combined_match_with_range,6,1,3526.65,4302.68,3527.65,775.03,0.00,0.31,0.00,0.00,775.03
combined_match_with_range,7,1,3544.36,4276.37,3542.36,732.01,2.00,6136.22,0.00,0.00,734.01
exact_with_prefix,1,1,2412.19,3249.42,2412.19,834.23,3.00,0.44,0.00,0.00,837.23
exact_with_prefix,2,1,2444.69,3209.00,2444.69,764.31,0.00,0.44,0.00,0.00,764.31
exact_with_prefix,3,1,2393.78,3283.79,2393.78,890.01,0.00,0.45,0.00,0.00,890.01
exact_with_prefix,4,1,2469.24,3268.28,2469.24,799.04,0.00,0.43,0.00,0.00,799.04
exact_with_prefix,5,1,2464.97,3234.94,2464.97,769.97,0.00,0.43,0.00,0.00,769.97
exact_with_prefix,6,1,2439.76,3214.79,2439.76,775.03,0.00,0.44,0.00,0.00,775.03
exact_with_prefix,7,1,2449.20,3182.21,2448.20,732.01,2.00,6136.35,0.00,0.00,734.01
exact_with_prefix,8,1,2404.94,3197.92,2404.94,792.98,0.00,0.45,0.00,0.00,792.98
full_match,1,1,4067.37,4904.60,4067.37,834.23,3.00,0.28,0.00,0.00,837.23
full_match,2,1,4184.81,4949.12,4184.81,764.31,0.00,0.26,0.00,0.00,764.31
full_match,3,1,4205.67,5095.68,4205.67,890.01,0.00,0.26,0.00,0.00,890.01
full_match,4,1,4193.30,4992.34,4193.30,799.04,0.00,0.27,0.00,0.00,799.04
full_match,5,1,4147.05,4917.02,4147.05,769.97,0.00,0.27,0.00,0.00,769.97
full_match,6,1,4191.62,4966.65,4191.62,775.03,0.00,0.27,0.00,0.00,775.03
full_match,7,1,4190.39,4923.40,4189.39,732.01,2.00,6136.18,0.00,0.00,734.01
full_match,8,1,4201.85,4994.83,4201.85,792.98,0.00,0.26,0.00,0.00,792.98
leftmost_prefix,1,1,1314.03,2151.26,1314.03,834.23,3.00,0.78,0.00,0.00,837.23
leftmost_prefix,2,1,1342.38,2106.69,1342.38,764.31,0.00,0.78,0.00,0.00,764.31
leftmost_prefix,3,1,1341.00,2231.01,1341.00,890.01,0.00,0.77,0.00,0.00,890.01
leftmost_prefix,4,1,1323.00,2122.04,1323.00,799.04,0.00,0.80,0.00,0.00,799.04
leftmost_prefix,5,1,1334.99,2104.96,1334.99,769.97,0.00,0.78,0.00,0.00,769.97
leftmost_prefix,6,1,1347.00,2122.03,1347.00,775.03,0.00,0.77,0.00,0.00,775.03
leftmost_prefix,7,1,1339.92,2072.93,1338.92,732.01,2.00,6136.69,0.00,0.00,734.01
leftmost_prefix,8,1,1338.10,2131.08,1338.10,792.98,0.00,0.78,0.00,0.00,792.98
not_leftmost,1,1,265.80,1103.03,265.80,834.23,3.00,4.03,0.00,0.00,837.23
not_leftmost,2,1,268.07,1032.38,268.07,764.31,0.00,4.03,0.00,0.00,764.31
not_leftmost,3,1,262.00,1152.01,262.00,890.01,0.00,4.10,0.00,0.00,890.01
