Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,837.23,0.00,834.23,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,764.31,0.00,764.31,0.00,0.00,0.00,0.00
query_differences_insert,3,1,0.00,890.01,0.00,890.01,0.00,0.00,0.00,0.00
query_differences_insert,4,1,0.00,799.04,0.00,799.04,0.00,0.00,0.00,0.00
query_differences_insert,5,1,0.00,769.97,0.00,769.97,0.00,0.00,0.00,0.00
query_differences_insert,6,1,0.00,775.03,0.00,775.03,0.00,0.00,0.00,0.00
query_differences_insert,7,1,1.00,734.01,0.00,732.01,2.00,6135.91,0.00,0.00
query_differences_insert,8,1,0.00,792.98,0.00,792.98,0.00,0.00,0.00,0.00
query_differences_insert,9,1,0.00,922.96,0.00,922.96,0.00,0.00,0.00,0.00
query_differences_insert,10,1,0.00,1110.02,0.00,1110.02,0.00,0.00,0.00,0.00
query_differences_insert,11,1,0.00,1037.04,0.00,1037.04,0.00,0.00,0.00,0.00
query_differences_select_column_prefix,1,1,694.52,694.52,694.52,0.00,0.00,1.50,0.00,0.00
query_differences_select_column_prefix,2,1,710.18,710.18,710.18,0.00,0.00,1.50,0.00,0.00
query_differences_select_column_prefix,3,1,701.98,701.98,701.98,0.00,0.00,1.47,0.00,0.00
query_differences_select_column_prefix,4,1,697.94,697.94,697.94,0.00,0.00,1.47,0.00,0.00
query_differences_select_column_prefix,5,1,700.05,700.05,700.05,0.00,0.00,1.50,0.00,0.00
query_differences_select_column_prefix,6,1,707.02,707.02,707.02,0.00,0.00,1.50,0.00,0.00
query_differences_select_column_prefix,7,1,699.98,699.98,699.98,0.00,0.00,1.50,0.00,0.00
query_differences_select_column_prefix,8,1,707.94,707.94,707.94,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,1,1,3541.51,3541.51,3541.51,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,2,1,3527.81,3527.81,3527.81,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,3,1,3603.10,3603.10,3603.10,0.00,0.00,0.30,0.00,0.00
query_differences_select_combined_match_with_range,4,1,3581.93,3581.93,3581.93,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,5,1,3505.05,3505.05,3505.05,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,6,1,3526.65,3527.65,3527.65,0.00,0.00,0.31,0.00,0.00
query_differences_select_combined_match_with_range,7,1,3543.36,3542.36,3542.36,0.00,0.00,0.31,0.00,0.00
query_differences_select_exact_with_prefix,1,1,2412.19,2412.19,2412.19,0.00,0.00,0.44,0.00,0.00
query_differences_select_exact_with_prefix,2,1,2444.69,2444.69,2444.69,0.00,0.00,0.44,0.00,0.00
query_differences_select_exact_with_prefix,3,1,2393.78,2393.78,2393.78,0.00,0.00,0.45,0.00,0.00
query_differences_select_exact_with_prefix,4,1,2469.24,2469.24,2469.24,0.00,0.00,0.43,0.00,0.00
query_differences_select_exact_with_prefix,5,1,2464.97,2464.97,2464.97,0.00,0.00,0.43,0.00,0.00
query_differences_select_exact_with_prefix,6,1,2439.76,2439.76,2439.76,0.00,0.00,0.44,0.00,0.00
query_differences_select_exact_with_prefix,7,1,2448.20,2448.20,2448.20,0.00,0.00,0.44,0.00,0.00
query_differences_select_exact_with_prefix,8,1,2404.94,2404.94,2404.94,0.00,0.00,0.45,0.00,0.00
query_differences_select_full_match,1,1,4067.37,4067.37,4067.37,0.00,0.00,0.28,0.00,0.00
query_differences_select_full_match,2,1,4184.81,4184.81,4184.81,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,3,1,4205.67,4205.67,4205.67,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,4,1,4193.30,4193.30,4193.30,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,5,1,4147.05,4147.05,4147.05,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,6,1,4191.62,4191.62,4191.62,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,7,1,4189.39,4189.39,4189.39,0.00,0.00,0.27,0.00,0.00
query_differences_select_full_match,8,1,4201.85,4201.85,4201.85,0.00,0.00,0.26,0.00,0.00
