Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,2,4,1372.38,5997.15,1372.38,1162.81,3461.95,3.75,1.00,0.00,4624.77
column_prefix,4,4,1382.75,6028.03,1382.75,1161.32,3483.96,3.68,0.00,0.00,4645.28
column_prefix,6,4,1391.42,5557.32,1389.42,1108.97,3058.93,4283.94,7.00,0.00,4167.90
column_prefix,8,4,1382.57,5266.32,1382.57,971.06,2912.69,3.75,0.00,0.00,3883.75
column_prefix,10,4,1392.51,4902.02,1390.51,882.00,2629.51,5221.60,2.00,0.00,3511.51
column_prefix,12,4,1389.01,5140.97,1389.01,937.99,2813.97,3.75,0.00,0.00,3751.96
column_prefix,14,4,1377.99,5220.18,1377.99,960.55,2881.64,3.75,0.00,0.00,3842.19
column_prefix,16,4,1392.50,5083.86,1390.50,953.46,2739.90,5412.94,6.50,0.00,3693.36
column_prefix,18,4,1392.47,5082.43,1392.47,922.49,2767.47,3.68,0.00,0.00,3689.96
combined_match_with_range,2,4,8316.22,12940.99,8316.22,1162.81,3461.95,0.65,1.00,0.00,4624.77
combined_match_with_range,4,4,8325.84,12971.12,8325.84,1161.32,3483.96,0.67,0.00,0.00,4645.28
combined_match_with_range,6,4,8387.54,12553.44,8385.54,1108.97,3058.93,4280.97,7.00,0.00,4167.90
combined_match_with_range,8,4,8340.60,12224.35,8340.60,971.06,2912.69,0.67,0.00,0.00,3883.75
combined_match_with_range,10,4,8345.93,11855.94,8344.43,882.00,2629.51,5218.59,2.00,0.00,3511.51
combined_match_with_range,12,4,8295.45,12046.91,8294.95,937.99,2813.97,0.68,0.00,0.00,3751.96
combined_match_with_range,14,4,8348.58,12190.77,8348.58,960.55,2881.64,0.67,0.00,0.00,3842.19
combined_match_with_range,16,4,8339.92,12031.28,8337.92,953.46,2739.90,5409.93,6.50,0.00,3693.36
combined_match_with_range,18,4,8373.04,12063.00,8373.04,922.49,2767.47,0.64,0.00,0.00,3689.96
exact_with_prefix,2,4,5568.50,10193.27,5568.50,1162.81,3461.95,0.95,1.00,0.00,4624.77
exact_with_prefix,4,4,5680.48,10325.76,5680.48,1161.32,3483.96,0.95,0.00,0.00,4645.28
exact_with_prefix,6,4,5695.45,9861.35,5693.45,1108.97,3058.93,4281.27,7.00,0.00,4167.90
exact_with_prefix,8,4,5661.03,9544.78,5661.03,971.06,2912.69,0.95,0.00,0.00,3883.75
exact_with_prefix,10,4,5683.04,9192.55,5681.04,882.00,2629.51,5218.87,2.00,0.00,3511.51
exact_with_prefix,12,4,5665.96,9417.92,5665.96,937.99,2813.97,0.95,0.00,0.00,3751.96
exact_with_prefix,14,4,5668.50,9510.69,5668.50,960.55,2881.64,0.97,0.00,0.00,3842.19
exact_with_prefix,16,4,5668.56,9359.92,5666.56,953.46,2739.90,5410.21,6.50,0.00,3693.36
exact_with_prefix,18,4,5669.36,9359.32,5669.36,922.49,2767.47,0.97,0.00,0.00,3689.96
full_match,2,4,10510.88,15135.65,10510.88,1162.81,3461.95,0.53,1.00,0.00,4624.77
full_match,4,4,10490.54,15136.32,10491.04,1161.32,3483.96,0.55,0.00,0.00,4645.28
full_match,6,4,10622.96,14788.86,10620.96,1108.97,3058.93,4280.85,7.00,0.00,4167.90
full_match,8,4,10597.65,14480.90,10597.15,971.06,2912.69,0.53,0.00,0.00,3883.75
full_match,10,4,10706.37,14215.88,10704.37,882.00,2629.51,5218.45,2.00,0.00,3511.51
full_match,12,4,10705.97,14457.93,10705.97,937.99,2813.97,0.52,0.00,0.00,3751.96
full_match,14,4,10634.02,14476.21,10634.02,960.55,2881.64,0.53,0.00,0.00,3842.19
full_match,16,4,10655.46,14346.82,10653.46,953.46,2739.90,5409.78,6.50,0.00,3693.36
full_match,18,4,10632.20,14322.16,10632.20,922.49,2767.47,0.52,0.00,0.00,3689.96
leftmost_prefix,2,4,2513.40,7138.17,2513.40,1162.81,3461.95,2.14,1.00,0.00,4624.77
leftmost_prefix,4,4,2567.34,7212.62,2567.34,1161.32,3483.96,2.11,0.00,0.00,4645.28
leftmost_prefix,6,4,2575.30,6741.20,2573.30,1108.97,3058.93,4282.43,7.00,0.00,4167.90
leftmost_prefix,8,4,2574.78,6458.53,2574.78,971.06,2912.69,2.07,0.00,0.00,3883.75
leftmost_prefix,10,4,2556.03,6065.54,2554.03,882.00,2629.51,5220.03,2.00,0.00,3511.51
leftmost_prefix,12,4,2561.97,6313.93,2561.97,937.99,2813.97,2.11,0.00,0.00,3751.96
leftmost_prefix,14,4,2526.00,6368.19,2526.00,960.55,2881.64,2.18,0.00,0.00,3842.19
leftmost_prefix,16,4,2474.04,6165.40,2472.04,953.46,2739.90,5411.61,6.50,0.00,3693.36
leftmost_prefix,18,4,2555.53,6245.49,2555.53,922.49,2767.47,2.11,0.00,0.00,3689.96
not_leftmost,2,4,466.86,5091.63,466.86,1162.81,3461.95,11.65,1.00,0.00,4624.77
not_leftmost,4,4,469.51,5114.79,469.51,1161.32,3483.96,12.08,0.00,0.00,4645.28
not_leftmost,6,4,468.01,4633.91,466.01,1108.97,3058.93,4292.62,7.00,0.00,4167.90
not_leftmost,8,4,468.00,4351.75,468.00,971.06,2912.69,11.65,0.00,0.00,3883.75
not_leftmost,10,4,471.98,3981.49,469.98,882.00,2629.51,5229.37,2.00,0.00,3511.51
not_leftmost,12,4,468.52,4220.48,468.52,937.99,2813.97,11.45,0.00,0.00,3751.96
not_leftmost,14,4,465.99,4308.18,465.99,960.55,2881.64,11.04,0.00,0.00,3842.19
not_leftmost,16,4,468.01,4159.37,466.01,953.46,2739.90,5420.71,6.50,0.00,3693.36
not_leftmost,18,4,466.00,4155.96,466.00,922.49,2767.47,11.45,0.00,0.00,3689.96
range_values,2,4,571.27,5196.04,571.27,1162.81,3461.95,8.43,1.00,0.00,4624.77
range_values,4,4,574.58,5219.86,574.58,1161.32,3483.96,8.74,0.00,0.00,4645.28
range_values,6,4,578.50,4744.40,576.50,1108.97,3058.93,4288.75,7.00,0.00,4167.90
range_values,8,4,567.50,4451.25,567.50,971.06,2912.69,9.22,0.00,0.00,3883.75
range_values,10,4,571.50,4081.01,569.50,882.00,2629.51,5226.66,2.00,0.00,3511.51
range_values,12,4,571.94,4323.90,571.94,937.99,2813.97,8.90,0.00,0.00,3751.96
range_values,14,4,577.05,4419.24,577.05,960.55,2881.64,8.90,0.00,0.00,3842.19
range_values,16,4,577.50,4268.86,575.50,953.46,2739.90,5418.00,6.50,0.00,3693.36
range_values,18,4,570.50,4260.46,570.50,922.49,2767.47,9.39,0.00,0.00,3689.96
range_with_like,2,4,6576.91,11201.68,6576.91,1162.81,3461.95,0.83,1.00,0.00,4624.77
range_with_like,4,4,6669.16,11314.44,6669.16,1161.32,3483.96,0.81,0.00,0.00,4645.28
range_with_like,6,4,6584.60,10750.50,6582.60,1108.97,3058.93,4281.16,7.00,0.00,4167.90
range_with_like,8,4,6653.95,10537.70,6653.95,971.06,2912.69,0.81,0.00,0.00,3883.75
range_with_like,10,4,6617.94,10127.45,6615.94,882.00,2629.51,5218.73,2.00,0.00,3511.51
range_with_like,12,4,6637.62,10389.58,6637.62,937.99,2813.97,0.81,0.00,0.00,3751.96
range_with_like,14,4,6618.96,10461.15,6618.96,960.55,2881.64,0.83,0.00,0.00,3842.19
range_with_like,16,4,6644.63,10335.99,6642.63,953.46,2739.90,5410.09,6.50,0.00,3693.36
range_with_like,18,4,6631.28,10321.24,6631.28,922.49,2767.47,0.83,0.00,0.00,3689.96
skip_columns,2,4,3169.53,7794.30,3169.53,1162.81,3461.95,1.70,1.00,0.00,4624.77
skip_columns,4,4,3217.03,7862.31,3217.03,1161.32,3483.96,1.67,0.00,0.00,4645.28
skip_columns,6,4,3214.00,7379.90,3212.00,1108.97,3058.93,4281.99,7.00,0.00,4167.90
skip_columns,8,4,3224.50,7108.25,3224.50,971.06,2912.69,1.64,0.00,0.00,3883.75
skip_columns,10,4,3217.57,6727.08,3215.57,882.00,2629.51,5219.56,2.00,0.00,3511.51
skip_columns,12,4,3218.95,6970.91,3218.95,937.99,2813.97,1.64,0.00,0.00,3751.96
skip_columns,14,4,3215.49,7057.68,3215.49,960.55,2881.64,1.67,0.00,0.00,3842.19
skip_columns,16,4,3203.50,6894.86,3201.50,953.46,2739.90,5410.96,6.50,0.00,3693.36
skip_columns,18,4,3223.49,6913.45,3223.49,922.49,2767.47,1.64,0.00,0.00,3689.96
