Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,2956.50,0.00,737.63,2218.88,0.00,0.00,0.00
query_differences_insert,4,4,0.00,3134.81,0.00,783.70,2351.11,0.00,0.00,0.00
query_differences_insert,6,4,0.00,3602.04,0.00,900.51,2701.53,0.00,0.00,0.00
query_differences_insert,8,4,2.00,3407.29,0.00,861.95,2545.34,6135.91,3.00,0.00
query_differences_insert,10,4,0.00,4108.24,0.00,1027.06,3081.18,0.00,0.00,0.00
query_differences_insert,12,4,2.00,3814.91,0.00,976.98,2837.94,5217.92,5.50,0.00
query_differences_insert,14,4,0.00,3209.94,0.00,802.49,2407.46,0.00,0.00,0.00
query_differences_insert,16,4,0.00,3425.99,0.00,856.50,2569.49,0.00,0.00,0.00
query_differences_insert,18,4,2.00,3128.01,0.00,798.50,2329.51,6135.91,3.50,0.00
query_differences_insert,20,4,0.00,3498.18,0.00,874.54,2623.63,0.00,0.00,0.00
query_differences_insert,22,4,0.00,3324.00,0.00,831.00,2493.00,0.00,0.00,0.00
query_differences_select_column_prefix,2,4,1323.97,1323.97,1323.97,0.00,0.00,3.82,0.00,0.00
query_differences_select_column_prefix,4,4,1322.64,1322.64,1322.64,0.00,0.00,3.96,0.00,0.00
query_differences_select_column_prefix,6,4,1333.50,1333.50,1333.50,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,8,4,1341.50,1341.50,1341.50,0.00,0.00,3.82,0.00,0.00
query_differences_select_column_prefix,10,4,1335.48,1335.48,1335.48,0.00,0.00,3.89,0.00,0.00
query_differences_select_column_prefix,12,4,1346.02,1346.02,1346.02,0.00,0.00,3.75,0.00,0.00
query_differences_select_column_prefix,14,4,1345.47,1345.47,1345.47,0.00,0.00,3.82,0.00,0.00
query_differences_select_column_prefix,16,4,1326.54,1326.54,1326.54,0.00,0.00,4.03,0.00,0.00
query_differences_select_column_prefix,18,4,1339.58,1339.58,1339.58,0.00,0.00,3.89,0.00,0.00
query_differences_select_combined_match_with_range,2,4,8637.81,8637.81,8637.81,0.00,0.00,0.64,0.00,0.00
query_differences_select_combined_match_with_range,4,4,8764.84,8764.84,8764.84,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,6,4,8700.76,8700.76,8700.76,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,8,4,8799.53,8799.53,8799.53,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,10,4,8776.11,8776.11,8776.11,0.00,0.00,0.63,0.00,0.00
query_differences_select_combined_match_with_range,12,4,8842.39,8842.39,8842.39,0.00,0.00,0.62,0.00,0.00
query_differences_select_combined_match_with_range,14,4,8819.46,8819.46,8819.46,0.00,0.00,0.63,0.00,0.00
query_differences_select_combined_match_with_range,16,4,8782.51,8782.51,8782.51,0.00,0.00,0.63,0.00,0.00
query_differences_select_combined_match_with_range,18,4,8760.91,8760.91,8760.91,0.00,0.00,0.63,0.00,0.00
query_differences_select_exact_with_prefix,2,4,6124.87,6124.87,6124.87,0.00,0.00,0.89,0.00,0.00
query_differences_select_exact_with_prefix,4,4,6186.49,6186.49,6186.49,0.00,0.00,0.87,0.00,0.00
query_differences_select_exact_with_prefix,6,4,6179.98,6179.98,6179.98,0.00,0.00,0.89,0.00,0.00
query_differences_select_exact_with_prefix,8,4,6149.02,6149.02,6149.02,0.00,0.00,0.89,0.00,0.00
query_differences_select_exact_with_prefix,10,4,6177.49,6177.49,6177.49,0.00,0.00,0.89,0.00,0.00
query_differences_select_exact_with_prefix,12,4,6185.02,6185.02,6185.02,0.00,0.00,0.87,0.00,0.00
query_differences_select_exact_with_prefix,14,4,6195.49,6195.49,6195.49,0.00,0.00,0.89,0.00,0.00
