Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
char_10_insert,0,5779,1157,6936,578,6936,0,0,8.0126s,578,8.29,13.86,26.93,18.61,8010.75
char_10_select,37362,0,0,37362,12454,37362,0,0,8.0007s,12454,0.57,0.64,8.31,0.72,7987.35
char_255_insert,0,7139,57,7196,28,7196,0,0,8.1544s,28,241.57,291.21,382.62,383.33,8153.77
char_255_select,23283,0,0,23283,7761,23283,0,0,8.0008s,7761,0.93,1.03,8.59,1.10,7991.44
int_10_insert,0,6199,1241,7440,620,7440,0,0,8.0045s,620,8.41,12.91,66.70,17.63,8002.28
int_10_select,37713,0,0,37713,12571,37713,0,0,8.0009s,12571,0.56,0.64,8.46,0.72,7987.55
int_255_insert,0,6629,53,6682,26,6682,0,0,8.0474s,26,249.85,309.49,368.05,356.70,8046.72
int_255_select,23844,0,0,23844,7948,23844,0,0,8.0009s,7948,0.91,1.01,8.68,1.08,7991.01
varchar_10_insert,0,10001,5,10006,2,10006,0,0,12.0716s,2,5787.91,6035.46,6283.01,6247.39,12070.92
varchar_10_select,3396,0,0,3396,1132,3396,0,0,8.0048s,1132,6.85,7.07,14.71,7.30,8002.16
varchar_255_insert,0,10001,5,10006,2,10006,0,0,11.5798s,2,5376.59,5789.59,6202.59,6247.39,11579.17
varchar_255_select,3342,0,0,3342,1114,3342,0,0,8.0011s,1114,6.89,7.18,15.08,7.43,7997.87
