Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
char_10_insert,1,1,74.94,907.29,0.00,754.41,152.88,20.00,0.00,0.00
char_10_insert,2,1,71.02,849.22,0.00,707.19,142.04,18.61,0.00,0.00
char_10_insert,3,1,73.00,878.01,0.00,732.01,146.00,16.71,0.00,0.00
char_10_insert,4,1,73.00,879.03,0.00,733.03,146.01,19.65,0.00,0.00
char_10_insert,5,1,79.00,941.99,0.00,783.99,158.00,16.41,0.00,0.00
char_10_insert,6,1,75.00,899.98,0.00,749.98,150.00,18.61,0.00,0.00
char_10_insert,7,1,67.00,806.05,0.00,672.04,134.01,20.00,0.00,0.00
char_10_insert,8,1,64.00,767.00,0.00,639.00,128.00,18.61,0.00,0.00
char_10_select,1,1,1552.81,4660.43,4660.43,0.00,0.00,0.72,0.00,0.00
char_10_select,2,1,1585.39,4756.16,4756.16,0.00,0.00,0.69,0.00,0.00
char_10_select,3,1,1574.91,4722.72,4722.72,0.00,0.00,0.72,0.00,0.00
char_10_select,4,1,1564.14,4694.41,4694.41,0.00,0.00,0.72,0.00,0.00
char_10_select,5,1,1535.87,4606.60,4606.60,0.00,0.00,0.73,0.00,0.00
char_10_select,6,1,1552.07,4656.22,4656.22,0.00,0.00,0.72,0.00,0.00
char_10_select,7,1,1490.99,4473.97,4473.97,0.00,0.00,0.86,0.00,0.00
char_255_insert,1,1,2.00,684.35,0.00,677.35,6.99,383.33,0.00,0.00
char_255_insert,2,1,3.00,715.32,0.00,709.31,6.00,383.33,0.00,0.00
char_255_insert,3,1,3.00,912.01,0.00,906.01,6.00,344.08,0.00,0.00
char_255_insert,4,1,5.00,1053.00,0.00,1043.00,10.00,244.38,0.00,0.00
char_255_insert,5,1,3.00,948.03,0.00,942.03,6.00,308.84,0.00,0.00
char_255_insert,6,1,4.00,990.96,0.00,982.96,8.00,267.41,0.00,0.00
char_255_insert,7,1,4.00,895.03,0.00,887.03,8.00,320.17,0.00,0.00
char_255_insert,8,1,3.00,871.98,0.00,865.98,6.00,308.84,0.00,0.00
char_255_select,1,1,968.19,2906.56,2906.56,0.00,0.00,1.10,0.00,0.00
char_255_select,2,1,961.39,2884.16,2884.16,0.00,0.00,1.12,0.00,0.00
char_255_select,3,1,976.93,2929.78,2929.78,0.00,0.00,1.10,0.00,0.00
char_255_select,4,1,987.07,2960.22,2960.22,0.00,0.00,1.08,0.00,0.00
char_255_select,5,1,960.01,2880.02,2880.02,0.00,0.00,1.14,0.00,0.00
char_255_select,6,1,950.00,2850.01,2850.01,0.00,0.00,1.12,0.00,0.00
char_255_select,7,1,976.99,2930.98,2930.98,0.00,0.00,1.10,0.00,0.00
char_255_select,8,1,978.98,2938.93,2938.93,0.00,0.00,1.08,0.00,0.00
int_10_insert,1,1,90.92,1092.07,0.00,908.23,183.84,13.22,0.00,0.00
int_10_insert,2,1,92.03,1109.39,0.00,924.32,185.06,12.98,0.00,0.00
int_10_insert,3,1,87.00,1046.03,0.00,872.03,174.01,13.95,0.00,0.00
int_10_insert,4,1,71.00,851.96,0.00,709.96,141.99,17.01,0.00,0.00
int_10_insert,5,1,60.00,722.03,0.00,602.02,120.00,20.74,0.00,0.00
int_10_insert,6,1,70.00,840.99,0.00,700.99,140.00,18.28,0.00,0.00
int_10_insert,7,1,70.00,839.02,0.00,699.01,140.00,17.63,0.00,0.00
int_10_insert,8,1,78.00,934.01,0.00,778.01,156.00,17.63,0.00,0.00
int_10_select,1,1,1564.92,4696.77,4696.77,0.00,0.00,0.72,0.00,0.00
int_10_select,2,1,1590.37,4769.11,4769.11,0.00,0.00,0.70,0.00,0.00
int_10_select,3,1,1528.86,4586.59,4586.59,0.00,0.00,0.72,0.00,0.00
int_10_select,4,1,1573.97,4721.92,4721.92,0.00,0.00,0.72,0.00,0.00
int_10_select,5,1,1567.16,4701.49,4701.49,0.00,0.00,0.72,0.00,0.00
int_10_select,6,1,1564.00,4693.00,4693.00,0.00,0.00,0.73,0.00,0.00
int_10_select,7,1,1595.97,4786.92,4786.92,0.00,0.00,0.68,0.00,0.00
int_10_select,8,1,1583.88,4752.63,4752.63,0.00,0.00,0.70,0.00,0.00
int_255_insert,1,1,2.00,744.36,0.00,737.37,6.99,369.77,0.00,0.00
int_255_insert,2,1,3.00,790.31,0.00,784.31,6.00,350.33,0.00,0.00
int_255_insert,3,1,4.00,811.99,0.00,803.99,8.00,356.70,0.00,0.00
int_255_insert,4,1,3.00,899.01,0.00,893.01,6.00,303.33,0.00,0.00
int_255_insert,5,1,4.00,1017.04,0.00,1009.04,8.00,272.27,0.00,0.00
int_255_insert,6,1,3.00,757.99,0.00,751.99,6.00,356.70,0.00,0.00
int_255_insert,7,1,3.00,774.97,0.00,768.97,6.00,350.33,0.00,0.00
int_255_insert,8,1,3.00,852.03,0.00,846.03,6.00,320.17,0.00,0.00
int_255_select,1,1,976.17,2928.50,2928.50,0.00,0.00,1.08,0.00,0.00
int_255_select,2,1,998.40,2995.21,2995.21,0.00,0.00,1.08,0.00,0.00
int_255_select,3,1,1006.99,3021.97,3021.97,0.00,0.00,1.06,0.00,0.00
int_255_select,4,1,995.99,2988.98,2988.98,0.00,0.00,1.08,0.00,0.00
int_255_select,5,1,994.95,2982.85,2982.85,0.00,0.00,1.08,0.00,0.00
int_255_select,6,1,989.05,2968.16,2968.16,0.00,0.00,1.08,0.00,0.00
int_255_select,7,1,989.01,2966.02,2966.02,0.00,0.00,1.08,0.00,0.00
int_255_select,8,1,995.98,2989.95,2989.95,0.00,0.00,1.06,0.00,0.00
varchar_10_insert,1,1,0.00,935.08,0.00,932.08,3.00,0.00,0.00,0.00
varchar_10_insert,2,1,0.00,929.47,0.00,929.47,0.00,0.00,0.00,0.00
varchar_10_insert,3,1,0.00,976.01,0.00,976.01,0.00,0.00,0.00,0.00
varchar_10_insert,4,1,0.00,821.96,0.00,821.96,0.00,0.00,0.00,0.00
varchar_10_insert,5,1,0.00,720.05,0.00,720.05,0.00,0.00,0.00,0.00
varchar_10_insert,6,1,1.00,735.97,0.00,733.97,2.00,5813.24,0.00,0.00
varchar_10_insert,7,1,0.00,789.01,0.00,789.01,0.00,0.00,0.00,0.00
varchar_10_insert,8,1,0.00,892.01,0.00,892.01,0.00,0.00,0.00,0.00
varchar_10_insert,9,1,0.00,841.99,0.00,841.99,0.00,0.00,0.00,0.00
varchar_10_insert,10,1,0.00,813.99,0.00,813.99,0.00,0.00,0.00,0.00
varchar_10_insert,11,1,0.00,814.05,0.00,814.05,0.00,0.00,0.00,0.00
varchar_10_insert,12,1,0.00,677.97,0.00,677.97,0.00,0.00,0.00,0.00
varchar_10_select,1,1,138.88,417.64,417.64,0.00,0.00,7.30,0.00,0.00
varchar_10_select,2,1,143.05,428.15,428.15,0.00,0.00,7.17,0.00,0.00
varchar_10_select,3,1,141.01,425.03,425.03,0.00,0.00,7.30,0.00,0.00
varchar_10_select,4,1,139.98,419.94,419.94,0.00,0.00,7.30,0.00,0.00
varchar_10_select,5,1,142.00,424.00,424.00,0.00,0.00,7.30,0.00,0.00
varchar_10_select,6,1,142.01,426.02,426.02,0.00,0.00,7.17,0.00,0.00
varchar_10_select,7,1,142.01,427.02,427.02,0.00,0.00,7.17,0.00,0.00
varchar_10_select,8,1,141.99,425.98,425.98,0.00,0.00,7.17,0.00,0.00
varchar_255_insert,1,1,0.00,820.25,0.00,817.25,3.00,0.00,0.00,0.00
varchar_255_insert,2,1,0.00,827.40,0.00,827.40,0.00,0.00,0.00,0.00
