Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
char_10_insert,0,7039,1409,8448,704,8448,0,0,8.0115s,704,8.42,11.38,49.79,15.27,8008.88
char_10_select,37737,0,0,37737,12579,37737,0,0,8.0007s,12579,0.56,0.63,8.15,0.72,7986.78
char_255_insert,0,7139,57,7196,28,7196,0,0,8.2049s,28,278.80,293.00,318.21,314.45,8204.14
char_255_select,23373,0,0,23373,7791,23373,0,0,8.0010s,7791,0.93,1.03,8.74,1.10,7991.02
int_10_insert,0,7179,1437,8616,718,8616,0,0,8.0144s,718,8.18,11.16,25.46,15.00,8012.04
int_10_select,37176,0,0,37176,12392,37176,0,0,8.0009s,12392,0.57,0.64,8.47,0.73,7986.42
int_255_insert,0,7649,61,7710,30,7710,0,0,8.1360s,30,232.97,271.18,299.15,287.38,8135.30
int_255_select,23919,0,0,23919,7973,23919,0,0,8.0011s,7973,0.90,1.00,8.82,1.08,7991.04
varchar_10_insert,0,10001,5,10006,2,10006,0,0,10.4156s,2,5167.31,5207.44,5247.57,5217.92,10414.88
varchar_10_select,3399,0,0,3399,1133,3399,0,0,8.0041s,1133,6.84,7.06,14.96,7.30,8001.48
varchar_255_insert,0,10001,5,10006,2,10006,0,0,11.1809s,2,5370.07,5590.12,5810.18,5813.24,11180.25
varchar_255_select,3378,0,0,3378,1126,3378,0,0,8.0055s,1126,6.85,7.11,15.02,7.30,8002.80
