Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
char_10,1,1,1642.83,5722.89,4664.69,879.34,178.87,18.06,0.00,0.00,1058.20
char_10,2,1,1663.41,5775.47,4731.18,870.24,174.05,16.55,0.00,0.00,1044.29
char_10,3,1,1677.87,5826.66,4768.60,882.05,176.01,15.43,0.00,0.00,1058.06
char_10,4,1,1661.15,5769.41,4721.46,873.96,173.99,15.99,0.00,0.00,1047.95
char_10,5,1,1667.99,5789.95,4744.96,870.99,174.00,15.45,0.00,0.00,1044.99
char_10,6,1,1641.00,5708.03,4656.99,875.03,176.01,14.94,0.00,0.00,1051.04
char_10,7,1,1672.02,5803.04,4757.07,871.98,174.00,15.97,0.00,0.00,1045.97
char_10,8,1,1653.91,5775.77,4688.72,906.04,181.01,15.45,0.00,0.00,1087.05
char_255,1,1,974.37,3803.25,2916.10,878.16,8.99,299.00,0.00,0.00,887.15
char_255,2,1,978.09,3820.65,2925.28,889.37,6.00,288.48,0.00,0.00,895.37
char_255,3,1,973.03,3779.11,2907.08,864.03,8.00,315.55,0.00,0.00,872.03
char_255,4,1,973.10,3796.25,2910.30,879.95,6.00,304.43,0.00,0.00,885.95
char_255,5,1,984.99,3804.04,2942.96,853.08,8.00,309.92,0.00,0.00,861.08
char_255,6,1,972.96,3794.86,2907.89,880.97,6.00,309.96,0.00,0.00,886.97
char_255,7,1,981.03,3774.10,2934.09,834.01,6.00,315.53,0.00,0.00,840.01
char_255,8,1,979.02,3808.04,2927.07,872.97,8.00,321.25,0.00,0.00,880.97
int_10,1,1,1620.82,5669.79,4597.66,891.28,180.85,14.93,0.00,0.00,1072.13
int_10,2,1,1623.45,5674.60,4602.26,894.29,178.06,14.43,0.00,0.00,1072.34
int_10,3,1,1645.97,5745.94,4667.91,898.03,180.01,15.19,0.00,0.00,1078.03
int_10,4,1,1665.00,5780.00,4735.00,871.00,174.00,16.53,0.00,0.00,1045.00
int_10,5,1,1656.98,5785.91,4696.93,906.98,182.00,14.94,0.00,0.00,1088.98
int_10,6,1,1635.00,5704.04,4638.00,888.03,178.01,15.73,0.00,0.00,1066.04
int_10,7,1,1650.87,5757.60,4686.62,892.98,178.00,16.28,0.00,0.00,1070.98
int_10,8,1,1609.14,5659.46,4547.43,927.03,185.01,15.19,0.00,0.00,1112.03
int_255,1,1,985.32,3874.04,2947.96,917.08,8.99,288.46,0.00,0.00,926.08
int_255,2,1,998.22,3891.12,2984.66,898.45,8.00,298.98,0.00,0.00,906.46
int_255,3,1,1000.01,3981.04,2990.04,985.00,6.00,278.29,0.00,0.00,991.00
int_255,4,1,1004.00,3947.01,2997.99,941.02,8.00,278.27,0.00,0.00,949.02
int_255,5,1,981.94,3870.80,2933.82,928.98,8.00,283.39,0.00,0.00,936.98
int_255,6,1,1005.03,3947.99,3003.08,937.91,7.00,288.46,0.00,0.00,944.91
int_255,7,1,1014.97,3964.00,3037.91,919.09,7.00,283.29,0.00,0.00,926.09
int_255,8,1,1011.06,4019.17,3021.19,989.98,8.00,278.27,0.00,0.00,997.98
varchar_10,1,1,138.90,1409.75,418.69,988.07,3.00,7.30,0.00,0.00,991.06
varchar_10,2,1,142.03,1376.52,426.08,950.44,0.00,7.30,0.00,0.00,950.44
varchar_10,3,1,142.01,1366.05,425.03,941.02,0.00,7.43,0.00,0.00,941.02
varchar_10,4,1,141.00,1415.95,424.00,991.95,0.00,7.30,0.00,0.00,991.95
varchar_10,5,1,143.00,1395.02,427.01,968.01,0.00,7.17,0.00,0.00,968.01
varchar_10,6,1,141.98,1324.02,422.95,899.07,2.00,5131.98,0.00,0.00,901.07
varchar_10,7,1,142.02,1389.01,428.05,960.96,0.00,7.17,0.00,0.00,960.96
varchar_10,8,1,142.00,1433.03,425.00,1008.03,0.00,7.17,0.00,0.00,1008.03
varchar_255,1,1,139.87,1356.80,420.62,933.19,3.00,7.17,0.00,0.00,936.18
varchar_255,2,1,142.07,1369.60,425.20,944.40,0.00,7.30,0.00,0.00,944.40
varchar_255,3,1,140.00,1334.98,420.00,914.98,0.00,7.30,0.00,0.00,914.98
varchar_255,4,1,138.99,1360.95,417.97,942.98,0.00,7.56,0.00,0.00,942.98
varchar_255,5,1,140.01,1347.06,421.03,926.03,0.00,7.30,0.00,0.00,926.03
varchar_255,6,1,142.00,1231.96,423.00,806.97,2.00,5416.56,0.00,0.00,808.96
varchar_255,7,1,142.00,1356.00,424.00,932.00,0.00,7.17,0.00,0.00,932.00
varchar_255,8,1,141.00,1181.00,423.00,758.00,0.00,7.30,0.00,0.00,758.00
