Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
char_10_insert,0,10669,2135,12804,1067,12804,0,0,8.0061s,1067,6.59,7.50,16.28,8.13,8003.83
char_10_select,38073,0,0,38073,12691,38073,0,0,8.0007s,12691,0.56,0.63,8.15,0.70,7987.95
char_255_insert,0,10709,85,10794,42,10794,0,0,8.0441s,42,185.27,191.51,205.93,196.89,8043.41
char_255_select,23763,0,0,23763,7921,23763,0,0,8.0007s,7921,0.90,1.01,8.42,1.08,7992.13
int_10_insert,0,10649,2131,12780,1065,12780,0,0,8.0042s,1065,6.62,7.51,14.78,8.28,8002.02
int_10_select,37968,0,0,37968,12656,37968,0,0,8.0008s,12656,0.57,0.63,8.09,0.70,7987.54
int_255_insert,0,11474,91,11565,45,11565,0,0,8.1723s,45,175.96,181.59,193.21,189.93,8171.62
int_255_select,24426,0,0,24426,8142,24426,0,0,8.0009s,8142,0.89,0.98,8.69,1.06,7991.96
varchar_10_insert,0,12002,7,12009,3,12009,0,0,8.6056s,3,2833.10,2868.33,2901.98,2880.27,8605.00
varchar_10_select,4173,0,0,4173,1391,4173,0,0,8.0055s,1391,5.57,5.75,13.26,5.88,8002.97
varchar_255_insert,0,12002,7,12009,3,12009,0,0,8.5812s,3,2854.43,2860.21,2870.16,2880.27,8580.62
varchar_255_select,4173,0,0,4173,1391,4173,0,0,8.0036s,1391,5.62,5.75,13.52,5.88,8001.15
