Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
char_10_insert,0,9659,1933,11592,966,11592,0,0,8.0070s,966,7.24,8.29,40.84,9.22,8004.89
char_10_select,37320,0,0,37320,12440,37320,0,0,8.0007s,12440,0.57,0.64,8.26,0.72,7987.66
char_255_insert,0,9434,75,9509,37,9509,0,0,8.0074s,37,205.91,216.40,264.00,227.40,8006.67
char_255_select,23262,0,0,23262,7754,23262,0,0,8.0013s,7754,0.94,1.03,9.28,1.10,7992.47
int_10_insert,0,9759,1953,11712,976,11712,0,0,8.0061s,976,7.22,8.20,20.75,9.22,8003.80
int_10_select,37719,0,0,37719,12573,37719,0,0,8.0007s,12573,0.57,0.64,8.12,0.72,7987.33
int_255_insert,0,10199,81,10280,40,10280,0,0,8.0266s,40,193.27,200.65,218.57,211.60,8025.80
int_255_select,23706,0,0,23706,7902,23706,0,0,8.0013s,7902,0.91,1.01,8.76,1.08,7992.73
varchar_10_insert,0,12002,7,12009,3,12009,0,0,9.4345s,3,3134.47,3144.61,3157.89,3151.62,9433.84
varchar_10_select,4140,0,0,4140,1380,4140,0,0,8.0040s,1380,5.59,5.80,13.40,5.99,8001.45
varchar_255_insert,0,12002,7,12009,3,12009,0,0,9.3815s,3,3097.97,3126.96,3143.97,3151.62,9380.87
varchar_255_select,4128,0,0,4128,1376,4128,0,0,8.0031s,1376,5.63,5.81,13.63,5.99,8000.68
