Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
char_10_insert,1,1,118.90,1430.76,0.00,1189.97,240.79,9.39,0.00,0.00
char_10_insert,2,1,124.05,1487.55,0.00,1239.46,248.09,8.90,0.00,0.00
char_10_insert,3,1,117.00,1409.99,0.00,1175.99,234.00,9.56,0.00,0.00
char_10_insert,4,1,122.01,1457.07,0.00,1214.06,243.01,9.06,0.00,0.00
char_10_insert,5,1,122.00,1464.05,0.00,1220.04,244.01,9.22,0.00,0.00
char_10_insert,6,1,124.00,1488.96,0.00,1239.97,248.99,9.06,0.00,0.00
char_10_insert,7,1,121.00,1460.00,0.00,1218.00,242.00,8.90,0.00,0.00
char_10_insert,8,1,115.99,1383.93,0.00,1151.94,231.99,9.39,0.00,0.00
char_10_select,1,1,1558.90,4676.70,4676.70,0.00,0.00,0.72,0.00,0.00
char_10_select,2,1,1590.26,4772.77,4772.77,0.00,0.00,0.68,0.00,0.00
char_10_select,3,1,1520.05,4558.15,4558.15,0.00,0.00,0.73,0.00,0.00
char_10_select,4,1,1547.05,4642.14,4642.14,0.00,0.00,0.74,0.00,0.00
char_10_select,5,1,1554.92,4665.77,4665.77,0.00,0.00,0.72,0.00,0.00
char_10_select,6,1,1560.06,4680.18,4680.18,0.00,0.00,0.72,0.00,0.00
char_10_select,7,1,1564.99,4692.97,4692.97,0.00,0.00,0.72,0.00,0.00
char_255_insert,1,1,4.00,1075.04,0.00,1064.05,10.99,262.64,0.00,0.00
char_255_insert,2,1,4.00,1215.57,0.00,1207.57,8.00,215.44,0.00,0.00
char_255_insert,3,1,5.00,1209.92,0.00,1199.92,10.00,215.44,0.00,0.00
char_255_insert,4,1,5.00,1209.98,0.00,1199.98,10.00,219.36,0.00,0.00
char_255_insert,5,1,5.00,1205.01,0.00,1195.01,10.00,223.34,0.00,0.00
char_255_insert,6,1,4.00,1213.03,0.00,1205.03,8.00,215.44,0.00,0.00
char_255_insert,7,1,5.00,1180.97,0.00,1170.97,10.00,227.40,0.00,0.00
char_255_insert,8,1,4.00,1189.00,0.00,1181.00,8.00,227.40,0.00,0.00
char_255_select,1,1,958.37,2877.12,2877.12,0.00,0.00,1.10,0.00,0.00
char_255_select,2,1,964.23,2891.68,2891.68,0.00,0.00,1.12,0.00,0.00
char_255_select,3,1,971.98,2915.93,2915.93,0.00,0.00,1.10,0.00,0.00
char_255_select,4,1,964.99,2895.97,2895.97,0.00,0.00,1.10,0.00,0.00
char_255_select,5,1,961.02,2881.06,2881.06,0.00,0.00,1.12,0.00,0.00
char_255_select,6,1,977.02,2933.06,2933.06,0.00,0.00,1.10,0.00,0.00
char_255_select,7,1,977.98,2932.94,2932.94,0.00,0.00,1.10,0.00,0.00
char_255_select,8,1,977.00,2930.00,2930.00,0.00,0.00,1.10,0.00,0.00
int_10_insert,1,1,118.91,1429.97,0.00,1189.14,240.83,9.56,0.00,0.00
int_10_insert,2,1,121.03,1458.39,0.00,1216.32,242.06,9.22,0.00,0.00
int_10_insert,3,1,122.00,1465.96,0.00,1221.97,243.99,9.06,0.00,0.00
int_10_insert,4,1,123.00,1474.99,0.00,1228.99,246.00,9.39,0.00,0.00
int_10_insert,5,1,122.00,1457.02,0.00,1213.02,244.00,9.06,0.00,0.00
int_10_insert,6,1,123.00,1482.06,0.00,1236.05,246.01,9.06,0.00,0.00
int_10_insert,7,1,120.99,1450.91,0.00,1208.93,241.99,9.39,0.00,0.00
int_10_insert,8,1,124.00,1484.04,0.00,1236.03,248.01,8.74,0.00,0.00
int_10_select,1,1,1545.94,4638.81,4638.81,0.00,0.00,0.72,0.00,0.00
int_10_select,2,1,1558.36,4676.08,4676.08,0.00,0.00,0.72,0.00,0.00
int_10_select,3,1,1563.87,4690.60,4690.60,0.00,0.00,0.72,0.00,0.00
int_10_select,4,1,1590.01,4769.03,4769.03,0.00,0.00,0.69,0.00,0.00
int_10_select,5,1,1572.15,4716.44,4716.44,0.00,0.00,0.72,0.00,0.00
int_10_select,6,1,1599.95,4801.85,4801.85,0.00,0.00,0.65,0.00,0.00
int_10_select,7,1,1568.05,4702.14,4702.14,0.00,0.00,0.72,0.00,0.00
int_255_insert,1,1,4.99,1297.63,0.00,1284.64,12.99,204.11,0.00,0.00
int_255_insert,2,1,5.00,1284.69,0.00,1274.69,10.01,204.11,0.00,0.00
int_255_insert,3,1,4.00,1262.06,0.00,1254.06,8.00,211.60,0.00,0.00
int_255_insert,4,1,5.00,1285.04,0.00,1275.04,10.00,204.11,0.00,0.00
int_255_insert,5,1,5.00,1263.92,0.00,1253.92,10.00,219.36,0.00,0.00
int_255_insert,6,1,5.00,1268.03,0.00,1258.03,10.00,207.82,0.00,0.00
int_255_insert,7,1,5.00,1295.99,0.00,1285.99,10.00,204.11,0.00,0.00
int_255_insert,8,1,5.00,1286.01,0.00,1276.01,10.00,215.44,0.00,0.00
int_255_select,1,1,974.33,2923.99,2923.99,0.00,0.00,1.08,0.00,0.00
int_255_select,2,1,994.18,2982.53,2982.53,0.00,0.00,1.08,0.00,0.00
int_255_select,3,1,992.02,2977.07,2977.07,0.00,0.00,1.08,0.00,0.00
int_255_select,4,1,988.97,2966.92,2966.92,0.00,0.00,1.08,0.00,0.00
int_255_select,5,1,983.05,2948.16,2948.16,0.00,0.00,1.10,0.00,0.00
int_255_select,6,1,988.98,2967.95,2967.95,0.00,0.00,1.08,0.00,0.00
int_255_select,7,1,981.04,2941.12,2941.12,0.00,0.00,1.08,0.00,0.00
int_255_select,8,1,997.93,2994.79,2994.79,0.00,0.00,1.06,0.00,0.00
varchar_10_insert,1,1,0.00,1289.54,0.00,1286.55,3.00,0.00,0.00,0.00
varchar_10_insert,2,1,0.00,1226.66,0.00,1226.66,0.00,0.00,0.00,0.00
varchar_10_insert,3,1,0.00,1297.05,0.00,1297.05,0.00,0.00,0.00,0.00
varchar_10_insert,4,1,1.00,1221.03,0.00,1219.03,2.00,3151.62,0.00,0.00
varchar_10_insert,5,1,0.00,1309.99,0.00,1309.99,0.00,0.00,0.00,0.00
varchar_10_insert,6,1,0.00,1279.01,0.00,1279.01,0.00,0.00,0.00,0.00
varchar_10_insert,7,1,1.00,1231.03,0.00,1229.03,2.00,3151.62,0.00,0.00
varchar_10_insert,8,1,0.00,1304.98,0.00,1304.98,0.00,0.00,0.00,0.00
varchar_10_insert,9,1,0.00,1288.99,0.00,1288.99,0.00,0.00,0.00,0.00
varchar_10_select,1,1,170.88,514.65,514.65,0.00,0.00,5.99,0.00,0.00
varchar_10_select,2,1,173.05,519.14,519.14,0.00,0.00,5.88,0.00,0.00
varchar_10_select,3,1,173.00,517.00,517.00,0.00,0.00,5.99,0.00,0.00
varchar_10_select,4,1,171.98,517.95,517.95,0.00,0.00,5.99,0.00,0.00
varchar_10_select,5,1,172.01,515.03,515.03,0.00,0.00,6.09,0.00,0.00
