Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
char_length_10_insert,1,1,0.00,1041.98,0.00,1038.98,3.00,0.00,0.00,0.00
char_length_10_insert,2,1,0.00,1058.50,0.00,1058.50,0.00,0.00,0.00,0.00
char_length_10_insert,3,1,0.00,998.09,0.00,998.09,0.00,0.00,0.00,0.00
char_length_10_insert,4,1,1.00,943.92,0.00,941.92,2.00,3911.79,0.00,0.00
char_length_10_insert,5,1,0.00,1013.02,0.00,1013.02,0.00,0.00,0.00,0.00
char_length_10_insert,6,1,0.00,1001.08,0.00,1001.08,0.00,0.00,0.00,0.00
char_length_10_insert,7,1,0.00,996.98,0.00,996.98,0.00,0.00,0.00,0.00
char_length_10_insert,8,1,1.00,1004.94,0.00,1002.94,2.00,3982.86,0.00,0.00
char_length_10_insert,9,1,0.00,1038.00,0.00,1038.00,0.00,0.00,0.00,0.00
char_length_10_insert,10,1,0.00,1008.01,0.00,1008.01,0.00,0.00,0.00,0.00
char_length_10_insert,11,1,0.00,1006.00,0.00,1006.00,0.00,0.00,0.00,0.00
char_length_10_select,1,1,172.86,518.58,518.58,0.00,0.00,5.88,0.00,0.00
char_length_10_select,2,1,175.07,527.22,527.22,0.00,0.00,5.77,0.00,0.00
char_length_10_select,3,1,174.00,522.00,522.00,0.00,0.00,5.88,0.00,0.00
char_length_10_select,4,1,174.99,523.97,523.97,0.00,0.00,5.88,0.00,0.00
char_length_10_select,5,1,174.01,523.03,523.03,0.00,0.00,5.77,0.00,0.00
char_length_10_select,6,1,174.99,524.96,524.96,0.00,0.00,5.88,0.00,0.00
char_length_10_select,7,1,176.00,527.01,527.01,0.00,0.00,5.77,0.00,0.00
char_length_10_select,8,1,175.01,526.03,526.03,0.00,0.00,5.77,0.00,0.00
char_length_255_insert,1,1,0.00,956.08,0.00,953.08,3.00,0.00,0.00,0.00
char_length_255_insert,2,1,0.00,867.42,0.00,867.42,0.00,0.00,0.00,0.00
char_length_255_insert,3,1,0.00,927.96,0.00,927.96,0.00,0.00,0.00,0.00
char_length_255_insert,4,1,0.00,918.97,0.00,918.97,0.00,0.00,0.00,0.00
char_length_255_insert,5,1,1.00,847.03,0.00,845.03,2.00,4358.09,0.00,0.00
char_length_255_insert,6,1,0.00,899.03,0.00,899.03,0.00,0.00,0.00,0.00
char_length_255_insert,7,1,0.00,944.94,0.00,944.94,0.00,0.00,0.00,0.00
char_length_255_insert,8,1,0.00,928.04,0.00,928.04,0.00,0.00,0.00,0.00
char_length_255_select,1,1,164.88,496.65,496.65,0.00,0.00,6.09,0.00,0.00
char_length_255_select,2,1,168.03,502.08,502.08,0.00,0.00,6.09,0.00,0.00
char_length_255_select,3,1,167.01,502.03,502.03,0.00,0.00,6.09,0.00,0.00
char_length_255_select,4,1,167.01,500.02,500.02,0.00,0.00,6.21,0.00,0.00
char_length_255_select,5,1,165.00,495.00,495.00,0.00,0.00,6.43,0.00,0.00
char_length_255_select,6,1,165.00,497.00,497.00,0.00,0.00,6.09,0.00,0.00
char_length_255_select,7,1,168.00,502.00,502.00,0.00,0.00,6.09,0.00,0.00
char_length_255_select,8,1,167.00,502.99,502.99,0.00,0.00,6.09,0.00,0.00
int_length_10_insert,1,1,0.00,986.06,0.00,983.06,3.00,0.00,0.00,0.00
int_length_10_insert,2,1,0.00,1016.52,0.00,1016.52,0.00,0.00,0.00,0.00
int_length_10_insert,3,1,0.00,987.97,0.00,987.97,0.00,0.00,0.00,0.00
int_length_10_insert,4,1,0.00,949.96,0.00,949.96,0.00,0.00,0.00,0.00
int_length_10_insert,5,1,1.00,916.99,0.00,914.99,2.00,4055.23,0.00,0.00
int_length_10_insert,6,1,0.00,929.05,0.00,929.05,0.00,0.00,0.00,0.00
int_length_10_insert,7,1,0.00,972.97,0.00,972.97,0.00,0.00,0.00,0.00
int_length_10_insert,8,1,0.00,967.02,0.00,967.02,0.00,0.00,0.00,0.00
int_length_10_select,1,1,178.87,536.61,536.61,0.00,0.00,5.67,0.00,0.00
int_length_10_select,2,1,181.06,545.17,545.17,0.00,0.00,5.67,0.00,0.00
int_length_10_select,3,1,179.99,539.96,539.96,0.00,0.00,5.77,0.00,0.00
int_length_10_select,4,1,180.01,540.02,540.02,0.00,0.00,5.67,0.00,0.00
int_length_10_select,5,1,180.01,540.02,540.02,0.00,0.00,5.67,0.00,0.00
int_length_10_select,6,1,179.98,539.95,539.95,0.00,0.00,5.67,0.00,0.00
int_length_10_select,7,1,180.02,540.05,540.05,0.00,0.00,5.67,0.00,0.00
int_length_10_select,8,1,181.00,543.00,543.00,0.00,0.00,5.57,0.00,0.00
int_length_255_insert,1,1,0.00,1000.04,0.00,997.04,3.00,0.00,0.00,0.00
int_length_255_insert,2,1,0.00,977.43,0.00,977.43,0.00,0.00,0.00,0.00
int_length_255_insert,3,1,0.00,996.02,0.00,996.02,0.00,0.00,0.00,0.00
int_length_255_insert,4,1,0.00,999.05,0.00,999.05,0.00,0.00,0.00,0.00
int_length_255_insert,5,1,1.00,994.91,0.00,992.91,2.00,4055.23,0.00,0.00
int_length_255_insert,6,1,0.00,1000.08,0.00,1000.08,0.00,0.00,0.00,0.00
int_length_255_insert,7,1,0.00,1027.01,0.00,1027.01,0.00,0.00,0.00,0.00
int_length_255_insert,8,1,0.00,962.93,0.00,962.93,0.00,0.00,0.00,0.00
int_length_255_select,1,1,176.85,531.54,531.54,0.00,0.00,5.77,0.00,0.00
int_length_255_select,2,1,178.06,534.18,534.18,0.00,0.00,5.77,0.00,0.00
int_length_255_select,3,1,177.99,533.96,533.96,0.00,0.00,5.88,0.00,0.00
int_length_255_select,4,1,179.03,536.08,536.08,0.00,0.00,5.67,0.00,0.00
int_length_255_select,5,1,176.99,530.96,530.96,0.00,0.00,5.88,0.00,0.00
int_length_255_select,6,1,178.99,538.97,538.97,0.00,0.00,5.77,0.00,0.00
int_length_255_select,7,1,178.01,532.02,532.02,0.00,0.00,5.88,0.00,0.00
int_length_255_select,8,1,177.01,532.02,532.02,0.00,0.00,5.77,0.00,0.00
