Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
char_length_10_insert,0,12002,7,12009,3,12009,0,0,9.3851s,3,2943.04,3128.18,3493.50,3511.19,9384.53
char_length_10_select,4035,0,0,4035,1345,4035,0,0,8.0007s,1345,5.60,5.95,16.04,7.70,7997.92
char_length_255_insert,0,12002,7,12009,3,12009,0,0,9.4010s,3,3114.94,3133.46,3143.41,3151.62,9400.39
char_length_255_select,4011,0,0,4011,1337,4011,0,0,8.0021s,1337,5.82,5.98,13.82,6.09,7999.57
int_length_10_insert,0,12002,7,12009,3,12009,0,0,8.7527s,3,2885.71,2917.40,2934.84,2932.60,8752.20
int_length_10_select,4302,0,0,4302,1434,4302,0,0,8.0029s,1434,5.40,5.58,13.15,5.67,8000.33
int_length_255_insert,0,12002,7,12009,3,12009,0,0,9.5292s,3,3023.90,3176.17,3318.93,3326.55,9528.52
int_length_255_select,4269,0,0,4269,1423,4269,0,0,8.0036s,1423,5.49,5.62,14.05,5.77,8000.96
varchar_length_10_insert,0,12002,7,12009,3,12009,0,0,10.3111s,3,3394.95,3436.83,3468.53,3448.53,10310.50
varchar_length_10_select,4152,0,0,4152,1384,4152,0,0,8.0061s,1384,5.60,5.78,13.71,5.88,8003.53
varchar_length_255_insert,0,12002,7,12009,3,12009,0,0,9.9751s,3,3186.83,3324.83,3394.88,3386.99,9974.49
varchar_length_255_select,4116,0,0,4116,1372,4116,0,0,8.0040s,1372,5.65,5.83,13.79,5.99,8001.40
