Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
char_length_10,1.00,1.00,147.90,1186.95,443.69,740.27,3.00,9.73,0.00,0.00
char_length_10,2.00,1.00,157.03,1730.61,472.08,1258.53,0.00,9.73,0.00,0.00
char_length_10,3.00,1.00,175.00,1847.09,525.01,1322.08,0.00,5.88,0.00,0.00
char_length_10,4.00,1.00,168.00,1814.95,501.99,1310.96,2.00,3518.36,0.00,0.00
char_length_10,5.00,1.00,174.00,1913.04,522.00,1391.04,0.00,5.88,0.00,0.00
char_length_10,6.00,1.00,175.00,1904.02,523.00,1381.02,0.00,5.88,0.00,0.00
char_length_10,7.00,1.00,175.00,1833.98,524.00,1307.98,2.00,2938.48,0.00,0.00
char_length_255,1.00,1.00,165.87,1749.29,497.62,1248.67,3.00,6.09,0.00,0.00
char_length_255,2.00,1.00,167.04,1800.76,501.12,1299.64,0.00,6.09,0.00,0.00
char_length_255,3.00,1.00,168.00,1806.15,504.01,1302.14,0.00,6.09,0.00,0.00
char_length_255,4.00,1.00,168.01,1743.98,503.03,1238.95,2.00,3101.47,0.00,0.00
char_length_255,5.00,1.00,168.98,1789.96,504.95,1285.01,0.00,5.99,0.00,0.00
char_length_255,6.00,1.00,164.99,1790.98,496.98,1294.00,0.00,6.09,0.00,0.00
char_length_255,7.00,1.00,169.02,1723.06,502.07,1218.99,2.00,3157.71,0.00,0.00
char_length_255,8.00,1.00,165.98,1799.85,499.94,1299.91,0.00,6.21,0.00,0.00
int_length_10,1.00,1.00,176.88,1909.38,532.64,1373.74,3.00,5.67,0.00,0.00
int_length_10,2.00,1.00,181.03,1936.68,541.10,1395.58,0.00,5.67,0.00,0.00
int_length_10,3.00,1.00,180.00,1869.03,538.00,1329.03,2.00,2885.94,0.00,0.00
int_length_10,4.00,1.00,179.01,1928.99,538.03,1390.96,0.00,5.67,0.00,0.00
int_length_10,5.00,1.00,180.00,1932.03,538.99,1393.04,0.00,5.67,0.00,0.00
int_length_10,6.00,1.00,180.00,1851.97,538.01,1311.96,2.00,2938.27,0.00,0.00
int_length_10,7.00,1.00,178.99,1902.97,534.96,1368.01,0.00,5.77,0.00,0.00
int_length_10,8.00,1.00,179.00,1939.93,538.00,1401.93,0.00,5.67,0.00,0.00
int_length_255,1.00,1.00,173.88,1840.37,523.64,1313.74,3.00,5.77,0.00,0.00
int_length_255,2.00,1.00,178.02,1872.63,534.07,1338.56,0.00,5.77,0.00,0.00
int_length_255,3.00,1.00,179.02,1643.09,535.07,1108.02,0.00,5.77,0.00,0.00
int_length_255,4.00,1.00,177.99,1815.95,532.96,1280.99,2.00,3214.65,0.00,0.00
int_length_255,5.00,1.00,179.01,1872.08,535.04,1337.04,0.00,5.67,0.00,0.00
int_length_255,6.00,1.00,177.99,1886.06,533.96,1352.10,0.00,5.77,0.00,0.00
int_length_255,7.00,1.00,180.01,1753.95,537.02,1214.93,2.00,3045.91,0.00,0.00
int_length_255,8.00,1.00,178.00,1784.95,534.99,1249.96,0.00,5.77,0.00,0.00
varchar_length_10,1.00,1.00,170.87,1692.43,512.62,1176.82,3.00,5.88,0.00,0.00
varchar_length_10,2.00,1.00,173.05,1639.76,521.16,1118.60,0.00,5.88,0.00,0.00
varchar_length_10,3.00,1.00,172.00,1675.97,516.01,1159.96,0.00,5.99,0.00,0.00
varchar_length_10,4.00,1.00,175.00,1645.00,520.00,1123.00,2.00,3454.41,0.00,0.00
varchar_length_10,5.00,1.00,172.97,1696.95,519.92,1177.03,0.00,5.88,0.00,0.00
varchar_length_10,6.00,1.00,173.01,1677.02,518.03,1158.99,0.00,5.88,0.00,0.00
varchar_length_10,7.00,1.00,174.01,1668.05,520.02,1146.03,2.00,3454.41,0.00,0.00
varchar_length_10,8.00,1.00,174.01,1706.03,521.03,1185.00,0.00,5.99,0.00,0.00
varchar_length_255,1.00,1.00,167.85,1698.41,503.55,1191.86,3.00,6.32,0.00,0.00
varchar_length_255,2.00,1.00,171.06,1694.69,513.18,1181.51,0.00,5.99,0.00,0.00
varchar_length_255,3.00,1.00,170.00,1670.08,512.01,1158.07,0.00,5.99,0.00,0.00
varchar_length_255,4.00,1.00,172.99,1661.95,514.97,1144.98,2.00,3392.98,0.00,0.00
varchar_length_255,5.00,1.00,172.01,1704.05,517.02,1187.03,0.00,5.99,0.00,0.00
varchar_length_255,6.00,1.00,173.00,1718.00,517.01,1200.99,0.00,5.88,0.00,0.00
varchar_length_255,7.00,1.00,174.00,1655.04,519.01,1134.03,2.00,3392.87,0.00,0.00
varchar_length_255,8.00,1.00,171.98,1765.87,516.93,1248.94,0.00,5.88,0.00,0.00
