Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
char_length_10_insert,0,8001,5,8006,2,8006,0,0,9.7210s,2,4805.09,4860.20,4915.31,4943.53,9720.40
char_length_10_select,4152,0,0,4152,1384,4152,0,0,8.0054s,1384,5.59,5.78,13.63,5.99,8002.71
char_length_255_insert,0,8001,5,8006,2,8006,0,0,10.8049s,2,5314.35,5402.13,5489.91,5507.54,10804.26
char_length_255_select,3915,0,0,3915,1305,3915,0,0,8.0026s,1305,5.85,6.13,14.42,6.55,7999.23
int_length_10_insert,0,8001,5,8006,2,8006,0,0,8.2544s,2,3798.87,4126.92,4454.96,4437.27,8253.83
int_length_10_select,4293,0,0,4293,1431,4293,0,0,8.0016s,1431,5.40,5.59,13.47,5.88,7998.83
int_length_255_insert,0,12002,7,12009,3,12009,0,0,11.3862s,3,3557.07,3795.19,4083.68,4055.23,11385.56
int_length_255_select,4260,0,0,4260,1420,4260,0,0,8.0029s,1420,5.46,5.63,13.52,5.88,8000.10
varchar_length_10_insert,0,8001,5,8006,2,8006,0,0,9.0554s,2,4440.15,4527.43,4614.71,4599.99,9054.85
varchar_length_10_select,4104,0,0,4104,1368,4104,0,0,8.0053s,1368,5.62,5.85,13.61,6.09,8002.62
varchar_length_255_insert,0,8001,5,8006,2,8006,0,0,8.6973s,2,4203.03,4348.38,4493.74,4517.90,8696.77
varchar_length_255_select,4134,0,0,4134,1378,4134,0,0,8.0033s,1378,5.59,5.81,13.37,5.99,8000.65
