Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
char_length_10,1,1,170.87,1424.76,513.60,908.17,3.00,5.99,0.00,0.00,911.16
char_length_10,2,1,173.05,1303.50,520.15,783.35,0.00,5.88,0.00,0.00,783.35
char_length_10,3,1,172.00,1321.89,516.00,805.89,0.00,6.32,0.00,0.00,805.89
char_length_10,4,1,173.01,1394.20,519.04,875.16,0.00,6.09,0.00,0.00,875.16
char_length_10,5,1,173.00,1235.91,513.99,719.92,2.00,4774.76,0.00,0.00,721.92
char_length_10,6,1,172.00,1342.05,518.01,824.04,0.00,5.88,0.00,0.00,824.04
char_length_10,7,1,174.99,1357.00,524.97,832.03,0.00,5.77,0.00,0.00,832.03
char_length_10,8,1,175.01,1310.02,523.03,786.99,0.00,5.88,0.00,0.00,786.99
char_length_255,1,1,159.86,1132.98,480.57,649.41,3.00,6.79,0.00,0.00,652.41
char_length_255,2,1,162.02,1232.41,485.06,747.35,0.00,7.04,0.00,0.00,747.35
char_length_255,3,1,161.04,1211.08,485.12,725.96,0.00,6.79,0.00,0.00,725.96
char_length_255,4,1,166.01,1288.03,496.02,792.01,0.00,6.32,0.00,0.00,792.01
char_length_255,5,1,163.99,1230.01,493.98,736.03,0.00,6.32,0.00,0.00,736.03
char_length_255,6,1,165.02,1172.02,492.05,677.97,2.00,5514.09,0.00,0.00,679.97
char_length_255,7,1,163.99,1290.99,490.98,800.01,0.00,6.43,0.00,0.00,800.01
char_length_255,8,1,163.01,1276.03,490.02,786.01,0.00,6.43,0.00,0.00,786.01
int_length_10,1,1,176.85,1491.62,532.54,956.09,3.00,5.77,0.00,0.00,959.08
int_length_10,2,1,180.07,1455.66,539.22,916.44,0.00,5.88,0.00,0.00,916.44
int_length_10,3,1,179.01,1426.06,538.02,888.04,0.00,5.99,0.00,0.00,888.04
int_length_10,4,1,177.98,1431.92,533.95,897.97,0.00,5.88,0.00,0.00,897.97
int_length_10,5,1,180.02,1289.96,537.05,750.91,2.00,4443.04,0.00,0.00,752.91
int_length_10,6,1,180.99,1491.05,540.96,950.09,0.00,5.67,0.00,0.00,950.09
int_length_10,7,1,177.01,1750.00,532.03,1217.97,0.00,5.99,0.00,0.00,1217.97
int_length_10,8,1,179.00,1663.00,538.01,1124.99,0.00,5.77,0.00,0.00,1124.99
int_length_255,1,1,176.88,1441.81,532.63,906.18,3.00,5.67,0.00,0.00,909.18
int_length_255,2,1,179.04,1436.56,537.13,899.43,0.00,5.67,0.00,0.00,899.43
int_length_255,3,1,177.00,1468.98,530.00,938.98,0.00,6.21,0.00,0.00,938.98
int_length_255,4,1,177.99,1686.92,532.96,1153.96,0.00,5.99,0.00,0.00,1153.96
int_length_255,5,1,173.01,1672.98,516.02,1154.96,2.00,4061.78,0.00,0.00,1156.96
int_length_255,6,1,178.00,1703.02,535.00,1168.02,0.00,5.88,0.00,0.00,1168.02
int_length_255,7,1,179.00,1604.02,535.99,1068.03,0.00,5.77,0.00,0.00,1068.03
int_length_255,8,1,180.00,1606.97,537.99,1066.98,2.00,3580.76,0.00,0.00,1068.98
varchar_length_10,1,1,167.85,1571.59,503.54,1065.05,3.00,6.21,0.00,0.00,1068.05
varchar_length_10,2,1,172.08,1465.67,516.23,949.44,0.00,5.99,0.00,0.00,949.44
varchar_length_10,3,1,172.00,1317.99,516.99,801.00,0.00,5.88,0.00,0.00,801.00
varchar_length_10,4,1,173.01,1355.02,519.03,835.99,0.00,5.99,0.00,0.00,835.99
varchar_length_10,5,1,170.00,1345.95,507.99,835.96,2.00,4443.59,0.00,0.00,837.96
varchar_length_10,6,1,167.99,1201.00,501.97,699.03,0.00,6.67,0.00,0.00,699.03
varchar_length_10,7,1,173.00,1420.01,520.00,900.01,0.00,5.88,0.00,0.00,900.01
varchar_length_10,8,1,172.00,1400.00,515.00,885.00,0.00,5.99,0.00,0.00,885.00
varchar_length_255,1,1,171.88,1441.75,515.64,923.11,3.00,5.88,0.00,0.00,926.11
varchar_length_255,2,1,173.05,1548.69,519.14,1029.55,0.00,5.88,0.00,0.00,1029.55
varchar_length_255,3,1,172.98,1416.91,520.95,895.96,0.00,5.88,0.00,0.00,895.96
varchar_length_255,4,1,172.00,1460.95,515.01,945.94,0.00,6.09,0.00,0.00,945.94
varchar_length_255,5,1,173.01,1522.06,517.03,1003.03,2.00,4210.02,0.00,0.00,1005.03
varchar_length_255,6,1,171.99,1375.97,514.96,861.01,0.00,5.99,0.00,0.00,861.01
varchar_length_255,7,1,171.00,1245.97,512.00,733.97,0.00,6.21,0.00,0.00,733.97
varchar_length_255,8,1,172.00,1490.07,516.99,973.08,0.00,5.99,0.00,0.00,973.08
