Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
char_length_10_insert,0,12002,7,12009,3,12009,0,0,10.2568s,3,3390.30,3418.71,3447.37,3448.53,10256.14
char_length_10_select,3936,0,0,3936,1312,3936,0,0,8.0024s,1312,5.93,6.10,13.84,6.21,7999.93
char_length_255_insert,0,12002,7,12009,3,12009,0,0,11.0209s,3,3574.09,3673.42,3745.95,3773.42,11020.25
char_length_255_select,3762,0,0,3762,1254,3762,0,0,8.0042s,1254,6.15,6.38,14.17,6.43,8001.81
int_length_10_insert,0,12002,7,12009,3,12009,0,0,9.4562s,3,3114.84,3151.85,3174.40,3151.62,9455.55
int_length_10_select,3969,0,0,3969,1323,3969,0,0,8.0013s,1323,5.72,6.05,13.65,7.43,7998.77
int_length_255_insert,0,12002,7,12009,3,12009,0,0,9.7258s,3,3197.97,3241.71,3319.92,3326.55,9725.14
int_length_255_select,4044,0,0,4044,1348,4044,0,0,8.0024s,1348,5.77,5.93,13.70,5.99,7999.88
varchar_length_10_insert,0,12002,7,12009,3,12009,0,0,10.2027s,3,3310.83,3400.68,3562.27,3574.99,10202.05
varchar_length_10_select,3921,0,0,3921,1307,3921,0,0,8.0066s,1307,5.95,6.12,13.88,6.21,8004.10
varchar_length_255_insert,0,12002,7,12009,3,12009,0,0,10.0862s,3,3326.02,3361.83,3431.30,3448.53,10085.48
varchar_length_255_select,3819,0,0,3819,1273,3819,0,0,8.0016s,1273,5.98,6.28,23.44,7.17,7999.30
