Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
char_length_10_insert,1,1,0.00,1142.80,0.00,1139.80,3.00,0.00,0.00,0.00
char_length_10_insert,2,1,0.00,1178.61,0.00,1178.61,0.00,0.00,0.00,0.00
char_length_10_insert,3,1,0.00,1240.01,0.00,1240.01,0.00,0.00,0.00,0.00
char_length_10_insert,4,1,1.00,1040.97,0.00,1038.97,2.00,3386.99,0.00,0.00
char_length_10_insert,5,1,0.00,1202.00,0.00,1202.00,0.00,0.00,0.00,0.00
char_length_10_insert,6,1,0.00,1221.04,0.00,1221.04,0.00,0.00,0.00,0.00
char_length_10_insert,7,1,1.00,1126.12,0.00,1124.12,2.00,3448.53,0.00,0.00
char_length_10_insert,8,1,0.00,1118.86,0.00,1118.86,0.00,0.00,0.00,0.00
char_length_10_insert,9,1,0.00,1217.99,0.00,1217.99,0.00,0.00,0.00,0.00
char_length_10_insert,10,1,0.00,1209.01,0.00,1209.01,0.00,0.00,0.00,0.00
char_length_10_select,1,1,161.86,487.56,487.56,0.00,0.00,6.21,0.00,0.00
char_length_10_select,2,1,165.06,493.18,493.18,0.00,0.00,6.21,0.00,0.00
char_length_10_select,3,1,163.00,490.00,490.00,0.00,0.00,6.21,0.00,0.00
char_length_10_select,4,1,163.00,489.99,489.99,0.00,0.00,6.32,0.00,0.00
char_length_10_select,5,1,163.99,490.98,490.98,0.00,0.00,6.21,0.00,0.00
char_length_10_select,6,1,164.01,493.03,493.03,0.00,0.00,6.32,0.00,0.00
char_length_10_select,7,1,164.99,492.98,492.98,0.00,0.00,6.09,0.00,0.00
char_length_10_select,8,1,165.00,497.01,497.01,0.00,0.00,6.21,0.00,0.00
char_length_255_insert,1,1,0.00,1078.78,0.00,1075.78,3.00,0.00,0.00,0.00
char_length_255_insert,2,1,0.00,1113.80,0.00,1113.80,0.00,0.00,0.00,0.00
char_length_255_insert,3,1,0.00,1149.86,0.00,1149.86,0.00,0.00,0.00,0.00
char_length_255_insert,4,1,1.00,1050.01,0.00,1048.01,2.00,3574.99,0.00,0.00
char_length_255_insert,5,1,0.00,1133.11,0.00,1133.11,0.00,0.00,0.00,0.00
char_length_255_insert,6,1,0.00,1090.94,0.00,1090.94,0.00,0.00,0.00,0.00
char_length_255_insert,7,1,0.00,1033.94,0.00,1033.94,0.00,0.00,0.00,0.00
char_length_255_insert,8,1,1.00,1033.03,0.00,1031.03,2.00,3773.42,0.00,0.00
char_length_255_insert,9,1,0.00,1164.99,0.00,1164.99,0.00,0.00,0.00,0.00
char_length_255_insert,10,1,0.00,1158.03,0.00,1158.03,0.00,0.00,0.00,0.00
char_length_255_insert,11,1,0.00,979.02,0.00,979.02,0.00,0.00,0.00,0.00
char_length_255_select,1,1,151.87,455.61,455.61,0.00,0.00,8.90,0.00,0.00
char_length_255_select,2,1,157.05,473.16,473.16,0.00,0.00,6.43,0.00,0.00
char_length_255_select,3,1,157.00,469.01,469.01,0.00,0.00,6.55,0.00,0.00
char_length_255_select,4,1,156.00,469.99,469.99,0.00,0.00,6.43,0.00,0.00
char_length_255_select,5,1,156.99,468.98,468.98,0.00,0.00,6.55,0.00,0.00
char_length_255_select,6,1,157.01,473.02,473.02,0.00,0.00,6.43,0.00,0.00
char_length_255_select,7,1,159.00,475.00,475.00,0.00,0.00,6.43,0.00,0.00
char_length_255_select,8,1,158.01,475.02,475.02,0.00,0.00,6.43,0.00,0.00
int_length_10_insert,1,1,0.00,1278.48,0.00,1275.49,3.00,0.00,0.00,0.00
int_length_10_insert,2,1,0.00,1309.78,0.00,1309.78,0.00,0.00,0.00,0.00
int_length_10_insert,3,1,0.00,1260.04,0.00,1260.04,0.00,0.00,0.00,0.00
int_length_10_insert,4,1,1.00,1216.04,0.00,1214.04,2.00,3095.38,0.00,0.00
int_length_10_insert,5,1,0.00,1293.99,0.00,1293.99,0.00,0.00,0.00,0.00
int_length_10_insert,6,1,0.00,1287.00,0.00,1287.00,0.00,0.00,0.00,0.00
int_length_10_insert,7,1,1.00,1214.96,0.00,1212.96,2.00,3151.62,0.00,0.00
int_length_10_insert,8,1,0.00,1275.02,0.00,1275.02,0.00,0.00,0.00,0.00
int_length_10_insert,9,1,0.00,1276.05,0.00,1276.05,0.00,0.00,0.00,0.00
int_length_10_select,1,1,166.85,500.55,500.55,0.00,0.00,6.21,0.00,0.00
int_length_10_select,2,1,158.06,474.17,474.17,0.00,0.00,9.06,0.00,0.00
int_length_10_select,3,1,169.00,509.00,509.00,0.00,0.00,6.09,0.00,0.00
int_length_10_select,4,1,162.00,486.00,486.00,0.00,0.00,8.74,0.00,0.00
int_length_10_select,5,1,158.00,474.00,474.00,0.00,0.00,10.27,0.00,0.00
int_length_10_select,6,1,169.00,504.99,504.99,0.00,0.00,6.09,0.00,0.00
int_length_10_select,7,1,170.00,510.01,510.01,0.00,0.00,5.99,0.00,0.00
int_length_10_select,8,1,169.00,509.00,509.00,0.00,0.00,5.99,0.00,0.00
