Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
char_10,1,1,1661.70,5854.41,4697.30,962.26,194.85,12.59,0.00,0.00,1157.11
char_10,2,1,1684.50,5903.73,4771.44,944.24,188.05,13.45,0.00,0.00,1132.29
char_10,3,1,1665.02,5874.10,4703.05,975.04,196.01,13.02,0.00,0.00,1171.05
char_10,4,1,1676.87,5900.61,4742.62,965.99,192.00,13.02,0.00,0.00,1157.99
char_10,5,1,1713.10,5989.27,4853.29,945.98,190.00,14.39,0.00,0.00,1135.98
char_10,6,1,1672.88,5930.64,4714.64,1014.00,202.00,12.78,0.00,0.00,1216.00
char_10,7,1,1701.08,5983.21,4811.23,975.98,196.00,13.92,0.00,0.00,1171.98
char_255,1,1,978.31,3819.08,2926.94,883.14,8.99,315.53,0.00,0.00,892.14
char_255,2,1,993.24,3908.18,2967.72,932.46,8.00,315.53,0.00,0.00,940.46
char_255,3,1,932.92,3696.79,2789.76,901.03,6.00,310.14,0.00,0.00,907.03
char_255,4,1,1000.08,3959.19,2987.25,963.94,8.00,283.31,0.00,0.00,971.94
char_255,5,1,997.00,3991.03,2981.01,1002.02,8.00,263.72,0.00,0.00,1010.02
char_255,6,1,981.91,3901.71,2931.72,961.99,8.00,273.37,0.00,0.00,969.99
char_255,7,1,997.05,3965.19,2983.14,976.05,6.00,268.47,0.00,0.00,982.05
char_255,8,1,994.04,3950.09,2969.12,972.97,8.00,278.29,0.00,0.00,980.97
int_10,1,1,1674.77,5947.55,4720.54,1020.18,206.83,12.78,0.00,0.00,1227.01
int_10,2,1,1690.41,5964.47,4773.15,993.27,198.05,13.22,0.00,0.00,1191.32
int_10,3,1,1697.92,5996.75,4793.75,1003.00,200.00,12.35,0.00,0.00,1203.00
int_10,4,1,1709.92,6023.80,4828.77,995.02,200.00,12.78,0.00,0.00,1195.03
int_10,5,1,1677.14,5795.43,4778.41,848.01,169.00,15.43,0.00,0.00,1017.02
int_10,6,1,1676.93,5825.83,4764.79,884.03,177.01,15.99,0.00,0.00,1061.04
int_10,7,1,1677.01,5844.02,4763.04,900.99,180.00,15.97,0.00,0.00,1080.98
int_10,8,1,1704.99,6049.92,4800.97,1040.96,207.99,14.40,0.00,0.00,1248.95
int_255,1,1,1016.29,4079.81,3037.86,1030.96,10.99,263.70,0.00,0.00,1041.95
int_255,2,1,1033.19,4058.10,3091.58,960.52,6.00,254.36,0.00,0.00,966.52
int_255,3,1,1007.98,4015.85,3009.93,997.92,8.00,327.04,0.00,0.00,1005.92
int_255,4,1,1017.07,4012.27,3039.22,965.05,8.00,298.98,0.00,0.00,973.05
int_255,5,1,1028.99,4095.94,3075.96,1011.98,8.00,268.45,0.00,0.00,1019.98
int_255,6,1,1043.01,4077.07,3116.02,953.05,8.00,304.34,0.00,0.00,961.05
int_255,7,1,1045.05,4095.15,3124.14,964.01,7.00,278.22,0.00,0.00,971.01
