Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
char_10_insert,1,1,62.95,764.35,0.00,635.46,128.89,20.74,0.00,0.00
char_10_insert,2,1,72.02,857.29,0.00,714.24,143.05,17.95,0.00,0.00
char_10_insert,3,1,77.00,929.03,0.00,774.03,155.01,16.41,0.00,0.00
char_10_insert,4,1,79.00,948.02,0.00,790.02,158.00,16.12,0.00,0.00
char_10_insert,5,1,77.00,926.97,0.00,772.97,153.99,16.41,0.00,0.00
char_10_insert,6,1,76.00,908.99,0.00,756.99,152.00,17.32,0.00,0.00
char_10_insert,7,1,73.00,869.00,0.00,725.00,144.00,17.32,0.00,0.00
char_10_insert,8,1,69.00,831.97,0.00,691.97,139.99,20.00,0.00,0.00
char_10_select,1,1,1545.91,4638.74,4638.74,0.00,0.00,0.74,0.00,0.00
char_10_select,2,1,1553.33,4659.98,4659.98,0.00,0.00,0.74,0.00,0.00
char_10_select,3,1,1580.05,4739.14,4739.14,0.00,0.00,0.70,0.00,0.00
char_10_select,4,1,1587.84,4765.52,4765.52,0.00,0.00,0.69,0.00,0.00
char_10_select,5,1,1600.03,4798.08,4798.08,0.00,0.00,0.67,0.00,0.00
char_10_select,6,1,1588.11,4766.33,4766.33,0.00,0.00,0.72,0.00,0.00
char_10_select,7,1,1606.02,4816.07,4816.07,0.00,0.00,0.69,0.00,0.00
char_10_select,8,1,1583.98,4752.95,4752.95,0.00,0.00,0.70,0.00,0.00
char_255_insert,1,1,2.00,634.41,0.00,627.42,6.99,404.61,0.00,0.00
char_255_insert,2,1,3.00,693.33,0.00,687.33,6.00,404.61,0.00,0.00
char_255_insert,3,1,2.00,713.98,0.00,709.98,4.00,369.77,0.00,0.00
char_255_insert,4,1,3.00,703.98,0.00,697.98,6.00,376.49,0.00,0.00
char_255_insert,5,1,3.00,701.03,0.00,695.03,6.00,397.39,0.00,0.00
char_255_insert,6,1,3.00,696.02,0.00,690.02,6.00,397.39,0.00,0.00
char_255_insert,7,1,2.00,642.99,0.00,638.99,4.00,411.96,0.00,0.00
char_255_insert,8,1,3.00,694.00,0.00,688.00,6.00,397.39,0.00,0.00
char_255_select,1,1,983.31,2949.94,2949.94,0.00,0.00,1.08,0.00,0.00
char_255_select,2,1,997.30,2993.89,2993.89,0.00,0.00,1.08,0.00,0.00
char_255_select,3,1,987.95,2963.84,2963.84,0.00,0.00,1.08,0.00,0.00
char_255_select,4,1,977.01,2929.02,2929.02,0.00,0.00,1.10,0.00,0.00
char_255_select,5,1,986.01,2958.03,2958.03,0.00,0.00,1.10,0.00,0.00
char_255_select,6,1,976.91,2932.73,2932.73,0.00,0.00,1.08,0.00,0.00
char_255_select,7,1,1008.07,3022.22,3022.22,0.00,0.00,1.06,0.00,0.00
char_255_select,8,1,996.92,2990.77,2990.77,0.00,0.00,1.08,0.00,0.00
int_10_insert,1,1,72.94,886.29,0.00,737.41,148.88,17.95,0.00,0.00
int_10_insert,2,1,67.02,801.29,0.00,667.24,134.05,18.95,0.00,0.00
int_10_insert,3,1,78.99,945.91,0.00,787.93,157.99,17.63,0.00,0.00
int_10_insert,4,1,80.01,958.09,0.00,798.08,160.02,16.41,0.00,0.00
int_10_insert,5,1,71.99,870.92,0.00,726.94,143.99,16.41,0.00,0.00
int_10_insert,6,1,82.01,984.07,0.00,820.06,164.01,15.83,0.00,0.00
int_10_insert,7,1,77.00,921.97,0.00,767.97,153.99,17.95,0.00,0.00
int_10_insert,8,1,75.00,896.01,0.00,746.00,150.00,16.12,0.00,0.00
int_10_select,1,1,1576.88,4732.64,4732.64,0.00,0.00,0.70,0.00,0.00
int_10_select,2,1,1610.24,4829.72,4829.72,0.00,0.00,0.69,0.00,0.00
int_10_select,3,1,1591.15,4774.46,4774.46,0.00,0.00,0.70,0.00,0.00
int_10_select,4,1,1589.98,4769.94,4769.94,0.00,0.00,0.69,0.00,0.00
int_10_select,5,1,1572.01,4715.04,4715.04,0.00,0.00,0.72,0.00,0.00
int_10_select,6,1,1590.00,4771.01,4771.01,0.00,0.00,0.70,0.00,0.00
int_10_select,7,1,1572.00,4715.00,4715.00,0.00,0.00,0.72,0.00,0.00
int_255_insert,1,1,3.00,799.30,0.00,790.31,8.99,331.91,0.00,0.00
int_255_insert,2,1,3.00,764.26,0.00,758.26,6.00,344.08,0.00,0.00
int_255_insert,3,1,3.00,786.02,0.00,780.02,6.00,344.08,0.00,0.00
int_255_insert,4,1,3.00,818.06,0.00,812.06,6.00,331.91,0.00,0.00
int_255_insert,5,1,3.00,789.96,0.00,783.96,6.00,337.94,0.00,0.00
int_255_insert,6,1,3.00,762.03,0.00,756.03,6.00,344.08,0.00,0.00
int_255_insert,7,1,3.00,816.01,0.00,810.01,6.00,369.77,0.00,0.00
int_255_insert,8,1,4.00,1001.99,0.00,993.99,8.00,253.35,0.00,0.00
