Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
char_10,1,1,1599.83,5494.95,4572.67,767.40,154.88,17.13,0.00,0.00,922.28
char_10,2,1,1660.35,5670.27,4750.00,766.23,154.05,17.11,0.00,0.00,920.27
char_10,3,1,1657.07,5624.24,4756.18,724.05,144.01,17.43,0.00,0.00,868.06
char_10,4,1,1643.99,5613.97,4701.97,760.00,152.00,15.99,0.00,0.00,912.00
char_10,5,1,1650.01,5583.03,4737.03,704.00,142.00,17.71,0.00,0.00,846.00
char_10,6,1,1609.86,5452.54,4623.59,690.96,137.99,19.01,0.00,0.00,828.95
char_10,7,1,1627.12,5559.37,4655.37,754.00,150.00,18.36,0.00,0.00,904.00
char_10,8,1,1605.98,5484.95,4596.94,740.01,148.00,17.74,0.00,0.00,888.01
char_255,1,1,973.33,3658.29,2915.00,736.30,6.99,364.28,0.00,0.00,743.29
char_255,2,1,977.26,3706.13,2923.77,776.36,6.00,364.28,0.00,0.00,782.36
char_255,3,1,973.98,3631.96,2912.94,713.02,6.00,364.28,0.00,0.00,719.02
char_255,4,1,966.01,3543.02,2889.04,647.98,6.00,398.49,0.00,0.00,653.98
char_255,5,1,969.91,3648.74,2900.74,742.00,6.00,357.80,0.00,0.00,748.00
char_255,6,1,981.09,3637.29,2936.27,697.02,4.00,377.59,0.00,0.00,701.02
char_255,7,1,985.98,3630.93,2948.95,675.98,6.00,377.57,0.00,0.00,681.98
char_255,8,1,985.03,3712.10,2947.09,759.01,6.00,377.59,0.00,0.00,765.01
int_10,1,1,1617.80,5528.90,4632.59,745.42,150.88,17.44,0.00,0.00,896.31
int_10,2,1,1657.48,5622.66,4752.38,724.23,146.05,17.41,0.00,0.00,870.28
int_10,3,1,1652.01,5602.07,4743.04,717.03,142.01,18.02,0.00,0.00,859.03
int_10,4,1,1656.98,5632.91,4750.94,733.97,147.99,18.33,0.00,0.00,881.97
int_10,5,1,1637.98,5569.98,4692.94,731.04,146.01,18.04,0.00,0.00,877.04
int_10,6,1,1647.02,5577.06,4731.06,706.00,140.00,21.09,0.00,0.00,846.00
int_10,7,1,1654.92,5658.75,4735.77,768.98,154.00,18.35,0.00,0.00,922.98
int_10,8,1,1657.07,5681.17,4730.22,791.96,158.99,17.11,0.00,0.00,950.95
int_255,1,1,1014.18,3814.90,3033.55,772.36,8.99,351.39,0.00,0.00,781.35
int_255,2,1,1025.33,3879.28,3068.00,805.27,6.00,315.49,0.00,0.00,811.28
int_255,3,1,1004.05,3768.19,3004.16,758.03,6.00,364.24,0.00,0.00,764.03
int_255,4,1,1014.99,3749.97,3038.96,707.01,4.00,384.39,0.00,0.00,711.01
int_255,5,1,1012.00,3811.98,3022.99,781.99,7.00,351.39,0.00,0.00,788.99
int_255,6,1,1022.01,3853.06,3058.04,788.02,7.00,332.97,0.00,0.00,795.02
int_255,7,1,992.99,3786.95,2968.98,811.97,6.00,351.43,0.00,0.00,817.97
int_255,8,1,1004.94,3861.80,3006.81,848.99,6.00,309.92,0.00,0.00,854.99
