Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,1,1,1287.12,2586.86,1287.12,1296.74,3.00,1.12,0.00,0.00,1299.74
combined_match_with_range,2,1,1354.25,2743.95,1354.25,1389.70,0.00,1.12,0.00,0.00,1389.70
combined_match_with_range,3,1,1386.06,2755.03,1385.06,1367.97,2.00,2199.49,0.00,0.00,1369.97
combined_match_with_range,4,1,1325.72,2624.78,1325.72,1299.06,0.00,1.08,0.00,0.00,1299.06
combined_match_with_range,5,1,1391.26,2713.20,1390.26,1320.94,2.00,2279.98,0.00,0.00,1322.94
combined_match_with_range,6,1,1405.77,2853.83,1405.77,1448.06,0.00,0.89,0.00,0.00,1448.06
combined_match_with_range,7,1,997.20,2395.21,996.20,1397.01,2.00,2122.34,0.00,0.00,1399.01
combined_match_with_range,8,1,1214.98,2607.90,1214.98,1392.92,0.00,1.04,0.00,0.00,1392.92
full_match,1,1,4502.31,5802.05,4502.31,1296.74,3.00,0.25,0.00,0.00,1299.74
full_match,2,1,4567.56,5957.26,4567.56,1389.70,0.00,0.24,0.00,0.00,1389.70
full_match,3,1,4557.78,5926.75,4556.78,1367.97,2.00,2198.76,0.00,0.00,1369.97
full_match,4,1,4552.20,5851.26,4552.20,1299.06,0.00,0.24,0.00,0.00,1299.06
full_match,5,1,4449.57,5771.51,4448.57,1320.94,2.00,2279.39,0.00,0.00,1322.94
full_match,6,1,4542.22,5990.28,4542.22,1448.06,0.00,0.24,0.00,0.00,1448.06
full_match,7,1,4584.89,5982.90,4583.89,1397.01,2.00,2121.00,0.00,0.00,1399.01
full_match,8,1,4576.99,5969.91,4576.99,1392.92,0.00,0.24,0.00,0.00,1392.92
leftmost_prefix,1,1,1182.22,2481.96,1182.22,1296.74,3.00,1.55,0.00,0.00,1299.74
leftmost_prefix,2,1,1250.08,2639.78,1250.08,1389.70,0.00,1.06,0.00,0.00,1389.70
leftmost_prefix,3,1,1245.19,2614.16,1244.19,1367.97,2.00,2199.62,0.00,0.00,1369.97
leftmost_prefix,4,1,1334.00,2633.06,1334.00,1299.06,0.00,0.84,0.00,0.00,1299.06
leftmost_prefix,5,1,1237.98,2559.92,1236.98,1320.94,2.00,2280.30,0.00,0.00,1322.94
leftmost_prefix,6,1,1204.05,2652.11,1204.05,1448.06,0.00,1.21,0.00,0.00,1448.06
leftmost_prefix,7,1,1299.80,2697.81,1298.80,1397.01,2.00,2121.66,0.00,0.00,1399.01
partial_match_range_query,1,1,1261.15,2560.89,1261.15,1296.74,3.00,1.06,0.00,0.00,1299.74
partial_match_range_query,2,1,1316.27,2705.97,1316.27,1389.70,0.00,0.86,0.00,0.00,1389.70
partial_match_range_query,3,1,1141.00,2509.97,1140.00,1367.97,2.00,2200.04,0.00,0.00,1369.97
partial_match_range_query,4,1,1299.95,2599.01,1299.95,1299.06,0.00,1.08,0.00,0.00,1299.06
partial_match_range_query,5,1,1266.03,2587.97,1265.03,1320.94,2.00,2280.30,0.00,0.00,1322.94
partial_match_range_query,6,1,1299.82,2747.88,1299.82,1448.06,0.00,1.12,0.00,0.00,1448.06
partial_match_range_query,7,1,1298.22,2696.23,1297.22,1397.01,2.00,2121.77,0.00,0.00,1399.01
partial_match_range_query,8,1,1318.99,2711.91,1318.99,1392.92,0.00,0.90,0.00,0.00,1392.92
