Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,1299.74,0.00,1296.74,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,1389.70,0.00,1389.70,0.00,0.00,0.00,0.00
query_differences_insert,3,1,1.00,1369.97,0.00,1367.97,2.00,2198.52,0.00,0.00
query_differences_insert,4,1,0.00,1299.06,0.00,1299.06,0.00,0.00,0.00,0.00
query_differences_insert,5,1,1.00,1322.94,0.00,1320.94,2.00,2279.14,0.00,0.00
query_differences_insert,6,1,0.00,1448.06,0.00,1448.06,0.00,0.00,0.00,0.00
query_differences_insert,7,1,1.00,1399.01,0.00,1397.01,2.00,2120.76,0.00,0.00
query_differences_insert,8,1,0.00,1392.92,0.00,1392.92,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,1,1,1287.12,1287.12,1287.12,0.00,0.00,1.12,0.00,0.00
query_differences_select_combined_match_with_range,2,1,1354.25,1354.25,1354.25,0.00,0.00,1.12,0.00,0.00
query_differences_select_combined_match_with_range,3,1,1385.06,1385.06,1385.06,0.00,0.00,0.97,0.00,0.00
query_differences_select_combined_match_with_range,4,1,1325.72,1325.72,1325.72,0.00,0.00,1.08,0.00,0.00
query_differences_select_combined_match_with_range,5,1,1390.26,1390.26,1390.26,0.00,0.00,0.84,0.00,0.00
query_differences_select_combined_match_with_range,6,1,1405.77,1405.77,1405.77,0.00,0.00,0.89,0.00,0.00
query_differences_select_combined_match_with_range,7,1,996.20,996.20,996.20,0.00,0.00,1.58,0.00,0.00
query_differences_select_combined_match_with_range,8,1,1214.98,1214.98,1214.98,0.00,0.00,1.04,0.00,0.00
query_differences_select_full_match,1,1,4502.31,4502.31,4502.31,0.00,0.00,0.25,0.00,0.00
query_differences_select_full_match,2,1,4567.56,4567.56,4567.56,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,3,1,4556.78,4556.78,4556.78,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,4,1,4552.20,4552.20,4552.20,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,5,1,4448.57,4448.57,4448.57,0.00,0.00,0.25,0.00,0.00
query_differences_select_full_match,6,1,4542.22,4542.22,4542.22,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,7,1,4583.89,4583.89,4583.89,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,8,1,4576.99,4576.99,4576.99,0.00,0.00,0.24,0.00,0.00
query_differences_select_leftmost_prefix,1,1,1182.22,1182.22,1182.22,0.00,0.00,1.55,0.00,0.00
query_differences_select_leftmost_prefix,2,1,1250.08,1250.08,1250.08,0.00,0.00,1.06,0.00,0.00
query_differences_select_leftmost_prefix,3,1,1244.19,1244.19,1244.19,0.00,0.00,1.10,0.00,0.00
query_differences_select_leftmost_prefix,4,1,1334.00,1334.00,1334.00,0.00,0.00,0.84,0.00,0.00
query_differences_select_leftmost_prefix,5,1,1236.98,1236.98,1236.98,0.00,0.00,1.16,0.00,0.00
query_differences_select_leftmost_prefix,6,1,1204.05,1204.05,1204.05,0.00,0.00,1.21,0.00,0.00
query_differences_select_leftmost_prefix,7,1,1298.80,1298.80,1298.80,0.00,0.00,0.90,0.00,0.00
query_differences_select_partial_match_range_query,1,1,1261.15,1261.15,1261.15,0.00,0.00,1.06,0.00,0.00
query_differences_select_partial_match_range_query,2,1,1316.27,1316.27,1316.27,0.00,0.00,0.86,0.00,0.00
query_differences_select_partial_match_range_query,3,1,1140.00,1140.00,1140.00,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,4,1,1299.95,1299.95,1299.95,0.00,0.00,1.08,0.00,0.00
query_differences_select_partial_match_range_query,5,1,1265.03,1265.03,1265.03,0.00,0.00,1.16,0.00,0.00
query_differences_select_partial_match_range_query,6,1,1299.82,1299.82,1299.82,0.00,0.00,1.12,0.00,0.00
query_differences_select_partial_match_range_query,7,1,1297.22,1297.22,1297.22,0.00,0.00,1.01,0.00,0.00
query_differences_select_partial_match_range_query,8,1,1318.99,1318.99,1318.99,0.00,0.00,0.90,0.00,0.00
