Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,5532.34,0.00,1381.71,4150.63,0.00,0.00,0.00
query_differences_insert,4,4,2.00,5406.12,0.00,1350.40,4055.72,2159.29,0.00,0.00
query_differences_insert,6,4,2.00,5588.24,0.00,1396.06,4192.18,2238.47,0.00,0.00
query_differences_insert,8,4,2.00,5628.21,0.00,1406.43,4221.79,2120.76,0.00,0.00
query_differences_insert,10,4,2.00,5811.62,0.00,1451.53,4360.09,2120.76,0.00,0.00
query_differences_insert,12,4,2.00,5443.67,0.00,1359.92,4083.75,2120.76,0.00,0.00
query_differences_insert,14,4,2.00,5566.38,0.00,1390.59,4175.78,2198.52,0.00,0.00
query_differences_insert,16,4,2.00,5611.99,0.00,1402.00,4209.99,2159.29,0.00,0.00
query_differences_insert,18,4,2.00,5707.95,0.00,1425.99,4281.96,2120.76,0.00,0.00
query_differences_select_combined_match_with_range,2,4,3277.43,3277.43,3277.43,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,4,4,3318.51,3318.51,3318.51,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,6,4,3332.50,3332.50,3332.50,0.00,0.00,1.47,0.00,0.00
query_differences_select_combined_match_with_range,8,4,3307.49,3307.49,3307.49,0.00,0.00,1.47,0.00,0.00
query_differences_select_combined_match_with_range,10,4,3341.96,3341.96,3341.96,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,12,4,3280.97,3280.97,3280.97,0.00,0.00,1.64,0.00,0.00
query_differences_select_combined_match_with_range,14,4,3082.54,3082.54,3082.54,0.00,0.00,2.00,0.00,0.00
query_differences_select_combined_match_with_range,16,4,3326.00,3326.00,3326.00,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,18,4,3325.66,3325.66,3325.66,0.00,0.00,1.50,0.00,0.00
query_differences_select_full_match,2,4,11497.91,11497.91,11497.91,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,4,4,11706.44,11706.44,11706.44,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,6,4,11789.60,11789.60,11789.60,0.00,0.00,0.47,0.00,0.00
query_differences_select_full_match,8,4,11641.78,11641.78,11641.78,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,10,4,11737.19,11737.19,11737.19,0.00,0.00,0.47,0.00,0.00
query_differences_select_full_match,12,4,11698.02,11698.02,11698.02,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,14,4,11610.97,11610.97,11610.97,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,16,4,11580.03,11580.03,11580.03,0.00,0.00,0.50,0.00,0.00
query_differences_select_full_match,18,4,11712.45,11712.45,11712.45,0.00,0.00,0.48,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2835.68,2835.68,2835.68,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2869.84,2869.84,2869.84,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2848.03,2848.03,2848.03,0.00,0.00,1.86,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2765.57,2765.57,2765.57,0.00,0.00,2.00,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2842.91,2842.91,2842.91,0.00,0.00,1.89,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2875.01,2875.01,2875.01,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2870.57,2870.57,2870.57,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2854.43,2854.43,2854.43,0.00,0.00,1.86,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2897.07,2897.07,2897.07,0.00,0.00,1.79,0.00,0.00
query_differences_select_partial_match_range_query,2,4,3031.53,3031.53,3031.53,0.00,0.00,1.82,0.00,0.00
query_differences_select_partial_match_range_query,4,4,3188.51,3188.51,3188.51,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,6,4,3144.56,3144.56,3144.56,0.00,0.00,1.58,0.00,0.00
query_differences_select_partial_match_range_query,8,4,3199.66,3199.66,3199.66,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,10,4,3179.73,3179.73,3179.73,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,12,4,3161.59,3161.59,3161.59,0.00,0.00,1.55,0.00,0.00
query_differences_select_partial_match_range_query,14,4,3192.51,3192.51,3192.51,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,16,4,3196.42,3196.42,3196.42,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,18,4,3193.19,3193.19,3193.19,0.00,0.00,1.52,0.00,0.00
