Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,2.00,6158.20,0.00,1540.67,4617.53,1938.16,0.00,0.00
query_differences_insert,4,4,2.00,6179.12,0.00,1543.91,4635.22,1938.16,0.00,0.00
query_differences_insert,6,4,2.00,6256.51,0.00,1563.00,4693.51,1938.16,0.00,0.00
query_differences_insert,8,4,2.00,6348.47,0.00,1585.99,4762.48,1903.57,0.00,0.00
query_differences_insert,10,4,2.00,6301.53,0.00,1574.51,4727.03,1903.57,0.00,0.00
query_differences_insert,12,4,2.00,6296.61,0.00,1573.03,4723.58,1903.57,0.00,0.00
query_differences_insert,14,4,2.00,6231.81,0.00,1556.95,4674.86,1938.16,0.00,0.00
query_differences_insert,16,4,2.00,6206.02,0.00,1550.51,4655.52,1938.16,0.00,0.00
query_differences_insert,18,4,2.00,6200.28,0.00,1549.07,4651.21,1938.16,0.00,0.00
query_differences_select_combined_match_with_range,2,4,3303.39,3303.39,3303.39,0.00,0.00,1.55,0.00,0.00
query_differences_select_combined_match_with_range,4,4,3367.02,3367.02,3367.02,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,6,4,3385.94,3385.94,3385.94,0.00,0.00,1.42,0.00,0.00
query_differences_select_combined_match_with_range,8,4,3384.50,3384.50,3384.50,0.00,0.00,1.42,0.00,0.00
query_differences_select_combined_match_with_range,10,4,3384.03,3384.03,3384.03,0.00,0.00,1.42,0.00,0.00
query_differences_select_combined_match_with_range,12,4,3394.95,3394.95,3394.95,0.00,0.00,1.42,0.00,0.00
query_differences_select_combined_match_with_range,14,4,3377.09,3377.09,3377.09,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,16,4,3377.42,3377.42,3377.42,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,18,4,3385.12,3385.12,3385.12,0.00,0.00,1.44,0.00,0.00
query_differences_select_full_match,2,4,11584.27,11584.27,11584.27,0.00,0.00,0.50,0.00,0.00
query_differences_select_full_match,4,4,11704.47,11704.47,11704.47,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,6,4,11769.99,11769.99,11769.99,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,8,4,11742.55,11742.55,11742.55,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,10,4,11789.50,11789.50,11789.50,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,12,4,11715.98,11715.98,11715.98,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,14,4,11641.95,11641.95,11641.95,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,16,4,11694.14,11694.14,11694.14,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,18,4,11925.04,11925.04,11925.04,0.00,0.00,0.47,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2836.20,2836.20,2836.20,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2820.35,2820.35,2820.35,0.00,0.00,1.96,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2782.55,2782.55,2782.55,0.00,0.00,2.03,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2886.94,2886.94,2886.94,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2874.06,2874.06,2874.06,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2889.99,2889.99,2889.99,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2889.49,2889.49,2889.49,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2883.03,2883.03,2883.03,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2886.57,2886.57,2886.57,0.00,0.00,1.79,0.00,0.00
query_differences_select_partial_match_range_query,2,4,3141.98,3141.98,3141.98,0.00,0.00,1.55,0.00,0.00
query_differences_select_partial_match_range_query,4,4,3178.54,3178.54,3178.54,0.00,0.00,1.58,0.00,0.00
query_differences_select_partial_match_range_query,6,4,3169.00,3169.50,3169.50,0.00,0.00,1.61,0.00,0.00
query_differences_select_partial_match_range_query,8,4,3158.96,3158.46,3158.46,0.00,0.00,1.64,0.00,0.00
query_differences_select_partial_match_range_query,10,4,3181.99,3181.99,3181.99,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,12,4,3195.52,3195.52,3195.52,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,14,4,3188.45,3188.45,3188.45,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,16,4,3197.49,3197.49,3197.49,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,18,4,3197.60,3197.60,3197.60,0.00,0.00,1.55,0.00,0.00
