Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,2,4,3238.38,9218.01,3238.38,1494.66,4484.97,1.58,0.00,0.00,5979.63
combined_match_with_range,4,4,3317.51,9200.31,3315.51,1469.95,4414.85,2010.70,0.00,0.00,5884.80
combined_match_with_range,6,4,3306.51,9278.44,3304.51,1492.48,4481.45,2047.24,0.00,0.00,5973.93
combined_match_with_range,8,4,3323.98,9347.91,3321.98,1505.48,4520.45,2010.67,0.00,0.00,6025.93
combined_match_with_range,10,4,3314.53,9154.52,3312.53,1459.50,4382.49,2010.70,0.00,0.00,5841.99
combined_match_with_range,12,4,3312.96,9230.94,3310.96,1479.00,4440.99,2047.18,0.00,0.00,5919.98
combined_match_with_range,14,4,3311.02,9159.11,3309.02,1461.52,4388.57,2047.24,0.00,0.00,5850.09
combined_match_with_range,16,4,3316.49,9330.45,3314.49,1502.99,4512.97,2047.21,0.00,0.00,6015.96
combined_match_with_range,18,4,3306.57,9272.57,3304.57,1491.00,4477.00,2010.70,0.00,0.00,5968.00
full_match,2,4,11642.68,17622.31,11642.68,1494.66,4484.97,0.48,0.00,0.00,5979.63
full_match,4,4,11805.68,17688.48,11803.68,1469.95,4414.85,2009.70,0.00,0.00,5884.80
full_match,6,4,11707.30,17679.23,11705.30,1492.48,4481.45,2046.23,0.00,0.00,5973.93
full_match,8,4,11671.02,17694.95,11669.02,1505.48,4520.45,2009.72,0.00,0.00,6025.93
full_match,10,4,11688.04,17528.03,11686.04,1459.50,4382.49,2009.72,0.00,0.00,5841.99
full_match,12,4,11773.73,17691.71,11771.73,1479.00,4440.99,2046.22,0.00,0.00,5919.98
full_match,14,4,11649.74,17497.83,11647.74,1461.52,4388.57,2046.22,0.00,0.00,5850.09
full_match,16,4,11855.56,17869.52,11853.56,1502.99,4512.97,2046.22,0.00,0.00,6015.96
full_match,18,4,11728.74,17694.74,11726.74,1491.00,4477.00,2009.71,0.00,0.00,5968.00
leftmost_prefix,2,4,2828.22,8807.85,2828.22,1494.66,4484.97,1.82,0.00,0.00,5979.63
leftmost_prefix,4,4,2853.53,8736.33,2851.53,1469.95,4414.85,2011.02,0.00,0.00,5884.80
leftmost_prefix,6,4,2846.91,8818.84,2844.91,1492.48,4481.45,2047.56,0.00,0.00,5973.93
leftmost_prefix,8,4,2847.97,8871.90,2845.97,1505.48,4520.45,2011.05,0.00,0.00,6025.93
leftmost_prefix,10,4,2852.03,8692.02,2850.03,1459.50,4382.49,2011.05,0.00,0.00,5841.99
leftmost_prefix,12,4,2849.49,8767.47,2847.49,1479.00,4440.99,2047.53,0.00,0.00,5919.98
leftmost_prefix,14,4,2854.52,8702.61,2852.52,1461.52,4388.57,2047.53,0.00,0.00,5850.09
leftmost_prefix,16,4,2856.44,8870.40,2854.44,1502.99,4512.97,2047.56,0.00,0.00,6015.96
leftmost_prefix,18,4,2849.50,8815.50,2847.50,1491.00,4477.00,2011.09,0.00,0.00,5968.00
partial_match_range_query,2,4,3080.95,9060.58,3080.95,1494.66,4484.97,1.64,0.00,0.00,5979.63
partial_match_range_query,4,4,3181.03,9063.83,3179.03,1469.95,4414.85,2010.73,0.00,0.00,5884.80
partial_match_range_query,6,4,3146.97,9118.90,3144.97,1492.48,4481.45,2047.29,0.00,0.00,5973.93
partial_match_range_query,8,4,3170.48,9194.41,3168.48,1505.48,4520.45,2010.75,0.00,0.00,6025.93
partial_match_range_query,10,4,3175.52,9015.51,3173.52,1459.50,4382.49,2010.73,0.00,0.00,5841.99
partial_match_range_query,12,4,3161.53,9079.51,3159.53,1479.00,4440.99,2047.26,0.00,0.00,5919.98
partial_match_range_query,14,4,3171.93,9020.02,3169.93,1461.52,4388.57,2047.26,0.00,0.00,5850.09
partial_match_range_query,16,4,3174.04,9188.00,3172.04,1502.99,4512.97,2047.26,0.00,0.00,6015.96
partial_match_range_query,18,4,3169.97,9135.97,3167.97,1491.00,4477.00,2010.75,0.00,0.00,5968.00
