Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,5979.63,0.00,1494.66,4484.97,0.00,0.00,0.00
query_differences_insert,4,4,2.00,5884.80,0.00,1469.95,4414.85,2009.23,0.00,0.00
query_differences_insert,6,4,2.00,5973.93,0.00,1492.48,4481.45,2045.74,0.00,0.00
query_differences_insert,8,4,2.00,6025.93,0.00,1505.48,4520.45,2009.23,0.00,0.00
query_differences_insert,10,4,2.00,5841.99,0.00,1459.50,4382.49,2009.23,0.00,0.00
query_differences_insert,12,4,2.00,5919.98,0.00,1479.00,4440.99,2045.74,0.00,0.00
query_differences_insert,14,4,2.00,5850.09,0.00,1461.52,4388.57,2045.74,0.00,0.00
query_differences_insert,16,4,2.00,6015.96,0.00,1502.99,4512.97,2045.74,0.00,0.00
query_differences_insert,18,4,2.00,5968.00,0.00,1491.00,4477.00,2009.23,0.00,0.00
query_differences_select_combined_match_with_range,2,4,3238.38,3238.38,3238.38,0.00,0.00,1.58,0.00,0.00
query_differences_select_combined_match_with_range,4,4,3315.51,3315.51,3315.51,0.00,0.00,1.47,0.00,0.00
query_differences_select_combined_match_with_range,6,4,3304.51,3304.51,3304.51,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,8,4,3321.98,3321.98,3321.98,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,10,4,3312.53,3312.53,3312.53,0.00,0.00,1.47,0.00,0.00
query_differences_select_combined_match_with_range,12,4,3310.96,3310.96,3310.96,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,14,4,3309.02,3309.02,3309.02,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,16,4,3314.49,3314.49,3314.49,0.00,0.00,1.47,0.00,0.00
query_differences_select_combined_match_with_range,18,4,3304.57,3304.57,3304.57,0.00,0.00,1.47,0.00,0.00
query_differences_select_full_match,2,4,11642.68,11642.68,11642.68,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,4,4,11803.68,11803.68,11803.68,0.00,0.00,0.47,0.00,0.00
query_differences_select_full_match,6,4,11705.30,11705.30,11705.30,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,8,4,11669.02,11669.02,11669.02,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,10,4,11686.04,11686.04,11686.04,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,12,4,11771.73,11771.73,11771.73,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,14,4,11647.74,11647.74,11647.74,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,16,4,11853.56,11853.56,11853.56,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,18,4,11726.74,11726.74,11726.74,0.00,0.00,0.48,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2828.22,2828.22,2828.22,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2851.53,2851.53,2851.53,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2844.91,2844.91,2844.91,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2845.97,2845.97,2845.97,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2850.03,2850.03,2850.03,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2847.49,2847.49,2847.49,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2852.52,2852.52,2852.52,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2854.44,2854.44,2854.44,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2847.50,2847.50,2847.50,0.00,0.00,1.86,0.00,0.00
query_differences_select_partial_match_range_query,2,4,3080.95,3080.95,3080.95,0.00,0.00,1.64,0.00,0.00
query_differences_select_partial_match_range_query,4,4,3179.03,3179.03,3179.03,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,6,4,3144.97,3144.97,3144.97,0.00,0.00,1.55,0.00,0.00
query_differences_select_partial_match_range_query,8,4,3168.48,3168.48,3168.48,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,10,4,3173.52,3173.52,3173.52,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,12,4,3159.53,3159.53,3159.53,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,14,4,3169.93,3169.93,3169.93,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,16,4,3172.04,3172.04,3172.04,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,18,4,3167.97,3167.97,3167.97,0.00,0.00,1.52,0.00,0.00
